dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,llm_check
corpus,Area 43,high_confidence,1.0,HOMBA:AA30017,caudal division of subcentral cortex (area 43),bm25+exact+fuzzy,Area 43,Area 43,,1.0,rostral division of subcentral cortex (area 43),1.0,questionable
corpus,Middle frontal gyrus (middle),high_confidence,1.0,HOMBA:12116,middle frontal gyrus,bm25+exact+fuzzy,Middle frontal gyrus,Middle frontal gyrus,middle,1.0,middle ectosylvian gyrus,0.456844,correct_parent
corpus,Vestibular nucleus,high_confidence,1.0,HOMBA:12448,vestibular nuclei in pons,bm25+exact+fuzzy+hierarchy_parent,Vestibular nucleus,Vestibular nucleus,,1.0,vestibular nuclei in medulla,0.816733,questionable
corpus,Ventral posterior internal thalamic nucleus,high_confidence,0.968565,HOMBA:10423,ventral posterior nuclear complex of thalamus,bm25+fuzzy,Ventral posterior internal thalamic nucleus,ventral posterior thalamic nucleus,ventral;posterior,1.0,ventral posterior inferior nucleus,0.784292,questionable
corpus,Internal globus pallidus,high_confidence,0.938625,HOMBA:10342,globus pallidus (paleostriatum),bm25+fuzzy+hierarchy_parent,Internal globus pallidus,globus pallidus (paleostriatum),,1.0,internal division of globus pallidus,0.858625,questionable
corpus,Anterior nucleus (thalamus),high_confidence,0.923571,HOMBA:10410,rostral division of pulvinar,bm25+fuzzy,Anterior nucleus,anterior nucleus of pulvinar,thalamus,1.0,ventral anterior nucleus of thalamus,0.905634,wrong
species,Basal Nucleus,high_confidence,1.0,HOMBA:10332,basal ganglia (basal nuclei),bm25+exact+fuzzy+hierarchy_parent,Basal Nucleus,Basal Nucleus,,1.0,basolateral nucleus (basal nucleus) of amygdala,1.0,questionable
species,"Lateral posterior thalamic nucleus, lateral part",high_confidence,1.0,HOMBA:10408,lateral posterior nucleus of thalamus,bm25+fuzzy,"Lateral posterior thalamic nucleus, lateral part",lateral posterior thalamic nucleus,lateral;posterior,1.0,posterior nucleus of thalamus,0.87,correct_parent
species,"Lateral posterior thalamic nucleus, mediocaudal part",high_confidence,1.0,HOMBA:10408,lateral posterior nucleus of thalamus,bm25+fuzzy,lateral posterior nucleus of thalamus mediocaudal part,lateral posterior nucleus of thalamus,lateral;posterior,1.0,posterior nucleus of thalamus,0.800278,correct_parent
species,"Lateral posterior thalamic nucleus, mediorostral part",high_confidence,1.0,HOMBA:10408,lateral posterior nucleus of thalamus,bm25+fuzzy,lateral posterior nucleus of thalamus mediorostral part,lateral posterior nucleus of thalamus,lateral;posterior,1.0,posterior nucleus of thalamus,0.792955,correct_parent
species,Vestibular Nucleus,high_confidence,1.0,HOMBA:12448,vestibular nuclei in pons,bm25+exact+fuzzy+hierarchy_parent,Vestibular Nucleus,Vestibular Nucleus,,1.0,vestibular nuclei in medulla,0.816733,questionable
species,Lateral olfactory tract,high_confidence,0.9975,HOMBA:10309,nucleus of lateral olfactory tract,bm25+fuzzy,Lateral olfactory tract,nucleus of lateral olfactory tract,lateral,1.0,olfactory tract,0.742101,questionable
species,Medial parietal cortex,high_confidence,0.9975,HOMBA:10215,superior medial parietal cortex,bm25+fuzzy,Medial parietal cortex,superior medial parietal cortex,medial,1.0,medial (caudal) entorhinal cortex,0.395176,questionable
species,"Ventral cochlear nucleus, cap area",high_confidence,0.9975,HOMBA:12439,ventral cochlear nucleus,bm25+fuzzy,"Ventral cochlear nucleus, cap area",ventral cochlear nucleus,ventral,1.0,"ventral cochlear nucleus, caudal division",0.872049,correct_parent
species,"Inferior colliculus, dorsal cortex",high_confidence,0.972659,HOMBA:12307,dorsal central nucleus of inferior colliculus,bm25+fuzzy,"Inferior colliculus, dorsal cortex",dorsal cortex of inferior colliculus,dorsal,1.0,inferior colliculus,0.655,questionable
