dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
corpus,Lateral intraparietal area (dorsal),needs_review,0.612878,HOMBA:12227,"dorsal raphe nucleus, lateral division",bm25+fuzzy,Lateral intraparietal area (dorsal),"dorsal raphe nucleus, lateral division",dorsal;lateral,1.0,"lateral parabrachial nucleus, dorsal division",0.608614,B_algo,wrong top-1 (better candidate exists)
corpus,Prefrontal area 46,needs_review,0.629168,HOMBA:10184,"rostroventral division of DFC (area 46, DFCv)",bm25+fuzzy+hierarchy_parent,Prefrontal area 46,area 46,,1.0,dorsolateral prefrontal cortex,0.609884,D_homba_gap,HOMBA lacks this granularity
corpus,Posterior opercular area POS2,needs_review,0.639186,HOMBA:AA30485,caudal (posterior) branch of anterior commissure,bm25+fuzzy,Posterior opercular area POS2,posterior,posterior,1.0,caudal (posterior) extramural migratory stream,0.639186,B_algo,weak/lone-token fuzzy trap
corpus,Ventral intraparietal area,needs_review,0.641675,HOMBA:12261,ventral tegmental area,bm25+fuzzy,Ventral intraparietal area,ventral tegmental area,ventral,1.0,anterior (ventral /principal) pretectal nucleus,0.636541,B_algo,weak/lone-token fuzzy trap
corpus,Central opercular cortex (posterior),needs_review,0.646011,HOMBA:AA30009,frontal motor cortex (posterior frontal cortex),bm25+fuzzy,Central opercular cortex (posterior),posterior frontal cortex,posterior,1.0,medial (caudal) entorhinal cortex,0.632966,B_algo,LLM re-review: operculum -> frontal motor cortex via lone 'posterior' (weak-token trap)
corpus,Central opercular cortex (anterior),needs_review,0.651574,HOMBA:10318,lateral (rostral) entorhinal cortex,bm25+fuzzy,Central opercular cortex (anterior),lateral (anterior) entorhinal cortex,anterior,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.636614,B_algo,wrong top-1 (better candidate exists)
corpus,Parietal area PF,needs_review,0.661335,HOMBA:10226,"rostral division of IPC (IPCr, area 40, area PF)",bm25+fuzzy,Parietal area PF,area PF,,1.0,parietal lobe,0.580856,D_homba_gap,HOMBA lacks this granularity
corpus,Somatosensory area 3a,needs_review,0.665067,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",bm25+fuzzy+hierarchy_parent,somatosensory cortex 3a,somatosensory cortex,,1.0,somatosensory radiation,0.540332,D_homba_gap,HOMBA lacks this granularity
corpus,Somatosensory area 3b,needs_review,0.665067,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",bm25+fuzzy+hierarchy_parent,somatosensory cortex 3b,somatosensory cortex,,1.0,somatosensory radiation,0.540332,D_homba_gap,HOMBA lacks this granularity
corpus,Visual area V3A,needs_review,0.665067,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy+hierarchy_parent,visual cortex v3a,visual cortex,,1.0,"fifth visual area (middle temporal area, MT)",0.509601,D_homba_gap,HOMBA lacks this granularity
corpus,Visual area V3B,needs_review,0.665067,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy+hierarchy_parent,visual cortex v3b,visual cortex,,1.0,"fifth visual area (middle temporal area, MT)",0.509601,D_homba_gap,HOMBA lacks this granularity
corpus,Visual area V4,needs_review,0.665067,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy+hierarchy_parent,visual cortex v4,visual cortex,,1.0,ventral fourth visual area (V4V),0.5375,D_homba_gap,HOMBA lacks this granularity
corpus,Visual area V6A,needs_review,0.665067,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy+hierarchy_parent,visual cortex v6a,visual cortex,,1.0,"sixth visual area V6 , part A",0.556725,D_homba_gap,HOMBA lacks this granularity
corpus,Visual area V8,needs_review,0.665067,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",bm25+fuzzy+hierarchy_parent,visual cortex v8,visual cortex,,1.0,"fifth visual area (middle temporal area, MT)",0.52175,D_homba_gap,HOMBA lacks this granularity
corpus,Intracalcarine cortex (superior),needs_review,0.666353,HOMBA:10215,superior medial parietal cortex,bm25+fuzzy,Intracalcarine cortex (superior),superior,superior,1.0,rostral division of area 22,0.635325,B_algo,LLM re-review: occipital intracalcarine (V1) -> parietal cortex (wrong lobe)
corpus,A8 catecholaminergic cell group,needs_review,0.674151,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy,A8 catecholaminergic cell group,A8 dopamine cell group,,1.0,A2 noradrenaline cell group,0.505414,D_homba_gap,HOMBA lacks this granularity
corpus,Somatosensory area 1,needs_review,0.679416,HOMBA:AA30014,area 1 of primary somatosensory cortex,bm25+fuzzy,somatosensory cortex 1,area 1 of somatosensory cortex,,1.0,subareas of primary somatosensory cortex,0.653098,D_homba_gap,HOMBA lacks this granularity
corpus,Somatosensory area 2,needs_review,0.679416,HOMBA:AA30015,area 2 of primary somatosensory cortex,bm25+fuzzy,somatosensory cortex 2,area 2 of somatosensory cortex,,1.0,subareas of primary somatosensory cortex,0.653098,D_homba_gap,HOMBA lacks this granularity
corpus,Intracalcarine cortex (inferior),needs_review,0.681521,HOMBA:10225,inferior lateral parietal cortex,bm25+fuzzy,Intracalcarine cortex (inferior),posteroventral parietal cortex inferior,inferior,1.0,inferior temporal cortex,0.646765,B_algo,LLM re-review: occipital intracalcarine (V1) -> parietal cortex (wrong lobe)
corpus,Anterior ventral insular area,needs_review,0.717423,HOMBA:AA30890,anterior (ventral) spinal artery,bm25+fuzzy,Anterior ventral insular area,anterior (ventral) spinal artery,ventral,1.0,anterior (ventral /principal) pretectal nucleus,0.645205,B_algo,weak/lone-token fuzzy trap
corpus,Posterior insular area,needs_review,0.739318,HOMBA:AA30485,caudal (posterior) branch of anterior commissure,bm25+fuzzy,Posterior insular area,posterior,posterior,1.0,caudal (posterior) extramural migratory stream,0.739318,B_algo,weak/lone-token fuzzy trap
corpus,Accessory trigeminal nucleus,needs_review,0.760807,HOMBA:12419,accessory facial nucleus,bm25+fuzzy,Accessory trigeminal nucleus,accessory facial nucleus,accessory,1.0,accessory nerve nucleus (supraspinal nucleus),0.758288,B_algo,wrong top-1 (better candidate exists)
corpus,Temporal horn of the lateral ventricle,needs_review,0.831652,HOMBA:10597,rostral horn of lateral ventricles,bm25+fuzzy,Temporal horn of the lateral ventricle,anterior horn of lateral ventricle,lateral,1.0,caudal horn of lateral ventricles,0.829634,B_algo,LLM re-review: temporal(inferior) horn -> rostral/anterior horn (wrong sibling horn)
corpus,Medial dorsal thalamic nucleus,modifier_conflict,0.765336,HOMBA:10445,central medial nucleus of thalamus,bm25+fuzzy,medial dorsal nucleus of thalamus,central medial nucleus of thalamus,medial;dorsal,0.5,ventral medial nucleus of thalamus,0.765336,C_dict,medial dorsal -> mediodorsal (fused) nucleus of thalamus
corpus,Ventralis intermedius,low_confidence,0.37625,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,fuzzy,Ventralis intermedius,ventral,,1.0,anterior (ventral) spinal artery,0.37625,B_algo,weak/lone-token fuzzy trap
corpus,Frontoinsular area,low_confidence,0.4375,HOMBA:12176,insular lobe,fuzzy,Frontoinsular area,insula,,1.0,subincertal nucleus (area),0.304583,B_algo,weak/lone-token fuzzy trap
corpus,Prefrontal area 10pp,low_confidence,0.466685,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 10pp,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.444361,D_homba_gap,HOMBA lacks this granularity
corpus,Area 55b,low_confidence,0.468125,HOMBA:AA30011,area 55b of premotor cortex,bm25+fuzzy,Area 55b,area 55b of premotor cortex,,1.0,,,D_homba_gap,HOMBA lacks this granularity
corpus,Paracentral area 5mv,low_confidence,0.468271,HOMBA:12126,"paracentral lobule, rostral part",bm25+fuzzy,Paracentral area 5mv,"paracentral lobule, rostral part",,1.0,paracentral nucleus of thalamus,0.414023,D_homba_gap,HOMBA lacks this granularity
corpus,Paracentral area 5L,low_confidence,0.473193,HOMBA:12126,"paracentral lobule, rostral part",bm25+fuzzy,Paracentral area 5L,"paracentral lobule, rostral part",,1.0,"rostral division of SPC (area 5, area PE)",0.424342,D_homba_gap,HOMBA lacks this granularity
corpus,Paracentral area 5m,low_confidence,0.473193,HOMBA:12126,"paracentral lobule, rostral part",bm25+fuzzy,Paracentral area 5m,"paracentral lobule, rostral part",,1.0,"rostral division of SPC (area 5, area PE)",0.424342,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 10d,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 10d,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 10r,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 10r,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 47l,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 47l,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 47m,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 47m,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 47r,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 47r,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 47s,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 47s,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 8Ad,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 8Ad,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 8Av,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 8Av,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 8BL,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 8BL,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 8BM,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 8BM,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 8C,low_confidence,0.48031,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 8C,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.456893,D_homba_gap,HOMBA lacks this granularity
