dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
corpus,Uncus,low_confidence,0.224002,HOMBA:12165,uncus of (para)hippocampal gyrus,bm25,Uncus,uncus of parahippocampal gyrus,,1.0,,,A_effectively_correct,correct entry/parent at rank 1 (low score)
corpus,Ventralis intermedius,low_confidence,0.37625,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,fuzzy,Ventralis intermedius,ventral,,1.0,anterior (ventral) spinal artery,0.37625,B_algo,weak/lone-token fuzzy trap
corpus,Frontoinsular area,low_confidence,0.4375,HOMBA:12176,insular lobe,fuzzy,Frontoinsular area,insula,,1.0,subincertal nucleus (area),0.304583,B_algo,weak/lone-token fuzzy trap
corpus,Median cingulate and paracingulate gyri,low_confidence,0.455738,HOMBA:146034872,paracingulate gyrus,bm25+fuzzy,Median cingulate and paracingulate gyri,paracingulate gyrus,,1.0,paracingulate sulcus,0.410247,A_effectively_correct,correct entry/parent at rank 1 (low score)
corpus,V4 transitional area,low_confidence,0.465391,HOMBA:AA30818,transitional fourth visual area (V4T),bm25+fuzzy,V4 transitional area,transitional fourth visual area,,1.0,amygdaloid transition areas,0.391388,A_effectively_correct,correct entry/parent at rank 1 (low score)
corpus,Prefrontal area 10pp,low_confidence,0.466685,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 10pp,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.444361,D_homba_gap,HOMBA lacks this granularity
corpus,Area 55b,low_confidence,0.468125,HOMBA:AA30011,area 55b of premotor cortex,bm25+fuzzy,Area 55b,area 55b of premotor cortex,,1.0,,,D_homba_gap,HOMBA lacks this granularity
corpus,Paracentral area 5mv,low_confidence,0.468271,HOMBA:12126,"paracentral lobule, rostral part",bm25+fuzzy,Paracentral area 5mv,"paracentral lobule, rostral part",,1.0,paracentral nucleus of thalamus,0.414023,D_homba_gap,HOMBA lacks this granularity
corpus,Paracentral area 5L,low_confidence,0.473193,HOMBA:12126,"paracentral lobule, rostral part",bm25+fuzzy,Paracentral area 5L,"paracentral lobule, rostral part",,1.0,"rostral division of SPC (area 5, area PE)",0.424342,D_homba_gap,HOMBA lacks this granularity
corpus,Paracentral area 5m,low_confidence,0.473193,HOMBA:12126,"paracentral lobule, rostral part",bm25+fuzzy,Paracentral area 5m,"paracentral lobule, rostral part",,1.0,"rostral division of SPC (area 5, area PE)",0.424342,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 10d,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 10d,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 10r,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 10r,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 47l,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 47l,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 47m,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 47m,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 47r,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 47r,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 47s,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 47s,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 8Ad,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 8Ad,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 8Av,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 8Av,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 8BL,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 8BL,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 8BM,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 8BM,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 8C,low_confidence,0.48031,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 8C,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.456893,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 9a,low_confidence,0.48031,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 9a,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.456893,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 9m,low_confidence,0.48031,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 9m,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.456893,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 9p,low_confidence,0.48031,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 9p,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.456893,D_homba_gap,HOMBA lacks this granularity
corpus,Rolandic operculum,low_confidence,0.483531,HOMBA:12127,frontal operculum,bm25+fuzzy,Rolandic operculum,frontal operculum,,1.0,parietal operculum,0.462011,A_effectively_correct,correct entry/parent at rank 1 (low score)
corpus,Vestigial hippocampal sulcus,low_confidence,0.488391,HOMBA:10560,hippocampal commissure,bm25+fuzzy+hierarchy_parent,Vestigial hippocampal sulcus,hippocampal commissure,,1.0,hippocampal fissure,0.483353,B_algo,wrong top-1 (better candidate exists)
corpus,Cingulate area 24dd,low_confidence,0.488395,HOMBA:10217,cingulate subdivision of area 5,bm25+fuzzy,Cingulate area 24dd,cingulate subdivision of area 5,,1.0,cingulate cortex,0.440965,D_homba_gap,HOMBA lacks this granularity
corpus,Cingulate area 24dv,low_confidence,0.488395,HOMBA:10217,cingulate subdivision of area 5,bm25+fuzzy,Cingulate area 24dv,cingulate subdivision of area 5,,1.0,cingulate cortex,0.440965,D_homba_gap,HOMBA lacks this granularity
