structure_name,dataset,rcs_score,rcs_review_flag,rcs_candidate_homba_id,rcs_candidate_name,rcs_methods
Mammillary body,corpus,1.0000,high_confidence,HOMBA:15546,mammillary body,bm25+exact+fuzzy
Pineal gland,corpus,1.0000,high_confidence,HOMBA:10460,pineal body,bm25+exact+fuzzy
Pulvinar nucleus,corpus,1.0000,high_confidence,HOMBA:10409,pulvinar of thalamus,bm25+exact+fuzzy+hierarchy_parent
Subthalamic nucleus,corpus,1.0000,high_confidence,HOMBA:10466,subthalamic nucleus,bm25+exact+fuzzy
Thalamus (excluding pulvinar),corpus,0.8967,modifier_conflict,HOMBA:10409,pulvinar of thalamus,bm25+fuzzy
Inferior colliculus,corpus,1.0000,high_confidence,HOMBA:12305,inferior colliculus,bm25+exact+fuzzy+hierarchy_parent
Red nucleus,corpus,1.0000,high_confidence,HOMBA:12247,red nucleus,bm25+exact+fuzzy+hierarchy_parent
Substantia nigra,corpus,1.0000,high_confidence,HOMBA:12251,substantia nigra,bm25+exact+fuzzy+hierarchy_parent
Superior colliculus,corpus,1.0000,high_confidence,HOMBA:12292,superior colliculus,bm25+exact+fuzzy+hierarchy_parent
Abducens nucleus,corpus,1.0000,high_confidence,HOMBA:12418,abducens nucleus,bm25+exact+fuzzy
Facial nucleus,corpus,1.0000,high_confidence,HOMBA:12420,facial nucleus,bm25+exact+fuzzy+hierarchy_parent
Trigeminal nucleus (motor),corpus,1.0000,high_confidence,HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",bm25+fuzzy
Trigeminal nucleus (principal sensory),corpus,1.0000,high_confidence,HOMBA:12444,principal sensory nucleus of trigeminal nerve,bm25+exact+fuzzy
Cuneate nucleus,corpus,1.0000,high_confidence,HOMBA:12589,cuneate nucleus,bm25+exact+fuzzy+hierarchy_parent
Cuneate nucleus (external),corpus,1.0000,high_confidence,HOMBA:12588,external (accessory/lateral) cuneate nucleus,bm25+fuzzy
Gracile nucleus,corpus,1.0000,high_confidence,HOMBA:12592,gracile nucleus,bm25+exact+fuzzy+hierarchy_parent
Hypoglossal nucleus,corpus,1.0000,high_confidence,HOMBA:12545,hypoglossal nucleus,bm25+exact+fuzzy+hierarchy_parent
Inferior olive (principal nucleus),corpus,1.0000,modifier_conflict,HOMBA:12600,inferior olive,bm25+exact+fuzzy
Spinal trigeminal nucleus (caudalis),corpus,1.0000,high_confidence,HOMBA:12573,"spinal trigeminal nucleus, caudal division",bm25+fuzzy
Spinal trigeminal nucleus (interpolaris),corpus,1.0000,high_confidence,HOMBA:12578,"spinal trigeminal nucleus, interpolar division",bm25+fuzzy
Spinal trigeminal nucleus (oralis),corpus,0.8800,needs_review,HOMBA:12572,spinal trigeminal nucleus,bm25+exact+fuzzy
Vestibular nucleus,corpus,1.0000,high_confidence,HOMBA:12448,vestibular nuclei in pons,bm25+exact+fuzzy+hierarchy_parent
Optic chiasm,corpus,1.0000,high_confidence,HOMBA:10644,optic chiasm,bm25+exact+fuzzy
Optic tract,corpus,1.0000,high_confidence,HOMBA:10589,optic tract,bm25+exact+fuzzy
Roots of the abducens nerve,corpus,0.7029,needs_review,HOMBA:12861,root of abducens nerve,bm25+fuzzy
Roots of the facial nerve,corpus,0.6883,needs_review,HOMBA:12862,root of facial nerve,bm25+fuzzy+hierarchy_parent
Roots of the trigeminal nerve,corpus,0.7140,needs_review,HOMBA:12865,root of trigeminal nerve,bm25+fuzzy+hierarchy_parent
Corticospinal tract,corpus,1.0000,high_confidence,HOMBA:12047,corticospinal tract,bm25+exact+fuzzy
Medial lemniscus,corpus,1.0000,high_confidence,HOMBA:12763,medial lemniscus,bm25+exact+fuzzy
Medial longitudinal fasciculus,corpus,1.0000,high_confidence,HOMBA:12764,medial longitudinal fasciculus,bm25+exact+fuzzy
Spinothalamic tract,corpus,1.0000,high_confidence,HOMBA:12789,spinothalamic tract,bm25+exact+fuzzy
Cerebral peduncle,corpus,1.0000,high_confidence,HOMBA:12330,cerebral peduncle (crus cerebri),bm25+exact+fuzzy
Trigeminal tract (mesencephalic),corpus,0.9821,high_confidence,HOMBA:12767,mesencephalic trigeminal tract,bm25+fuzzy
Inferior cerebellar peduncle,corpus,1.0000,high_confidence,HOMBA:12741,inferior cerebellar peduncle,bm25+exact+fuzzy
Middle cerebellar peduncle,corpus,1.0000,high_confidence,HOMBA:12768,middle cerebellar peduncle (brachium pontis),bm25+exact+fuzzy
Superior cerebellar peduncle,corpus,1.0000,high_confidence,HOMBA:12354,superior cerebellar peduncle (brachium conjunctivum),bm25+exact+fuzzy
Superior cerebellar peduncle (decussation),corpus,1.0000,high_confidence,HOMBA:12337,decussation of superior cerebellar peduncle,bm25+fuzzy
Cuneate fasciculus,corpus,1.0000,high_confidence,HOMBA:12731,cuneate fasciculus,bm25+exact+fuzzy
Gracile fasciculus,corpus,1.0000,high_confidence,HOMBA:12739,gracile fasciculus,bm25+exact+fuzzy
Pyramidal decussation,corpus,1.0000,high_confidence,HOMBA:12772,pyramidal decussation,bm25+exact+fuzzy
Spinal trigeminal tract,corpus,1.0000,high_confidence,HOMBA:12792,spinal trigeminal tract,bm25+exact+fuzzy
Anterior commissure,corpus,1.0000,high_confidence,HOMBA:10559,anterior commissure,bm25+exact+fuzzy+hierarchy_parent
Fornix (anterior columns),corpus,1.0000,high_confidence,HOMBA:10576,fornix,bm25+exact+fuzzy
Internal capsule (posterior limb),corpus,0.9550,high_confidence,HOMBA:10584,caudal limb of internal capsule,bm25+fuzzy
Mammillothalamic tract,corpus,1.0000,high_confidence,HOMBA:10586,mammillothalamic tract,bm25+exact+fuzzy
Posterior commissure,corpus,1.0000,high_confidence,HOMBA:10567,posterior commissure,bm25+exact+fuzzy
Cerebral aqueduct,corpus,1.0000,high_confidence,HOMBA:12369,cerebral aqueduct,bm25+exact+fuzzy
Fourth ventricle,corpus,1.0000,high_confidence,HOMBA:12805,fourth ventricle,bm25+exact+fuzzy+hierarchy_parent
Obex,corpus,1.0000,high_confidence,HOMBA:12812,obex,bm25+exact+fuzzy
Oculomotor nucleus,corpus,1.0000,high_confidence,HOMBA:12198,oculomotor nucleus,bm25+exact+fuzzy+hierarchy_parent
Edinger-Westphal nucleus (preganglionic),corpus,1.0000,high_confidence,HOMBA:12288,pre-Edinger-Westphal nucleus,bm25+exact+fuzzy
Trochlear nucleus,corpus,1.0000,high_confidence,HOMBA:12206,trochlear nucleus,bm25+exact+fuzzy
Motor trigeminal nucleus,corpus,1.0000,high_confidence,HOMBA:12429,"motor nucleus of trigeminal nerve (motor trigeminal nucleus, Mo5)",bm25+exact+fuzzy+hierarchy_parent
Principal sensory trigeminal nucleus,corpus,1.0000,high_confidence,HOMBA:12444,principal sensory nucleus of trigeminal nerve,bm25+fuzzy
Spinal trigeminal nucleus,corpus,1.0000,high_confidence,HOMBA:12572,spinal trigeminal nucleus,bm25+exact+fuzzy+hierarchy_parent
Accessory trigeminal nucleus,corpus,0.7623,needs_review,HOMBA:AA30459,accessory nerve nucleus (supraspinal nucleus),bm25+fuzzy
Accessory facial nucleus,corpus,1.0000,high_confidence,HOMBA:12419,accessory facial nucleus,bm25+exact+fuzzy
Superior salivatory nucleus,corpus,1.0000,high_confidence,HOMBA:12435,superior salivatory nucleus,bm25+exact+fuzzy
Inferior salivatory nucleus,corpus,1.0000,high_confidence,HOMBA:12544,inferior salivatory nucleus,bm25+exact+fuzzy
Ventral cochlear nucleus,corpus,1.0000,high_confidence,HOMBA:12439,ventral cochlear nucleus,bm25+exact+fuzzy
Dorsal cochlear nucleus,corpus,1.0000,high_confidence,HOMBA:12438,dorsal cochlear nucleus,bm25+exact+fuzzy
Pontobulbar nucleus,corpus,1.0000,high_confidence,HOMBA:12614,pontobulbar nucleus,bm25+exact+fuzzy
Dorsal motor nucleus of vagus,corpus,1.0000,high_confidence,HOMBA:12550,dorsal motor nucleus of the vagus (vagal nerve nucleus),bm25+fuzzy
Nucleus ambiguus,corpus,0.8381,needs_review,HOMBA:12540,ambiguus nucleus,bm25+fuzzy+hierarchy_parent
Vagus (spinal accessory) neurons,corpus,1.0000,high_confidence,HOMBA:AA30587,spinal accessory nucleus,bm25+exact+fuzzy
Nucleus of the solitary tract,corpus,1.0000,high_confidence,HOMBA:12557,solitary nucleus,bm25+exact+fuzzy+hierarchy_parent
Area postrema,corpus,1.0000,high_confidence,HOMBA:12807,area postrema,bm25+exact+fuzzy
Prepositus nucleus,corpus,0.7836,needs_review,HOMBA:AA30453,other nuclei in dorsal medulla,hierarchy_parent
Intermediate reticular zone,corpus,0.8185,needs_review,HOMBA:12620,intermediate reticular nucleus,bm25+fuzzy
Lateral reticular nucleus (magnocellular),corpus,1.0000,modifier_conflict,HOMBA:12634,lateral reticular nucleus,bm25+exact+fuzzy
Lateral reticular nucleus (parvicellular),corpus,1.0000,modifier_conflict,HOMBA:12634,lateral reticular nucleus,bm25+exact+fuzzy
Ventrolateral medulla,corpus,1.0000,high_confidence,HOMBA:12873,anterolateral medullary sulcus,bm25+exact+fuzzy
Pedunculopontine tegmentum,corpus,0.7612,needs_review,HOMBA:12416,pontine tegmentum,bm25+fuzzy+hierarchy_parent
Laterodorsal tegmentum,corpus,1.0000,high_confidence,HOMBA:12519,laterodorsal tegmental nucleus,bm25+exact+fuzzy+hierarchy_parent
Lateral parabrachial nucleus,corpus,1.0000,high_confidence,HOMBA:12482,lateral parabrachial nucleus,bm25+exact+fuzzy
Medial parabrachial nucleus,corpus,1.0000,high_confidence,HOMBA:12487,medial parabrachial nucleus,bm25+exact+fuzzy
External lateral parabrachial nucleus,corpus,1.0000,high_confidence,HOMBA:12485,"lateral parabrachial nucleus, external division",bm25+fuzzy
Periaqueductal gray,corpus,0.9400,high_confidence,HOMBA:AA30359,periaqueductal gray region,bm25+fuzzy
Locus coeruleus,corpus,1.0000,high_confidence,HOMBA:12499,nucleus coeruleus (locus coeruleus),bm25+exact+fuzzy
A1 catecholaminergic cell group,corpus,0.8061,needs_review,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy
A4 catecholaminergic cell group,corpus,0.8061,needs_review,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy
A5 catecholaminergic cell group,corpus,1.0000,high_confidence,HOMBA:AA30843,A8 dopamine cell group,bm25+exact+fuzzy
A8 catecholaminergic cell group,corpus,0.8061,needs_review,HOMBA:AA30843,A8 dopamine cell group,bm25+fuzzy
Ventral tegmental area,corpus,1.0000,high_confidence,HOMBA:12261,ventral tegmental area,bm25+exact+fuzzy
Dorsal raphe,corpus,0.9479,high_confidence,HOMBA:12223,dorsal raphe nucleus,bm25+fuzzy
Median raphe,corpus,0.7120,needs_review,HOMBA:12235,median raphe nucleus,bm25+fuzzy
Raphe magnus,corpus,0.7120,needs_review,HOMBA:12642,raphe magnus nucleus,bm25+fuzzy
Raphe obscurus,corpus,0.7346,needs_review,HOMBA:12643,raphe obscurus nucleus,bm25+fuzzy
Solitary tract,corpus,1.0000,high_confidence,HOMBA:12783,solitary tract,bm25+exact+fuzzy
Corticospinal tract (pyramids),corpus,1.0000,high_confidence,HOMBA:12047,corticospinal tract,bm25+exact+fuzzy
Cerebellar cortex (molecular layer),corpus,1.0000,modifier_conflict,HOMBA:10657,cerebellar cortex,bm25+exact+fuzzy
Cerebellar cortex (Purkinje cell layer),corpus,1.0000,modifier_conflict,HOMBA:10657,cerebellar cortex,bm25+exact+fuzzy
Cerebellar cortex (granular layer),corpus,1.0000,high_confidence,HOMBA:10657,cerebellar cortex,bm25+exact+fuzzy
Cerebellar vermis,corpus,1.0000,high_confidence,HOMBA:10658,cerebellar vermis,bm25+exact+fuzzy
Cerebellar hemisphere,corpus,1.0000,high_confidence,HOMBA:10659,cerebellar hemisphere,bm25+exact+fuzzy+hierarchy_parent
Flocculus,corpus,1.0000,high_confidence,HOMBA:AA30424,lobule Xa (flocculus),bm25+exact+fuzzy
Fastigial nucleus,corpus,1.0000,high_confidence,HOMBA:12402,fastigial (medial) nucleus,bm25+exact+fuzzy+hierarchy_parent
