dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
corpus,Ventralis intermedius,low_confidence,0.37625,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,fuzzy,Ventralis intermedius,ventral,,1.0,anterior (ventral) spinal artery,0.37625,B_algo,weak/lone-token fuzzy trap
corpus,Frontoinsular area,low_confidence,0.4375,HOMBA:12176,insular lobe,fuzzy,Frontoinsular area,insula,,1.0,subincertal nucleus (area),0.304583,B_algo,weak/lone-token fuzzy trap
corpus,Vestigial hippocampal sulcus,low_confidence,0.488391,HOMBA:10560,hippocampal commissure,bm25+fuzzy+hierarchy_parent,Vestigial hippocampal sulcus,hippocampal commissure,,1.0,hippocampal fissure,0.483353,B_algo,wrong top-1 (better candidate exists)
corpus,Centre median parafascicular complex,low_confidence,0.501895,HOMBA:10428,posterior nuclear complex of thalamus,hierarchy_parent,Centre median parafascicular complex,posterior nuclear complex of thalamus,,1.0,subicular complex,0.454027,B_algo,wrong top-1 (better candidate exists)
corpus,Laterodorsal tegmentum,low_confidence,0.504843,HOMBA:AA30860,laterodorsal subdivision of PuM,bm25+fuzzy,Laterodorsal tegmentum,laterodorsal subdivision of PuM,,1.0,pontine tegmentum,0.500243,B_algo,wrong top-1 (better candidate exists)
corpus,Supracalcarine cortex,low_confidence,0.513508,HOMBA:13322,dorsolateral temporal cortex,hierarchy_parent,Supracalcarine cortex,dorsolateral temporal cortex,,1.0,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",0.460206,B_algo,wrong top-1 (better candidate exists)
corpus,Area PH,low_confidence,0.529821,HOMBA:AA30351,subincertal nucleus (area),fuzzy,Area PH,area,,1.0,ventral tuberomammillary nucleus (area),0.529821,B_algo,weak/lone-token fuzzy trap
corpus,Precuneal cortex,low_confidence,0.534309,HOMBA:10172,prefrontal cortex,bm25+fuzzy,Precuneal cortex,prefrontal cortex,,1.0,frontal cortex,0.528305,B_algo,wrong top-1 (better candidate exists)
corpus,Anterior intraparietal area,low_confidence,0.554875,HOMBA:12840,"lobule II (central lobule and wing, anterior part)",bm25+fuzzy,Anterior intraparietal area,anterior part,,1.0,"lobule IV (culmen and quadrangular lobule, anterior part)",0.554875,B_algo,wrong top-1 (better candidate exists)
corpus,Cuneal cortex,low_confidence,0.566442,HOMBA:12308,external shell (cortex) of inferior colliculus,bm25+fuzzy,Cuneal cortex,cortex,,1.0,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",0.544575,B_algo,wrong top-1 (better candidate exists)
corpus,Lateral intraparietal area (dorsal),needs_review,0.612878,HOMBA:12227,"dorsal raphe nucleus, lateral division",bm25+fuzzy,Lateral intraparietal area (dorsal),"dorsal raphe nucleus, lateral division",dorsal;lateral,1.0,"lateral parabrachial nucleus, dorsal division",0.608614,B_algo,wrong top-1 (better candidate exists)
corpus,Posterior opercular area POS2,needs_review,0.639186,HOMBA:AA30485,caudal (posterior) branch of anterior commissure,bm25+fuzzy,Posterior opercular area POS2,posterior,posterior,1.0,caudal (posterior) extramural migratory stream,0.639186,B_algo,weak/lone-token fuzzy trap
corpus,Ventral intraparietal area,needs_review,0.641675,HOMBA:12261,ventral tegmental area,bm25+fuzzy,Ventral intraparietal area,ventral tegmental area,ventral,1.0,anterior (ventral /principal) pretectal nucleus,0.636541,B_algo,weak/lone-token fuzzy trap
corpus,Central opercular cortex (anterior),needs_review,0.651574,HOMBA:10318,lateral (rostral) entorhinal cortex,bm25+fuzzy,Central opercular cortex (anterior),lateral (anterior) entorhinal cortex,anterior,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.636614,B_algo,wrong top-1 (better candidate exists)
corpus,Anterior ventral insular area,needs_review,0.717423,HOMBA:AA30890,anterior (ventral) spinal artery,bm25+fuzzy,Anterior ventral insular area,anterior (ventral) spinal artery,ventral,1.0,anterior (ventral /principal) pretectal nucleus,0.645205,B_algo,weak/lone-token fuzzy trap
corpus,Posterior insular area,needs_review,0.739318,HOMBA:AA30485,caudal (posterior) branch of anterior commissure,bm25+fuzzy,Posterior insular area,posterior,posterior,1.0,caudal (posterior) extramural migratory stream,0.739318,B_algo,weak/lone-token fuzzy trap
corpus,Accessory trigeminal nucleus,needs_review,0.760807,HOMBA:12419,accessory facial nucleus,bm25+fuzzy,Accessory trigeminal nucleus,accessory facial nucleus,accessory,1.0,accessory nerve nucleus (supraspinal nucleus),0.758288,B_algo,wrong top-1 (better candidate exists)
species,Pretectothalamic lamina,low_confidence,0.290576,HOMBA:12357,dentatothalamic tract,fuzzy,Pretectothalamic lamina,dentatothalamic tract,,1.0,lamina III and IV of lumbar spinal cord,0.246639,B_algo,wrong top-1 (better candidate exists)
species,Intramedullary thalamic area,low_confidence,0.381754,HOMBA:13048,interanteromedial nucleus of thalamus,bm25+fuzzy,Intramedullary thalamic area,interanteromedial thalamic nucleus,,1.0,centromedian nucleus of thalamus,0.378996,B_algo,wrong top-1 (better candidate exists)
species,P1 Mesencephalic Reticulum,low_confidence,0.406954,HOMBA:12767,mesencephalic trigeminal tract,bm25+fuzzy,P1 Mesencephalic Reticulum,mesencephalic trigeminal tract,,1.0,mesencephalic trigeminal nucleus,0.406299,B_algo,wrong top-1 (better candidate exists)
species,"External medullary lamina, auditory radiation",low_confidence,0.445726,HOMBA:12037,external medullary lamina of globus pallidus,bm25,"External medullary lamina, auditory radiation",external medullary lamina of pallidum,external,1.0,external medullary lamina of thalamus,0.445726,B_algo,wrong top-1 (better candidate exists)
species,"Hypothalamic region, unspecified",low_confidence,0.453071,HOMBA:10607,hypothalamic sulcus,bm25+fuzzy,"Hypothalamic region, unspecified",hypothalamic sulcus,,1.0,ventricular-subventricular zone of hypothalamus,0.44451,B_algo,wrong top-1 (better candidate exists)
species,"Central opercular cortex, anterior",low_confidence,0.472507,HOMBA:12838,anterior lobe of cerebellar cortex,bm25+fuzzy,"Central opercular cortex, anterior",anterior lobe of cerebellar cortex,,1.0,rostral (anterior) branch of anterior commissure,0.472332,B_algo,wrong top-1 (better candidate exists)
species,Linear raphe,low_confidence,0.476073,HOMBA:12230,linear nucleus of the midbrain,bm25+hierarchy_parent,Linear raphe,linear nucleus of the midbrain,,1.0,caudal linear nucleus of the raphe,0.473574,B_algo,wrong top-1 (better candidate exists)
species,"Ventricular system, unspecified",low_confidence,0.483204,HOMBA:10542,ventricular zone of neocortex,bm25+fuzzy+hierarchy_parent,"Ventricular system, unspecified",ventricular zone,,1.0,central nervous system (neural tube),0.237518,B_algo,wrong top-1 (better candidate exists)
species,Fourth Nerve,low_confidence,0.496163,HOMBA:12805,fourth ventricle,bm25+fuzzy+hierarchy_parent,Fourth Nerve,fourth ventricle,,1.0,optic nerve,0.474218,B_algo,wrong top-1 (better candidate exists)
species,Ventroposterior Inferior Thalamus,low_confidence,0.502419,HOMBA:AA30276,ventral midline nuclei of thalamus,hierarchy_parent,Ventroposterior Inferior Thalamus,ventral midline nuclei of thalamus,,1.0,ventroanterior-ventrolateral nuclear complex of thalamus,0.49476,B_algo,hierarchy_parent over-promotion
species,"Intracalcarine cortex, inferior",low_confidence,0.506184,HOMBA:12305,inferior colliculus,bm25+hierarchy_parent,"Intracalcarine cortex, inferior",inferior colliculus,,1.0,inferior lateral parietal cortex,0.482908,B_algo,wrong top-1 (better candidate exists)
species,"Supratemporal plane, anterior",low_confidence,0.510644,HOMBA:AA30484,rostral (anterior) branch of anterior commissure,bm25+fuzzy,"Supratemporal plane, anterior",anterior,,1.0,rostral (anterior) division of BM,0.510644,B_algo,weak/lone-token fuzzy trap
species,Acoustic striae,low_confidence,0.548026,HOMBA:266441583,acoustic radiation,bm25+fuzzy,Acoustic striae,acoustic radiation,,1.0,intermediate acoustic stria,0.528734,B_algo,wrong top-1 (better candidate exists)
