dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
corpus,Medial dorsal thalamic nucleus,modifier_conflict,0.765336,HOMBA:10445,central medial nucleus of thalamus,bm25+fuzzy,medial dorsal nucleus of thalamus,central medial nucleus of thalamus,medial;dorsal,0.5,ventral medial nucleus of thalamus,0.765336,C_dict,medial dorsal -> mediodorsal (fused) nucleus of thalamus
species,Mediolateral Fascicle,low_confidence,0.537009,HOMBA:12731,cuneate fasciculus,bm25+fuzzy,Mediolateral Fascicle,cuneate fascicle,,1.0,uncinate fasciculus,0.530467,C_dict,ambiguous source label (cuneate fascicle?)
species,Saginum Nucleus,needs_review,0.610833,HOMBA:12313,sagulum nucleus (nucleus sagulum),bm25+fuzzy,Saginum Nucleus,sagulum nucleus,,1.0,lateral reticular nuclei of pons,0.568213,C_dict,sagulum spelling
species,Ethmoid-Limitans nucleus,needs_review,0.63091,HOMBA:AA30314,ethmoid thalamic nucleus,bm25+fuzzy,ethmoid limitans nuclei,ethmoid thalamic nuclei,,1.0,posterior limitans nucleus,0.544874,C_dict,ethmoid thalamic nucleus synonym
species,Nucleus of the stria medullaris,needs_review,0.645767,HOMBA:10590,stria medullaris of thalamus,bm25+fuzzy,Nucleus of the stria medullaris,stria medullaris of thalamus,,1.0,bed nucleus of stria terminalis,0.273228,C_dict,stria medullaris (of thalamus)
species,Septimbrial nucleus,needs_review,0.672904,HOMBA:13032,septofimbrial nucleus,fuzzy,Septimbrial nucleus,septofimbrial nucleus,,1.0,septal region (septal nuclear complex),0.598302,C_dict,septofimbrial spelling
species,Stria medullaris thalami,needs_review,0.7255,HOMBA:10590,stria medullaris of thalamus,bm25+fuzzy,Stria medullaris thalami,stria medullaris of thalamus,,1.0,myelencephalon (medulla oblongata),0.40625,C_dict,latin word-order -> stria medullaris of thalamus
species,Optic tract and optic chiasm,needs_review,0.727822,HOMBA:10644,optic chiasm,bm25+fuzzy,Optic tract and optic chiasm,optic chiasm,,1.0,optic tract,0.376167,C_dict,compound enumeration
species,Kolliker-Fuse Nucleus,needs_review,0.756395,HOMBA:12518,Koelliker-Fuse nucleus,bm25+fuzzy,Kolliker-Fuse Nucleus,Koelliker-Fuse nucleus,,1.0,cerebellar deep nuclei,0.492784,C_dict,Kolliker -> Koelliker spelling
species,Laterodorsal thalamic nucleus,needs_review,0.769656,HOMBA:10393,anterodorsal nucleus of thalamus,bm25+fuzzy,laterodorsal nucleus of thalamus,anterodorsal nucleus of thalamus,,1.0,interanterodorsal nucleus of thalamus,0.73726,C_dict,laterodorsal -> lateral dorsal nucleus of thalamus
species,Intergeniculate leaflet,needs_review,0.773333,HOMBA:AA30305,intergeniculate leaf,bm25+fuzzy,Intergeniculate leaflet,intergeniculate leaf,,1.0,lateral geniculate nucleus (dorsal lateral geniculate nucleus),0.305917,C_dict,leaflet -> leaf
species,Precuneiform Nucleus,needs_review,0.773333,HOMBA:12240,cuneiform nucleus,bm25+fuzzy+hierarchy_parent,Precuneiform Nucleus,cuneiform nucleus,,1.0,precuneiform area,0.671252,C_dict,precuneiform area/nucleus
species,Optic tract/chiasma,needs_review,0.788377,HOMBA:10589,optic tract,bm25+fuzzy,Optic tract/chiasma,optic tract,,1.0,optic chiasm,0.542626,C_dict,compound; chiasma -> chiasm
species,Locus-coeruleus Region,needs_review,0.8084,HOMBA:12499,nucleus coeruleus (locus coeruleus),bm25+fuzzy,Locus-coeruleus Region,locus coeruleus,,1.0,,,C_dict,locus coeruleus region -> nucleus coeruleus
species,Dorsal Lateral Leminscus Nucleus,needs_review,0.81101,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),bm25+fuzzy,Dorsal Lateral Leminscus Nucleus,dorsal lateral geniculate nucleus,dorsal;lateral,1.0,dorsal nucleus of lateral lemniscus,0.794715,C_dict,Leminscus -> lemniscus; dorsal nucleus of lateral lemniscus
species,Retroreuniens thalamic nucleus,needs_review,0.815,HOMBA:10403,reuniens (medioventral) nucleus of thalamus,bm25+fuzzy,Retroreuniens thalamic nucleus,reuniens thalamic nucleus,,1.0,ventral midline nuclei of thalamus,0.7697,C_dict,reuniens word-order; reuniens nucleus of thalamus
