dataset,query,review_flag,score,top_homba_id,top_name,methods,matched_query,matched_alias,modifier_terms,modifier_match_score,rank2_name,rank2_score,_category,_mechanism
corpus,Prefrontal area 10pp,low_confidence,0.466685,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 10pp,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.444361,D_homba_gap,HOMBA lacks this granularity
corpus,Area 55b,low_confidence,0.468125,HOMBA:AA30011,area 55b of premotor cortex,bm25+fuzzy,Area 55b,area 55b of premotor cortex,,1.0,,,D_homba_gap,HOMBA lacks this granularity
corpus,Paracentral area 5mv,low_confidence,0.468271,HOMBA:12126,"paracentral lobule, rostral part",bm25+fuzzy,Paracentral area 5mv,"paracentral lobule, rostral part",,1.0,paracentral nucleus of thalamus,0.414023,D_homba_gap,HOMBA lacks this granularity
corpus,Paracentral area 5L,low_confidence,0.473193,HOMBA:12126,"paracentral lobule, rostral part",bm25+fuzzy,Paracentral area 5L,"paracentral lobule, rostral part",,1.0,"rostral division of SPC (area 5, area PE)",0.424342,D_homba_gap,HOMBA lacks this granularity
corpus,Paracentral area 5m,low_confidence,0.473193,HOMBA:12126,"paracentral lobule, rostral part",bm25+fuzzy,Paracentral area 5m,"paracentral lobule, rostral part",,1.0,"rostral division of SPC (area 5, area PE)",0.424342,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 10d,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 10d,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 10r,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 10r,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 47l,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 47l,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 47m,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 47m,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
corpus,Prefrontal area 47r,low_confidence,0.473285,HOMBA:10172,prefrontal cortex,bm25+fuzzy+hierarchy_parent,Prefrontal area 47r,prefrontal cortex,,1.0,anterior cingulate  cortex (ventromedial prefrontal cortex),0.450426,D_homba_gap,HOMBA lacks this granularity
