query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Mammillary body,mammillary body,HOMBA:15546,1.0,bm25+exact+fuzzy,Mammillary body,Mammillary body,,1.0,high_confidence,body of corpus callosum,0.275519
Pineal gland,pineal body,HOMBA:10460,1.0,bm25+exact+fuzzy,Pineal gland,Pineal gland,,1.0,high_confidence,pituitary body/gland (hypophysis),0.27775
Pulvinar nucleus,pulvinar of thalamus,HOMBA:10409,1.0,bm25+exact+fuzzy+hierarchy_parent,Pulvinar nucleus,Pulvinar nucleus,,1.0,high_confidence,lateroposterior-pulvinar complex,0.97
Subthalamic nucleus,subthalamic nucleus,HOMBA:10466,1.0,bm25+exact+fuzzy,Subthalamic nucleus,Subthalamic nucleus,,1.0,high_confidence,subthalamic fasciculus,0.274822
Thalamus (excluding pulvinar),thalamus,HOMBA:10390,0.88,bm25+exact+fuzzy,Thalamus,Thalamus,excluding;pulvinar;excluding pulvinar,0.0,needs_review,pulvinar of thalamus,0.7981
Inferior colliculus,inferior colliculus,HOMBA:12305,1.0,bm25+exact+fuzzy+hierarchy_parent,Inferior colliculus,Inferior colliculus,,1.0,high_confidence,brachium of inferior colliculus,0.813844
Red nucleus,red nucleus,HOMBA:12247,1.0,bm25+exact+fuzzy+hierarchy_parent,Red nucleus,Red nucleus,,1.0,high_confidence,"red nucleus, dorsomedial division",0.65229
Substantia nigra,substantia nigra,HOMBA:12251,1.0,bm25+exact+fuzzy+hierarchy_parent,Substantia nigra,Substantia nigra,,1.0,high_confidence,"substantia nigra, compact division",0.660445
Superior colliculus,superior colliculus,HOMBA:12292,1.0,bm25+exact+fuzzy+hierarchy_parent,Superior colliculus,Superior colliculus,,1.0,high_confidence,brachium of superior colliculus,0.813844
Abducens nucleus,abducens nucleus,HOMBA:12418,1.0,bm25+exact+fuzzy,Abducens nucleus,Abducens nucleus,,1.0,high_confidence,cerebellar deep nuclei,0.258872
