query,top_name,top_homba_id,score,methods,matched_alias,matched_query,modifier_terms,modifier_match_score,review_flag,rank2_name,rank2_score
Abducens Motor Nucleus,efferent nuclei of cranial nerves in pons,HOMBA:12417,0.819332,hierarchy_parent,efferent nuclei of cranial nerves in pons,Abducens Motor Nucleus,,1.0,needs_review,abducens nucleus,0.739332
Accumbens,nucleus accumbens,HOMBA:10339,1.0,bm25+exact+fuzzy+hierarchy_parent,Accumbens,Accumbens,,1.0,high_confidence,core of nucleus accumbens,0.7009
Accumbens nucleus,nucleus accumbens,HOMBA:10339,0.94,bm25+fuzzy+hierarchy_parent,nucleus accumbens,nucleus accumbens nucleus,,1.0,high_confidence,core of nucleus accumbens,0.61392
Amygdalohippocampal area,amygdalohippocampal area,HOMBA:10377,1.0,bm25+exact+fuzzy+hierarchy_parent,Amygdalohippocampal area,Amygdalohippocampal area,,1.0,high_confidence,amygdalohippocampal transition area,0.665675
Amygdalopiriform transition area,amygdalocortical transition area (amygdalopiriform transition area),HOMBA:10382,1.0,bm25+exact+fuzzy,Amygdalopiriform transition area,Amygdalopiriform transition area,,1.0,high_confidence,amygdaloid transition areas,0.97
Amygdalostriatal Transition,amygdalostriatal transition area,HOMBA:10381,0.951216,bm25+fuzzy,amygdalostriatal transition area,Amygdalostriatal Transition,,1.0,high_confidence,amygdaloid transition areas,0.353611
Amygdalostriatal transition area,amygdalostriatal transition area,HOMBA:10381,1.0,bm25+exact+fuzzy,Amygdalostriatal transition area,Amygdalostriatal transition area,,1.0,high_confidence,amygdaloid transition areas,0.353611
Ansa Lenticularis,ansa lenticularis,HOMBA:10571,1.0,bm25+exact+fuzzy,Ansa Lenticularis,Ansa Lenticularis,,1.0,high_confidence,ansa peduncularis,0.278026
Ansiform Lobule Crus1,lobule VII (semilunar-gracile lobule),HOMBA:AA30411,0.936667,bm25+hierarchy_parent,lobule VII (semilunar-gracile lobule),Ansiform Lobule Crus1,,1.0,high_confidence,lobule VIIA (semilunar lobule/ansiform lobule),0.856667
Ansiform Lobule Crus2,lobule VII (semilunar-gracile lobule),HOMBA:AA30411,0.936667,bm25+hierarchy_parent,lobule VII (semilunar-gracile lobule),Ansiform Lobule Crus2,,1.0,high_confidence,lobule VIIA (semilunar lobule/ansiform lobule),0.856667
Anterior amygdaloid area,anterior amygdaloid area,HOMBA:10362,1.0,bm25+exact+fuzzy+hierarchy_parent,Anterior amygdaloid area,Anterior amygdaloid area,,1.0,high_confidence,anterior-central nuclear group of amygdala,0.97
Anterior commissure,anterior commissure,HOMBA:10559,1.0,bm25+exact+fuzzy+hierarchy_parent,Anterior commissure,Anterior commissure,,1.0,high_confidence,rostral (anterior) branch of anterior commissure,0.697635
Anterior Hypothalamic Area,anterior hypothalamic area,HOMBA:266441551,1.0,bm25+exact+fuzzy,Anterior Hypothalamic Area,Anterior Hypothalamic Area,,1.0,high_confidence,anterior hypothalamic nucleus,0.650252
Anterior hypothalamic nucleus,anterior hypothalamic nucleus,HOMBA:10475,1.0,bm25+exact+fuzzy,Anterior hypothalamic nucleus,Anterior hypothalamic nucleus,,1.0,high_confidence,anterior hypothalamic area,0.756107
Anterior Interposed Cerebellar Nucleus,pontine raphe region,HOMBA:12471,0.649679,hierarchy_parent,pontine raphe region,Anterior Interposed Cerebellar Nucleus,,1.0,needs_review,interpositus (intermediate) nucleus,0.618036
Anterior pituitary,pituitary body/gland (hypophysis),HOMBA:10505,0.7181,bm25+hierarchy_parent,pituitary body/gland (hypophysis),Anterior pituitary,,1.0,needs_review,anterior lobe of pituitary body (adenohypophysis),0.6381
Anterior Pulvinar,pulvinar of thalamus,HOMBA:10409,0.7009,bm25+fuzzy+hierarchy_parent,pulvinar of thalamus,anterior pulvinar of thalamus,,1.0,needs_review,rostral division of pulvinar,0.665213
Anterior Tegmental Nucleus,anterior tegmental nucleus,HOMBA:AA30442,1.0,bm25+exact+fuzzy,Anterior Tegmental Nucleus,Anterior Tegmental Nucleus,,1.0,high_confidence,pontine raphe region,0.97
Anterior thalamic nucleus,anterior nuclear complex of thalamus,HOMBA:10392,1.0,bm25+exact+fuzzy+hierarchy_parent,anterior thalamic nuclei,anterior thalamic nuclei,,1.0,high_confidence,ventral anterior nucleus of thalamus,0.75465
Anterior Thalamus,ventroanterior-ventrolateral nuclear complex of thalamus,HOMBA:AA30289,0.59311,hierarchy_parent,ventroanterior-ventrolateral nuclear complex of thalamus,Anterior Thalamus,,1.0,low_confidence,anterior nuclear complex of thalamus,0.584295
Arcuate nucleus,arcuate nucleus of medulla oblongata,HOMBA:12536,0.786859,bm25+fuzzy,arcuate nucleus of medulla,Arcuate nucleus,,1.0,needs_review,arcuate nucleus of hypothalamus,0.71707
Basal Nucleus,basal ganglia (basal nuclei),HOMBA:10332,1.0,bm25+exact+fuzzy+hierarchy_parent,Basal Nucleus,Basal Nucleus,,1.0,high_confidence,basolateral nucleus (basal nucleus) of amygdala,1.0
Basal nucleus (of Meynert),basal nucleus of Meynert,HOMBA:10353,1.0,bm25+exact+fuzzy,Basal nucleus (of Meynert),Basal nucleus (of Meynert),meynert,1.0,high_confidence,basal ganglia (basal nuclei),0.88
Basolateral amygdaloid nucleus (dorsal),basolateral nucleus (basal nucleus) of amygdala,HOMBA:10368,0.631948,bm25+fuzzy,basolateral nucleus of amygdaloid complex,Basolateral amygdaloid nucleus,dorsal,0.0,needs_review,basolateral nuclear group of amygdala,0.492539
Basolateral amygdaloid nucleus (intermediate),basolateral nucleus (basal nucleus) of amygdala,HOMBA:10368,0.631948,bm25+fuzzy,basolateral nucleus of amygdaloid complex,Basolateral amygdaloid nucleus,intermediate,0.0,needs_review,basolateral nuclear group of amygdala,0.492539
Basolateral amygdaloid nucleus (ventral),basolateral nucleus (basal nucleus) of amygdala,HOMBA:10368,0.631948,bm25+fuzzy,basolateral nucleus of amygdaloid complex,Basolateral amygdaloid nucleus,ventral,0.0,needs_review,basolateral nuclear group of amygdala,0.492539
Basolateral Dorsal Amygdaloid Nucleus,basolateral nucleus (basal nucleus) of amygdala,HOMBA:10368,0.602737,bm25+fuzzy,basolateral nucleus of amygdaloid complex,Basolateral Dorsal Amygdaloid Nucleus,dorsal,0.0,needs_review,magnocellular (dorsal) division of BL,0.485791
Basolateral Intermediate Amygdaloid Nucleus,basolateral nuclear group of amygdala,HOMBA:10366,0.750735,bm25+fuzzy+hierarchy_parent,basolateral nuclear group of amygdala,Basolateral Intermediate Amygdaloid Nucleus,,1.0,needs_review,basolateral nucleus (basal nucleus) of amygdala,0.670735
Basolateral Ventral Amygdaloid Nucleus,basolateral nucleus (basal nucleus) of amygdala,HOMBA:10368,0.601338,bm25+fuzzy,basolateral nucleus of amygdaloid complex,Basolateral Ventral Amygdaloid Nucleus,ventral,0.0,needs_review,parvicellular (ventral) division of BL,0.487365
Basomedial amygdaloid nucleus,basolateral nuclear group of amygdala,HOMBA:10366,0.725873,bm25+hierarchy_parent,basolateral nuclear group of amygdala,Basomedial amygdaloid nucleus,,1.0,needs_review,basomedial nucleus (accessory basal nucleus) of amygdala,0.645873
Bed nucleus of the stria terminalis,bed nucleus of stria terminalis,HOMBA:10384,0.947234,bm25+fuzzy,bed nucleus of stria terminalis,Bed nucleus of the stria terminalis,,1.0,high_confidence,stria terminalis,0.338238
Brachium Superior Colliculus,brachium of superior colliculus,HOMBA:12328,0.954229,bm25+fuzzy,brachium of superior colliculus,Brachium Superior Colliculus,,1.0,high_confidence,superior colliculus,0.752528
Capsule of the Antherior Thalamus,thalamus,HOMBA:10390,0.490447,bm25+fuzzy,thalamus,Capsule of the Antherior Thalamus,,1.0,low_confidence,ventral midline nuclei of thalamus,0.463822
Caudate Head,head of caudate nucleus,HOMBA:10335,1.0,bm25+exact+fuzzy,Caudate Head,Caudate Head,,1.0,high_confidence,caudate nucleus (mediodorsal division of the CP),0.8342
Caudate nucleus,caudate nucleus (mediodorsal division of the CP),HOMBA:10334,1.0,bm25+exact+fuzzy+hierarchy_parent,Caudate nucleus,Caudate nucleus,,1.0,high_confidence,body of caudate nucleus,0.843297
Caudate Tail,tail of caudate nucleus (caudolateral division of the CP),HOMBA:10337,1.0,bm25+exact+fuzzy,Caudate Tail,Caudate Tail,,1.0,high_confidence,caudate nucleus (mediodorsal division of the CP),0.8342
Central amygdaloid nucleus,central nucleus of amygdala,HOMBA:10363,0.729451,bm25+fuzzy+hierarchy_parent,central nucleus of amygdaloid complex,Central amygdaloid nucleus,,1.0,needs_review,anterior-central nuclear group of amygdala,0.696128
Central Gray Nucleus,central gray region of pons,HOMBA:146034964,0.621613,bm25+fuzzy,central gray region of pons,Central Gray Nucleus,,1.0,needs_review,central gray of medulla oblongata,0.607446
Central Medial Thalamus,central medial nucleus of thalamus,HOMBA:10445,0.891381,bm25+fuzzy,central medial nuclei of thalamus,Central Medial Thalamus,medial,1.0,needs_review,central dorsal nucleus of thalamus,0.484718
"Central opercular cortex, anterior",anterior lobe of cerebellar cortex,HOMBA:12838,0.472497,bm25+fuzzy,anterior lobe of cerebellar cortex,"Central opercular cortex, anterior",,1.0,low_confidence,rostral (anterior) branch of anterior commissure,0.472383
"Central opercular cortex, posterior",frontal motor cortex (posterior frontal cortex),HOMBA:AA30009,0.645941,bm25+fuzzy,posterior frontal cortex,"Central opercular cortex, posterior",posterior,1.0,needs_review,medial (caudal) entorhinal cortex,0.632892
Centrolateral and paracentral thalamic nuclei,rostral intralaminar nuclei of thalamus,HOMBA:10443,0.719859,hierarchy_parent,rostral intralaminar nuclei of thalamus,Centrolateral and paracentral thalamic nuclei,,1.0,needs_review,paracentral nucleus of thalamus,0.639859
Centrolateral and Paracentral Thalamus,rostral intralaminar nuclei of thalamus,HOMBA:10443,0.601533,hierarchy_parent,rostral intralaminar nuclei of thalamus,Centrolateral and Paracentral Thalamus,,1.0,needs_review,ventroanterior-ventrolateral nuclear complex of thalamus,0.553369
Centromedial-parafascicular Thalamus,caudal intralaminar nuclei of thalamus,HOMBA:10448,0.616965,hierarchy_parent,caudal intralaminar nuclei of thalamus,Centromedial-parafascicular Thalamus,,1.0,needs_review,ventral midline nuclei of thalamus,0.600389
Centromedian and parafascicular thalamic complex,parafascicular nucleus of thalamus,HOMBA:10450,0.512541,bm25+fuzzy+hierarchy_parent,parafascicular thalamic nucleus,Centromedian and parafascicular thalamic complex,,1.0,low_confidence,centromedian nucleus of thalamus,0.498615
Cerebellar Lobule 1 Vermis,cerebellar morphology,HOMBA:AA30563,0.798608,bm25+fuzzy+hierarchy_parent,cerebellar morphology,Cerebellar Lobule 1 Vermis,,1.0,needs_review,cerebellar vermis,0.718608
Cerebellar Lobule 10 Vermis,cerebellar morphology,HOMBA:AA30563,0.792039,bm25+hierarchy_parent,cerebellar morphology,Cerebellar Lobule 10 Vermis,,1.0,needs_review,cerebellar vermis,0.712039
Cerebellar Lobule 2 Vermis,cerebellar morphology,HOMBA:AA30563,0.798608,bm25+fuzzy+hierarchy_parent,cerebellar morphology,Cerebellar Lobule 2 Vermis,,1.0,needs_review,cerebellar vermis,0.718608
Cerebellar Lobule 3 Intermediate,cerebellar morphology,HOMBA:AA30563,0.547117,bm25+hierarchy_parent,cerebellar morphology,Cerebellar Lobule 3 Intermediate,,1.0,low_confidence,cerebellar lobules,0.514726
Cerebellar Lobule 3 Vermis,cerebellar morphology,HOMBA:AA30563,0.798608,bm25+hierarchy_parent,cerebellar morphology,Cerebellar Lobule 3 Vermis,,1.0,needs_review,cerebellar vermis,0.718608
Cerebellar Lobule 4 Intermediate,cerebellar morphology,HOMBA:AA30563,0.547117,bm25+hierarchy_parent,cerebellar morphology,Cerebellar Lobule 4 Intermediate,,1.0,low_confidence,cerebellar lobules,0.514726
