dataset,query,role,review_reference_top1_id,base_id,base_name,base_score,base_flag,impr_id,impr_name,impr_score,impr_flag
corpus,External globus pallidus,llm_accept_top1,HOMBA:10343,HOMBA:10343,external division of globus pallidus,0.9362,high_confidence,HOMBA:10343,external division of globus pallidus,0.9362,high_confidence
corpus,Internal capsule (posterior limb),llm_accept_top1,HOMBA:10584,HOMBA:10584,caudal limb of internal capsule,0.9509,high_confidence,HOMBA:10584,caudal limb of internal capsule,0.9509,high_confidence
corpus,Cerebellar cortex (molecular layer),llm_accept_top1,HOMBA:AA30427,HOMBA:AA30427,molecular layer of cerebellar cortex,0.9302,high_confidence,HOMBA:AA30427,molecular layer of cerebellar cortex,0.9302,high_confidence
species,External globus pallidus,llm_accept_top1,HOMBA:10343,HOMBA:10343,external division of globus pallidus,0.9362,high_confidence,HOMBA:10343,external division of globus pallidus,0.9362,high_confidence
species,Medial lemniscus decussation,llm_accept_top1,HOMBA:12732,HOMBA:12732,decussation of medial lemniscus,0.9323,high_confidence,HOMBA:12732,decussation of medial lemniscus,0.9329,high_confidence
corpus,Internal globus pallidus,llm_reject_top1,,HOMBA:10342,globus pallidus (paleostriatum),0.9001,high_confidence,HOMBA:10342,globus pallidus (paleostriatum),0.9001,high_confidence
species,Internal globus pallidus,llm_reject_top1,,HOMBA:10342,globus pallidus (paleostriatum),0.9001,high_confidence,HOMBA:10342,globus pallidus (paleostriatum),0.9001,high_confidence
corpus,Frontal eye field,llm_accept_top1,HOMBA:AA30010,HOMBA:AA30010,frontal eye field of premotor cortex,0.617,needs_review,HOMBA:AA30010,frontal eye field of premotor cortex,0.617,needs_review
corpus,Olfactory cortex,llm_accept_top1,HOMBA:11371,HOMBA:11371,olfactory division of entorhinal cortex,0.6137,needs_review,HOMBA:11371,olfactory division of entorhinal cortex,0.6137,needs_review
corpus,Middle occipital gyrus,llm_accept_top1,HOMBA:12148,HOMBA:12148,occipital lobe,0.6439,needs_review,HOMBA:12148,occipital lobe,0.6439,needs_review
corpus,Medial insular area,llm_accept_top1,HOMBA:AA30006,HOMBA:AA30006,medial division of orbitofrontal insular cortex,0.41,low_confidence,HOMBA:AA30006,medial division of orbitofrontal insular cortex,0.41,low_confidence
corpus,Temporal occipital fusiform cortex,llm_accept_top1,HOMBA:13324,HOMBA:13324,ventrolateral temporal cortex,0.6743,needs_review,HOMBA:13324,ventrolateral temporal cortex,0.6743,needs_review
corpus,Parietal opercular cortex,llm_accept_top1,HOMBA:10208,HOMBA:10208,parietal cortex,0.698,needs_review,HOMBA:10208,parietal cortex,0.698,needs_review
corpus,Vagus (spinal accessory) neurons,llm_accept_top1,HOMBA:AA30587,HOMBA:AA30587,spinal accessory nucleus,0.7297,needs_review,HOMBA:AA30587,spinal accessory nucleus,0.7297,needs_review
corpus,Temporal frontal cortex (anterior),llm_accept_top1,HOMBA:10241,HOMBA:10241,rostral division of area 22,0.7593,needs_review,HOMBA:10241,rostral division of area 22,0.7593,needs_review
corpus,Forel's field H1,llm_accept_top1,HOMBA:10593,HOMBA:10593,thalamic fasciculus (field H1),0.7663,needs_review,HOMBA:10593,thalamic fasciculus (field H1),0.7663,needs_review
corpus,Forel's field H2,llm_accept_top1,HOMBA:10585,HOMBA:10585,lenticular fasciculus (field H2),0.7663,needs_review,HOMBA:10585,lenticular fasciculus (field H2),0.7663,needs_review
corpus,Secondary visual cortex,llm_accept_top1,HOMBA:AA30822,HOMBA:AA30822,dorsolateral extrastriate occipital cortex,0.8347,needs_review,HOMBA:AA30823,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",0.7547,needs_review
corpus,Superior parietal gyrus,llm_accept_top1,HOMBA:12131,HOMBA:12131,parietal lobe,0.8771,needs_review,HOMBA:12133,superior parietal lobule (gyrus),0.7971,needs_review
corpus,Lateral intraparietal area (ventral),llm_accept_top1,HOMBA:267498979,HOMBA:267498979,lateral subdivision of area 7,0.5793,modifier_conflict,HOMBA:267498979,lateral subdivision of area 7,0.5793,modifier_conflict
corpus,Uncus,llm_accept_top1,HOMBA:12165,HOMBA:12165,uncus of (para)hippocampal gyrus,0.224,low_confidence,HOMBA:12165,uncus of (para)hippocampal gyrus,0.224,low_confidence
corpus,Median cingulate and paracingulate gyri,llm_accept_top1,HOMBA:146034872,HOMBA:146034872,paracingulate gyrus,0.4529,low_confidence,HOMBA:146034872,paracingulate gyrus,0.4529,low_confidence
corpus,V4 transitional area,llm_accept_top1,HOMBA:AA30818,HOMBA:AA30818,transitional fourth visual area (V4T),0.4783,low_confidence,HOMBA:AA30818,transitional fourth visual area (V4T),0.4783,low_confidence
corpus,Rolandic operculum,llm_accept_top1,HOMBA:12127,HOMBA:12127,frontal operculum,0.4835,low_confidence,HOMBA:12127,frontal operculum,0.4835,low_confidence
