structure_name,expected_homba_id,expected_homba_name,notes
Abducens nucleus,HOMBA:12418,abducens nucleus,pons | cranial nerve VI
ACC,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),abbreviation | anterior cingulate cortex
Amygdala,HOMBA:10361,amygdaloid complex,basic
amygdala,HOMBA:10361,amygdaloid complex,synonym | should_match_amygdaloid_complex_via_alias
Amygdaloid complex,HOMBA:10361,amygdaloid complex,synonym | should_match_amygdaloid_complex_HOMBA
Angular gyrus,HOMBA:12136,angular gyrus,gyrus_name | gyrus
Anterior cingulate cortex,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),compound | cortex | ACC
Anterior commissure,HOMBA:10559,anterior commissure,fiber_tract
Anterior thalamic nuclei,HOMBA:10392,anterior nuclear complex of thalamus,thalamus
ARC,HOMBA:10492,arcuate nucleus of hypothalamus,abbrev | arcuate nucleus
Arcuate fasciculus,HOMBA:10569,arcuate fasciculus,white_matter | fiber_tract | language fiber tract vs hypothalamic nucleus | language white matter
Area 17,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",cytoarchitectonic | Brodmann area - primary visual
Auditory cortex,HOMBA:10236,"primary auditory cortex (first auditory cortex, auditory core region)",cortex | generic
Basal ganglia,HOMBA:10332,basal ganglia (basal nuclei),collective_term | collective
Basolateral amygdala,HOMBA:10366,basolateral nuclear group of amygdala,compound_modifier | amygdala | BLA
Bed nucleus of stria terminalis,HOMBA:10384,bed nucleus of stria terminalis,full_name | BNST
Bilateral amygdala,HOMBA:10361,amygdaloid complex,laterality
BNST,HOMBA:10384,bed nucleus of stria terminalis,abbreviation | abbrev | bed nucleus of stria terminalis
Broca area,HOMBA:10185,ventrolateral prefrontal cortex (Broca's area in dominant hemisphere),eponym | inferior frontal gyrus
Broca's area,HOMBA:10185,ventrolateral prefrontal cortex (Broca's area in dominant hemisphere),eponym | with possessive
Brodmann area 4,HOMBA:10163,"primary motor cortex (first motor cortex, area 4, area FA)",cytoarchitectonic | M1
CA1,HOMBA:10297,CA1 region of hippocampus,abbreviation | abbrev | hippocampal_subfield | hippocampal subfield
CA2,HOMBA:10298,CA2 region of hippocampus,abbrev | hippocampal subfield
CA3,HOMBA:10299,CA3 region of hippocampus,abbreviation | abbrev | hippocampal_subfield | hippocampal subfield
Caudate nucleus,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),basal_ganglia
Central amygdala,HOMBA:10363,central nucleus of amygdala,compound_modifier | amygdala | CeA
Cerebellar cortex,HOMBA:10657,cerebellar cortex,cerebellum
Cerebellar deep nuclei,HOMBA:10660,cerebellar deep nuclei,cerebellum
Cerebellar hemisphere,HOMBA:10659,cerebellar hemisphere,cerebellum
Cerebellum,HOMBA:10656,cerebellum,basic | cerebellum
Cerebral cortex,HOMBA:10159,cerebral cortex,collective_term | basic | basic brain region
Cerebral hemisphere,HOMBA:10158,telencephalon,basic
Cingulate cortex,HOMBA:10277,cingulate cortex,synonym | cortex | should match HOMBA cingulate cortex
Cingulate gyrus,HOMBA:10277,cingulate cortex,level1_issue | gyrus | paracingulate_gyrus_wrong_match | gyrus vs cortex synonym
Cingulum,HOMBA:10572,cingulum bundle,fiber_tract
Claustrum,HOMBA:10346,claustrum,subcortical
Cochlear nucleus,HOMBA:12437,cochlear nuclei,cranial_nerve
Corpus callosum,HOMBA:10561,corpus callosum,fiber_tract
Corticospinal tract,HOMBA:12047,corticospinal tract,fiber_tract
Cuneate nucleus,HOMBA:12589,cuneate nucleus,
Cuneus,HOMBA:12150,cuneus (gyrus),lobe_structure | gyrus | occipital
Dentate gyrus,HOMBA:10295,dentate gyrus,gyrus_name | gyrus | hippocampal subregion
Dentate nucleus,HOMBA:12396,dentate (lateral) nucleus,cerebellar_nucleus | cerebellum
Diagonal band of Broca,HOMBA:12034,diagonal band,eponym | fiber tract | basal forebrain
Diencephalon,HOMBA:10389,diencephalon,basic
Dorsal motor nucleus of vagus,HOMBA:12550,dorsal motor nucleus of the vagus (vagal nerve nucleus),medulla | cranial nerve X
Dorsal raphe,HOMBA:12223,dorsal raphe nucleus,abbreviation | missing nucleus
Dorsal raphe nucleus,HOMBA:12223,dorsal raphe nucleus,raphe | DRN
Dorsal striatum,HOMBA:AA30192,"dorsal striatum (caudoputamen complex-CP, STRd)",compound | basal_ganglia | should match dorsal striatum
Dorsolateral prefrontal cortex,HOMBA:10173,dorsolateral prefrontal cortex,compound_term | cortex | dlPFC
Dorsomedial hypothalamic nucleus,HOMBA:10485,dorsomedial hypothalamic nucleus,compound | hypothalamus | DMH
DRN,HOMBA:12223,dorsal raphe nucleus,abbrev | dorsal raphe
Emboliform nucleus,HOMBA:12401,lateral interpositus (emboliform) nucleus,cerebellar_nucleus | cerebellum
Entorhinal area,HOMBA:10317,entorhinal cortex,synonym | alternative name for entorhinal cortex | alternative for entorhinal cortex
Entorhinal cortex,HOMBA:10317,entorhinal cortex,cortex_name | cortex
External capsule,HOMBA:10573,external capsule,fiber_tract
Extreme capsule,HOMBA:10574,extreme capsule,fiber_tract
Facial motor nucleus,HOMBA:12420,facial nucleus,pons | cranial nerve VII
Facial nucleus,HOMBA:12420,facial nucleus,medulla | cranial nerve VII
Fastigial nucleus,HOMBA:12402,fastigial (medial) nucleus,cerebellar_nucleus | cerebellum
Fimbria of hippocampus,HOMBA:10575,fimbria,fiber_tract
Flocculus,HOMBA:AA30424,lobule Xa (flocculus),cerebellum
Fornix,HOMBA:10576,fornix,fiber_tract
Fourth ventricle,HOMBA:12805,fourth ventricle,ventricle
Frontal lobe,HOMBA:12113,frontal lobe,lobe
Fusiform gyrus,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,gyrus_name | gyrus
Globose nucleus,HOMBA:12400,medial interpositus (globose) nucleus,cerebellar_nucleus | cerebellum
Globus pallidus,HOMBA:10342,globus pallidus (paleostriatum),basal_ganglia
Globus pallidus externa,HOMBA:10343,external division of globus pallidus,basal_ganglia | GPe variant
Globus pallidus interna,HOMBA:10344,internal division of globus pallidus,basal_ganglia | GPi variant
GPe,HOMBA:10343,external division of globus pallidus,abbrev | external globus pallidus
GPi,HOMBA:10344,internal division of globus pallidus,abbrev | internal globus pallidus
