structure_name,species,source_atlas
Abducens Motor Nucleus,Macaque,SARM
Accumbens,Macaque,SARM
Accumbens nucleus,Macaque,Hartig2020_SARM
Amygdalohippocampal area,Macaque,Hartig2020_SARM | SARM
Amygdalopiriform transition area,Macaque,Hartig2020_SARM | SARM
Amygdalostriatal Transition,Macaque,SARM
Amygdalostriatal transition area,Macaque,Hartig2020_SARM
Ansa Lenticularis,Macaque,SARM
Ansiform Lobule Crus1,Macaque,SARM
Ansiform Lobule Crus2,Macaque,SARM
Anterior amygdaloid area,Macaque,Hartig2020_SARM | SARM
Anterior commissure,Macaque,Hartig2020_SARM | SARM
Anterior Hypothalamic Area,Macaque,SARM
Anterior hypothalamic nucleus,Macaque,Hartig2020_SARM
Anterior Interposed Cerebellar Nucleus,Macaque,SARM
Anterior pituitary,Macaque,Hartig2020_SARM | SARM
Anterior Pulvinar,Macaque,SARM
Anterior Tegmental Nucleus,Macaque,SARM
Anterior thalamic nucleus,Macaque,Hartig2020_SARM
Anterior Thalamus,Macaque,SARM
Arcuate nucleus,Macaque,Hartig2020_SARM | SARM
Basal Nucleus,Macaque,SARM
Basal nucleus (of Meynert),Macaque,Hartig2020_SARM
Basolateral amygdaloid nucleus (dorsal),Macaque,Hartig2020_SARM
Basolateral amygdaloid nucleus (intermediate),Macaque,Hartig2020_SARM
Basolateral amygdaloid nucleus (ventral),Macaque,Hartig2020_SARM
Basolateral Dorsal Amygdaloid Nucleus,Macaque,SARM
Basolateral Intermediate Amygdaloid Nucleus,Macaque,SARM
Basolateral Ventral Amygdaloid Nucleus,Macaque,SARM
Basomedial amygdaloid nucleus,Macaque,Hartig2020_SARM | SARM
Bed nucleus of the stria terminalis,Macaque,Hartig2020_SARM | SARM
Brachium Superior Colliculus,Macaque,SARM
Capsule of the Antherior Thalamus,Macaque,SARM
Caudate Head,Macaque,SARM
Caudate nucleus,Macaque,Hartig2020_SARM
Caudate Tail,Macaque,SARM
Central amygdaloid nucleus,Macaque,Hartig2020_SARM | SARM
Central Gray Nucleus,Macaque,SARM
Central Medial Thalamus,Macaque,SARM
"Central opercular cortex, anterior",Macaque,mHOA2
"Central opercular cortex, posterior",Macaque,mHOA2
Centrolateral and paracentral thalamic nuclei,Macaque,Hartig2020_SARM
Centrolateral and Paracentral Thalamus,Macaque,SARM
Centromedial-parafascicular Thalamus,Macaque,SARM
Centromedian and parafascicular thalamic complex,Macaque,Hartig2020_SARM
Cerebellar Lobule 1 Vermis,Macaque,SARM
Cerebellar Lobule 10 Vermis,Macaque,SARM
Cerebellar Lobule 2 Vermis,Macaque,SARM
Cerebellar Lobule 3 Intermediate,Macaque,SARM
Cerebellar Lobule 3 Vermis,Macaque,SARM
Cerebellar Lobule 4 Intermediate,Macaque,SARM
Cerebellar Lobule 4 Vermis,Macaque,SARM
Cerebellar Lobule 5 Intermediate,Macaque,SARM
Cerebellar Lobule 5 Vermis,Macaque,SARM
Cerebellar Lobule 6 Intermediate,Macaque,SARM
Cerebellar Lobule 6 Vermis,Macaque,SARM
Cerebellar Lobule 7 Vermis,Macaque,SARM
Cerebellar Lobule 8 Vermis,Macaque,SARM
Cerebellar Lobule 9 Vermis,Macaque,SARM
Cerebral peduncle,Macaque,Hartig2020_SARM | SARM
"Cingulate gyrus, anterior",Macaque,mHOA2
"Cingulate gyrus, posterior",Macaque,mHOA2
Claustrum,Macaque,Hartig2020_SARM | SARM
Cochlear Nucleus,Macaque,SARM
Copula of the Pyramis,Macaque,SARM
Corticospinal Tract,Macaque,SARM
Crossing of the superior cerebellar peduncle,Macaque,Hartig2020_SARM
Cuneate Gracile Nuclei,Macaque,SARM
Cuneiform Nucleus,Macaque,SARM
Dorsal endopiriform claustrum,Macaque,Hartig2020_SARM | SARM
Dorsal Lateral Geniculate,Macaque,SARM
Dorsal lateral geniculate nucleus,Macaque,Hartig2020_SARM
Dorsal Lateral Leminscus Nucleus,Macaque,SARM
Dorsal Medial Hypothalamic Nucleus,Macaque,SARM
Dorsal Paragigantocellular Reticular Nucleus,Macaque,SARM
Dorsal raphe,Macaque,Hartig2020_SARM | SARM
Dorsomedial hypothalamic nucleus,Macaque,Hartig2020_SARM
Endopiriform nucleus,Macaque,Hartig2020_SARM
Extended amygdala,Macaque,Hartig2020_SARM | SARM
External globus pallidus,Macaque,Hartig2020_SARM | SARM
Facial Motor Nucleus,Macaque,SARM
Fasciculus retroflexus,Macaque,Hartig2020_SARM
Fastigial Cerebellar Nucleus,Macaque,SARM
Fimbria,Macaque,Hartig2020_SARM | SARM
Flocculus,Macaque,SARM
Fornix,Macaque,Hartig2020_SARM | SARM
Fourth Nerve,Macaque,SARM
Frontal medial cortex,Macaque,mHOA2
"Frontal orbital cortex, anterior",Macaque,mHOA2
"Frontal orbital cortex, lateral",Macaque,mHOA2
"Frontal orbital cortex, medial",Macaque,mHOA2
"Frontal orbital cortex, posterior",Macaque,mHOA2
Frontal pole,Macaque,mHOA2
Gigantocellular Reticular Nucleus,Macaque,SARM
Habenula,Macaque,Hartig2020_SARM | SARM
Head of caudate nucleus,Macaque,Hartig2020_SARM
Hippocampus,Macaque,Hartig2020_SARM | SARM
Inferior Cerebellar Peduncle,Macaque,SARM
Inferior colliculus,Macaque,Hartig2020_SARM | SARM
Inferior frontal gyrus,Macaque,mHOA2
Inferior Olive,Macaque,SARM
Inferior Pulvinar,Macaque,SARM
Inferior temporal gyrus,Macaque,mHOA2
Insular cortex,Macaque,mHOA2
Interanteromedial Thalamus,Macaque,SARM
Intermediate+ventral Lateral Lemniscus Nuclei,Macaque,SARM
Intermediodorsal thalamic nucleus,Macaque,Hartig2020_SARM
Intermediodorsal Thalamus,Macaque,SARM
Internal capsule,Macaque,Hartig2020_SARM | SARM
Internal globus pallidus,Macaque,Hartig2020_SARM | SARM
Interpeduncular Nucleus,Macaque,SARM
Intra-amygdaloid division of the bed nucleus of the stria terminalis,Macaque,Hartig2020_SARM
Intraamygdaloid Stria Terminalis,Macaque,SARM
"Intracalcarine cortex, inferior",Macaque,mHOA2
"Intracalcarine cortex, superior",Macaque,mHOA2
Justaparaventricular Lateral Hypothalamus,Macaque,SARM
Juxtaparaventricular nucleus,Macaque,Hartig2020_SARM
Kolliker-Fuse Nucleus,Macaque,SARM
Lamina Terminalis,Macaque,SARM
Lamina terminalis and vascular organ,Macaque,Hartig2020_SARM
Lateral amygdaloid nucleus (dorsal),Macaque,Hartig2020_SARM
Lateral amygdaloid nucleus (ventral),Macaque,Hartig2020_SARM
Lateral Cerebellar Nucleus,Macaque,SARM
Lateral Dorsal Amygdaloid Nucleus,Macaque,SARM
Lateral Dorsal Tegmentum,Macaque,SARM
Lateral Dorsal Thalamus,Macaque,SARM
Lateral hypothalamic area,Macaque,Hartig2020_SARM | SARM
Lateral Lemniscus,Macaque,SARM
Lateral Parabrachial Nucleus,Macaque,SARM
"Lateral parietal cortex, inferior",Macaque,mHOA2
"Lateral parietal cortex, superior",Macaque,mHOA2
Lateral Posterior Thalamus,Macaque,SARM
Lateral Pulvinar,Macaque,SARM
Lateral Reticular Nucleus,Macaque,SARM
Lateral Ventral Amygdaloid Nucleus,Macaque,SARM
Lateral ventricle,Macaque,Hartig2020_SARM
Laterodorsal thalamic nucleus,Macaque,Hartig2020_SARM
Limitans Thalamus,Macaque,SARM
Linear raphe,Macaque,Hartig2020_SARM | SARM
Locus-coeruleus Region,Macaque,SARM
Mammillary Hypothalamus,Macaque,SARM
Mammillary nucleus,Macaque,Hartig2020_SARM
Medial amygdaloid nucleus,Macaque,Hartig2020_SARM | SARM
Medial cerebellar peduncle,Macaque,Hartig2020_SARM | SARM
Medial Dorsal Tegmentum,Macaque,SARM
Medial eminence,Macaque,Hartig2020_SARM
Medial Emminence,Macaque,SARM
Medial Geniculate,Macaque,SARM
Medial geniculate nucleus,Macaque,Hartig2020_SARM
Medial Lemniscus,Macaque,SARM
Medial longitudinal fascicle,Macaque,Hartig2020_SARM
Medial Parabrachial Nucleus,Macaque,SARM
Medial parietal cortex,Macaque,mHOA2
Medial Pulvinar,Macaque,SARM
Medial Raphe,Macaque,SARM
Mediodorsal thalamic nucleus,Macaque,Hartig2020_SARM
Mediodorsal Thalamus,Macaque,SARM
Mediolateral Fascicle,Macaque,SARM
Medullar Reticular Nucleus,Macaque,SARM
Mesencephalic Reticular Formation,Macaque,SARM
Mesencephalic Trigeminal Nerve,Macaque,SARM
Midbrain reticular formation,Macaque,Hartig2020_SARM
Middle frontal gyrus,Macaque,mHOA2
Mircrocellular Tegmentum,Macaque,SARM
Motor Trigeminal Nucleus,Macaque,SARM
Obex,Macaque,SARM
Occulomotor Nerve,Macaque,SARM
Occulomotor Nuclei,Macaque,SARM
Oculomotor complex,Macaque,Hartig2020_SARM
Olfactory tubercle,Macaque,Hartig2020_SARM
Olfactory Tubercule,Macaque,SARM
Olivocerebellar Tract,Macaque,SARM
Optic Tract,Macaque,SARM
Optic tract/chiasma,Macaque,Hartig2020_SARM
P1 Mesencephalic Reticulum,Macaque,SARM
Parabigeminal Nucleus,Macaque,SARM
Paraflocculus,Macaque,SARM
Parahippocampal gyrus,Macaque,mHOA2
Paralaminar amygdaloid nucleus,Macaque,Hartig2020_SARM | SARM
Paramedian Lobule,Macaque,SARM
Paratenial-paraventral-thalamus,Macaque,SARM
Paraventricular Anterior Thalamus,Macaque,SARM
Paraventricular hypothalamic nucleus,Macaque,Hartig2020_SARM
Paraventricular Hypothalamus,Macaque,SARM
Paraventricular Posterior Thalamus,Macaque,SARM
Parietal opercular cortex,Macaque,mHOA2
Parvicellular and Intermediate Reticular Nuclei,Macaque,SARM
Peduncular lateral hypothalamic nucleus,Macaque,Hartig2020_SARM
Peduncular Lateral Hypothalamus,Macaque,SARM
Pedunculopontine Nucleus,Macaque,SARM
Peri-basal region,Macaque,Hartig2020_SARM | SARM
Periaqueductal gray,Macaque,Hartig2020_SARM | SARM
Perifornical nucleus,Macaque,Hartig2020_SARM
Pineal gland,Macaque,Hartig2020_SARM | SARM
Piriform cortex,Macaque,Hartig2020_SARM | SARM
Pontine nucleus,Macaque,Hartig2020_SARM | SARM
Pontine Reticulum Caudal,Macaque,SARM
Pontine Reticulum Oral,Macaque,SARM
"Postcentral gyrus, lateral",Macaque,mHOA2
"Postcentral gyrus, medial",Macaque,mHOA2
Posterior Commissural Nuclei,Macaque,SARM
Posterior Commissure,Macaque,SARM
Posterior hypothalamic nucleus,Macaque,Hartig2020_SARM | SARM
Posterior Interposed Cerebellar Nucleus,Macaque,SARM
Posterior Interstitial Nucleus,Macaque,SARM
Posterior interstitial nucleus of the anterior commissure,Macaque,Hartig2020_SARM
Posterior pituitary,Macaque,Hartig2020_SARM | SARM
Pre-supplementary motor area,Macaque,mHOA2
"Precentral gyrus, lateral",Macaque,mHOA2
"Precentral gyrus, medial/supplementary motor area",Macaque,mHOA2
Precommissural nucleus,Macaque,Hartig2020_SARM | SARM
Precuneiform Nucleus,Macaque,SARM
Prefornical Hypothalamus,Macaque,SARM
Prelunate gyrus,Macaque,mHOA2
"Premotor cortex, dorsal",Macaque,mHOA2
"Premotor cortex, ventral",Macaque,mHOA2
Preoptic area,Macaque,Hartig2020_SARM | SARM
Prepositus Nucleus,Macaque,SARM
Prerubral Field,Macaque,SARM
Principal Trigeminal Nucleus,Macaque,SARM
Putamen,Macaque,Hartig2020_SARM | SARM
Pyramidal Tract,Macaque,SARM
Pyramidal Tract Decussation,Macaque,SARM
Raphe Magnus Nucleus,Macaque,SARM
Raphe Obscurus Nucleus,Macaque,SARM
Red nucleus,Macaque,Hartig2020_SARM | SARM
Reticular thalamic nucleus,Macaque,Hartig2020_SARM
Reticular Thalamus,Macaque,SARM
Reticulotegmentum,Macaque,SARM
Retro-mammillary nucleus,Macaque,Hartig2020_SARM
Retroisthmic Nucleus,Macaque,SARM
Retromammillary Hypothalamus,Macaque,SARM
Retrorubral Field,Macaque,SARM
Reuniens-rhomboid-xiphoid Thalamus,Macaque,SARM
Saginum Nucleus,Macaque,SARM
Sensory Root of the Trigeminal Nerve,Macaque,SARM
Septimbrial nucleus,Macaque,Hartig2020_SARM | SARM
Septum and diagonal band,Macaque,Hartig2020_SARM
Septum Diagonal Band,Macaque,SARM
Simple Lobule,Macaque,SARM
Solitary Tract Nucleus,Macaque,SARM
Spinal Trigeminal Nucleus Caudal,Macaque,SARM
