graph_order,unified_ontology_id,unified_ontology_acronym,unified_ontology_name,unified_ontology_label_value,DHBA_name,DHBA_acronym,DHBA_id,r,g,b,hierarchy and full names_y,Unnamed: 2_y,Unnamed: 3_y,Unnamed: 4_y,Unnamed: 5_y,Unnamed: 6_y,Unnamed: 7_y,Unnamed: 8_y,Unnamed: 9_y,Unnamed: 10_y,Unnamed: 11_y,Unnamed: 12_y,Unnamed: 13_y,Unnamed: 14_y,Unnamed: 15_y,parent_identifier,parent
0,HOMBA:10154,CNS,central nervous system (neural tube),501,neural tube,NT,10154.0,60,180,75,central nervous system (neural tube),,,,,,,,,,,,,,,,
1,HOMBA:10155,Br,brain,502,brain,Br,10155.0,128,128,0,,brain,,,,,,,,,,,,,,HOMBA:10154,0.0
2,HOMBA:AA30000,BGM,gray matter of brain,503,,,,0,130,200,,,gray matter of brain,,,,,,,,,,,,,HOMBA:10155,1.0
3,HOMBA:10156,FB,gray matter of forebrain (prosencephalon),84,forebrain (prosencephalon),F,10156.0,0,0,128,,,,gray matter of forebrain (prosencephalon),,,,,,,,,,,,HOMBA:AA30000,2.0
4,HOMBA:10158,Tel,telencephalon,504,telencephalon,Tel,10158.0,230,25,75,,,,,telencephalon,,,,,,,,,,,HOMBA:10156,3.0
5,HOMBA:10159,Cx,cerebral cortex,505,cerebral cortex,Cx,10159.0,0,0,128,,,,,,cerebral cortex,,,,,,,,,,HOMBA:10158,4.0
6,HOMBA:10160,NCx,neocortex (isocortex),506,neocortex (isocortex),NCx,10160.0,255,215,180,,,,,,,neocortex (isocortex),,,,,,,,,HOMBA:10159,5.0
7,HOMBA:AA30001,NCxR,regions (areas) of neocortex,507,,,,0,0,128,,,,,,,,regions (areas) of neocortex,,,,,,,,HOMBA:10160,6.0
8,HOMBA:10161,FCx,frontal cortex,508,frontal neocortex,FCx,10161.0,0,128,128,,,,,,,,,frontal cortex,,,,,,,HOMBA:AA30001,7.0
9,HOMBA:10172,PFC,prefrontal cortex,509,prefrontal cortex,PFC,10172.0,240,50,230,,,,,,,,,,prefrontal cortex,,,,,,HOMBA:10161,8.0
10,HOMBA:10190,A10,"frontal polar cortex (FP, area 10)",510,frontal polar cortex (area 10),A10,10190.0,0,0,128,,,,,,,,,,,"frontal polar cortex (FP, area 10)",,,,,HOMBA:10172,9.0
11,HOMBA:10191,A10m,medial subdivision of area 10,511,medial subdivision of area 10,A10m,10191.0,60,180,75,,,,,,,,,,,,medial subdivision of area 10,,,,HOMBA:10190,10.0
12,HOMBA:10192,A10l,lateral subdivision of area 10,512,lateral subdivision of area 10,A10l,10192.0,214,255,190,,,,,,,,,,,,lateral subdivision of area 10,,,,HOMBA:10190,10.0
13,HOMBA:10193,A10o,orbital subdivision of area 10,513,orbital subdivision of area 10,A10o,10193.0,170,255,195,,,,,,,,,,,,orbital subdivision of area 10,,,,HOMBA:10190,10.0
14,HOMBA:10173,DFC,dorsolateral prefrontal cortex,514,dorsolateral prefrontal cortex,DFC,10173.0,0,0,128,,,,,,,,,,,dorsolateral prefrontal cortex,,,,,HOMBA:10172,9.0
15,HOMBA:10174,A8,"caudal division of DFC (area 8, DFCc)",515,caudal portion of DFC (area 8),A8,10174.0,255,225,25,,,,,,,,,,,,"caudal division of DFC (area 8, DFCc)",,,,HOMBA:10173,14.0
16,HOMBA:10175,A8ld,laterodorsal subdivision of area 8,516,laterodorsal subdivision of area 8,A8ld,10175.0,220,190,255,,,,,,,,,,,,,laterodorsal subdivision of area 8,,,HOMBA:10174,15.0
17,HOMBA:10176,A8lv,lateroventral subdivision of area 8,517,lateroventral subdivision of area 8,A8lv,10176.0,230,136,202,,,,,,,,,,,,,lateroventral subdivision of area 8,,,HOMBA:10174,15.0
18,HOMBA:10177,A8m,medial subdivision of area 8,518,medial subdivision of area 8,A8m,10177.0,207,127,147,,,,,,,,,,,,,medial subdivision of area 8,,,HOMBA:10174,15.0
19,HOMBA:10178,A9,"rostrodorsal division of DFC (area 9, DFCd)",519,rostrodorsal portion of DFC (area 9),A9,10178.0,0,0,128,,,,,,,,,,,,"rostrodorsal division of DFC (area 9, DFCd)",,,,HOMBA:10173,14.0
20,HOMBA:10179,A9l,lateral subdivision of area 9,520,lateral subdivision of area 9,A9l,10179.0,210,245,60,,,,,,,,,,,,,lateral subdivision of area 9,,,HOMBA:10178,19.0
21,HOMBA:10180,A9m,medial subdivision of area 9,521,medial subdivision of area 9,A9m,10180.0,255,215,180,,,,,,,,,,,,,medial subdivision of area 9,,,HOMBA:10178,19.0
22,HOMBA:10181,DFCi,intermediate division of DFC (area 9/46),522,intermediate portion of DFC (area 9/46),A9/46,10181.0,255,215,180,,,,,,,,,,,,intermediate division of DFC (area 9/46),,,,HOMBA:10173,14.0
23,HOMBA:10182,DFCid,dorsal subdivision of A9/46,523,dorsal subdivision of A9/46,A9/46d,10182.0,216,198,97,,,,,,,,,,,,,dorsal subdivision of A9/46,,,HOMBA:10181,22.0
24,HOMBA:10183,DFCiv,ventral subdivision of A9/46,524,ventral subdivision of A9/46,A9/46v,10183.0,149,147,49,,,,,,,,,,,,,ventral subdivision of A9/46,,,HOMBA:10181,22.0
25,HOMBA:10184,A46,"rostroventral division of DFC (area 46, DFCv)",525,rostroventral portion of DFC (area 46),A46,10184.0,255,225,25,,,,,,,,,,,,"rostroventral division of DFC (area 46, DFCv)",,,,HOMBA:10173,14.0
26,HOMBA:10863,A46d,dorsal subdivision of area 46,526,dorsal subdivision of area 46,A46d,10863.0,48,127,245,,,,,,,,,,,,,dorsal subdivision of area 46,,,HOMBA:10184,25.0
