structure_name
Mammillary body
Subthalamic nucleus
Inferior colliculus
Red nucleus
Substantia nigra
Superior colliculus
Anterior commissure
Abducens nucleus
Facial nucleus
Cuneate nucleus
Gracile nucleus
Hypoglossal nucleus
Vestibular nucleus
Cochlear nucleus
Dorsal raphe nucleus
Locus coeruleus
Habenula
Hippocampus
Amygdala
Cerebellum
Hypothalamus
Thalamus
Putamen
Caudate nucleus
Globus pallidus
Nucleus accumbens
Fornix
Corpus callosum
Optic chiasm
Optic tract
Olfactory bulb
Pituitary gland
Pons
Medulla oblongata
Lateral geniculate nucleus
Medial geniculate nucleus
Ventral tegmental area
Periaqueductal gray
Claustrum
Insula
Cingulate gyrus
Precentral gyrus
Postcentral gyrus
Superior temporal gyrus
Inferior temporal gyrus
Middle frontal gyrus
Pulvinar nucleus
Inferior olivary nucleus
Superior olivary nucleus
Trochlear nucleus
