structure_name,category,notes
Cerebral cortex,basic,basic brain region
Cerebellum,basic,
Brainstem,basic,no single HOMBA entry
Hippocampus,basic,
Thalamus,basic,
Hypothalamus,basic,
Amygdala,basic,
Striatum,basic,
Cerebral hemisphere,basic,
Spinal cord,basic,
Frontal lobe,lobe,
Parietal lobe,lobe,
Temporal lobe,lobe,
Occipital lobe,lobe,
Insular lobe,lobe,exact HOMBA name
Insula,lobe,common synonym
Cingulate cortex,cortex,
Prefrontal cortex,cortex,
Motor cortex,cortex,common name
Primary motor cortex,cortex,M1
Supplementary motor area,cortex,SMA
Premotor cortex,cortex,
Primary somatosensory cortex,cortex,S1
Secondary somatosensory cortex,cortex,S2
Somatosensory cortex,cortex,generic
Primary visual cortex,cortex,V1
Visual cortex,cortex,generic
Primary auditory cortex,cortex,A1
Auditory cortex,cortex,generic
Entorhinal cortex,cortex,
Perirhinal cortex,cortex,
Parahippocampal cortex,cortex,
Retrosplenial cortex,cortex,
Orbitofrontal cortex,cortex,OFC
Prefrontal cortex,cortex,
Dorsolateral prefrontal cortex,cortex,dlPFC
Medial prefrontal cortex,cortex,mPFC
Anterior cingulate cortex,cortex,ACC
Posterior cingulate cortex,cortex,PCC
Cingulate gyrus,gyrus,gyrus vs cortex synonym
Paracingulate gyrus,gyrus,
Precentral gyrus,gyrus,M1 gyrus
Postcentral gyrus,gyrus,S1 gyrus
Superior temporal gyrus,gyrus,STG
Middle temporal gyrus,gyrus,MTG
Inferior temporal gyrus,gyrus,ITG
Fusiform gyrus,gyrus,
Angular gyrus,gyrus,
Supramarginal gyrus,gyrus,
Inferior frontal gyrus,gyrus,Broca area region
Superior frontal gyrus,gyrus,
Middle frontal gyrus,gyrus,
Lingual gyrus,gyrus,
Parahippocampal gyrus,gyrus,
Dentate gyrus,gyrus,hippocampal subregion
Cuneus,gyrus,occipital
Precuneus,gyrus,parietal
Hippocampus proper,hippocampus,
CA1,abbrev,hippocampal subfield
CA2,abbrev,hippocampal subfield
CA3,abbrev,hippocampal subfield
Subiculum,hippocampus,
Presubiculum,hippocampus,
Parasubiculum,hippocampus,
Hippocampal formation,synonym,
Entorhinal area,synonym,alternative for entorhinal cortex
Caudate nucleus,basal_ganglia,
Putamen,basal_ganglia,
Globus pallidus,basal_ganglia,
Globus pallidus externa,basal_ganglia,GPe variant
Globus pallidus interna,basal_ganglia,GPi variant
GPe,abbrev,external globus pallidus
GPi,abbrev,internal globus pallidus
Subthalamic nucleus,basal_ganglia,
STN,abbrev,subthalamic nucleus
Nucleus accumbens,basal_ganglia,
Nucleus accumbens core,basal_ganglia,modifier
Nucleus accumbens shell,basal_ganglia,modifier
Ventral striatum,basal_ganglia,
Dorsal striatum,basal_ganglia,
Basal ganglia,collective,
Substantia nigra,midbrain,
Substantia nigra pars compacta,midbrain,SNc
Substantia nigra pars reticulata,midbrain,SNr
SNc,abbrev,substantia nigra compacta
SNr,abbrev,substantia nigra reticulata
SN,abbrev,substantia nigra
VTA,abbrev,ventral tegmental area
Ventral tegmental area,midbrain,
Periaqueductal gray,midbrain,PAG
PAG,abbrev,periaqueductal gray
Periaqueductal grey,midbrain,British spelling
Red nucleus,midbrain,
