structure_name,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Mammillary body,1,HOMBA:15546,mammillary body,MB,mammillary body,MB,HOMBA:AA30560,2007,2005,1.0,bm25+exact+fuzzy,Mammillary body,Mammillary body,high_confidence,,1.0,,both
Mammillary body,2,HOMBA:266441609,mammillary peduncle,mp,mammillary peduncle,mp,HOMBA:AA30489,1646,1607,0.542646,bm25+fuzzy,Mammillary body,mammillary peduncle,low_confidence,,1.0,,both
Mammillary body,3,HOMBA:10505,pituitary body/gland (hypophysis),Pit,pituitary body,Pit,HOMBA:AA30338,944,867,0.493277,bm25+fuzzy,Mammillary body,pituitary body,low_confidence,,1.0,,both
Subthalamic nucleus,1,HOMBA:10466,subthalamic nucleus,STH,subthalamic nucleus,STH,HOMBA:10465,856,856,1.0,bm25+exact+fuzzy,Subthalamic nucleus,Subthalamic nucleus,high_confidence,,1.0,,both
Subthalamic nucleus,2,HOMBA:13058,parasubthalamic nucleus,PSTh,parasubthalamic nucleus,PSTh,HOMBA:10494,917,914,0.773333,fuzzy,Subthalamic nucleus,parasubthalamic nucleus,needs_review,,1.0,,both
Subthalamic nucleus,3,HOMBA:AA30276,ventral midline nuclei of thalamus,MiV,,,HOMBA:13045,708,701,0.666039,hierarchy_parent,Subthalamic nucleus,ventral midline nuclei of thalamus,needs_review,,1.0,common_parent_of_2_candidates,both
Inferior colliculus,1,HOMBA:12305,inferior colliculus,IC,inferior colliculus,IC,HOMBA:12291,976,963,1.0,bm25+exact+fuzzy+hierarchy_parent,Inferior colliculus,Inferior colliculus,high_confidence,,1.0,common_parent_of_4_candidates,both
Inferior colliculus,2,HOMBA:12327,brachium of inferior colliculus,bic,brachium of inferior colliculus,bic,HOMBA:AA30489,1663,1607,0.813844,bm25+fuzzy,Inferior colliculus,brachium of inferior colliculus,needs_review,,1.0,,both
Inferior colliculus,3,HOMBA:12333,commissure of inferior colliculus,cmic,commissure of inferior colliculus,cmic,HOMBA:AA30483,1588,1571,0.785985,bm25+fuzzy,Inferior colliculus,commissure of inferior colliculus,needs_review,,1.0,,both
Red nucleus,1,HOMBA:12247,red nucleus,RN,red nucleus,RN,HOMBA:AA30363,1032,1032,1.0,bm25+exact+fuzzy+hierarchy_parent,Red nucleus,Red nucleus,high_confidence,,1.0,common_parent_of_3_candidates,both
Red nucleus,2,HOMBA:12248,"red nucleus, dorsomedial division",RNdm,"red nucleus, dorsomedial part",RNdm,HOMBA:12247,1033,1033,0.65229,bm25+fuzzy,red nuclei,red nuclei dorsomedial division,needs_review,,1.0,,both
Red nucleus,3,HOMBA:AA30448,lateral reticular nuclei of pons,RFla,,,HOMBA:12480,1308,1293,0.644851,hierarchy_parent,Red nucleus,lateral reticular nuclei of pons,needs_review,,1.0,common_parent_of_2_candidates,both
Substantia nigra,1,HOMBA:12251,substantia nigra,SN,substantia nigra,SN,HOMBA:AA30368,1043,1043,1.0,bm25+exact+fuzzy+hierarchy_parent,Substantia nigra,Substantia nigra,high_confidence,,1.0,common_parent_of_4_candidates,both
Substantia nigra,2,HOMBA:12252,"substantia nigra, compact division",SNC,"substantia nigra, compact part",SNC,HOMBA:12251,1044,1044,0.660445,bm25+fuzzy+hierarchy_parent,Substantia nigra,"substantia nigra, compact part",needs_review,,1.0,common_parent_of_3_candidates,both
Substantia nigra,3,HOMBA:12257,"substantia nigra, lateral division",SNL,"substantia nigra, lateral part",SNL,HOMBA:12251,1049,1044,0.660445,bm25+fuzzy,Substantia nigra,"substantia nigra, lateral part",needs_review,,1.0,,both
Superior colliculus,1,HOMBA:12292,superior colliculus,SC,superior colliculus,SC,HOMBA:12291,963,963,1.0,bm25+exact+fuzzy+hierarchy_parent,Superior colliculus,Superior colliculus,high_confidence,,1.0,common_parent_of_4_candidates,both
Superior colliculus,2,HOMBA:12328,brachium of superior colliculus,bsc,brachium of superior colliculus,bsc,HOMBA:AA30489,1664,1607,0.813844,bm25+fuzzy,Superior colliculus,brachium of superior colliculus,needs_review,,1.0,,both
Superior colliculus,3,HOMBA:AA30487,commissure of superior colliculus,cmsc,,,HOMBA:AA30483,1589,1571,0.785985,bm25+fuzzy,Superior colliculus,commissure of superior colliculus,needs_review,,1.0,,both
Anterior commissure,1,HOMBA:10559,anterior commissure,ac,anterior commissure,ac,HOMBA:AA30483,1571,1571,1.0,bm25+exact+fuzzy+hierarchy_parent,Anterior commissure,Anterior commissure,high_confidence,,1.0,common_parent_of_2_candidates,both
Anterior commissure,2,HOMBA:AA30484,rostral (anterior) branch of anterior commissure,acr,,,HOMBA:10559,1572,1572,0.697635,bm25+fuzzy,Anterior commissure,rostral   branch of anterior commissure,needs_review,,1.0,,both
Anterior commissure,3,HOMBA:AA30219,Bed nucleus of anterior commissure,BAC,,,HOMBA:AA30218,562,560,0.640114,bm25+fuzzy,Anterior commissure,bed nuclei of anterior commissure,needs_review,,1.0,,both
Abducens nucleus,1,HOMBA:12418,abducens nucleus,6N,abducens nucleus,6N,HOMBA:12417,1200,1200,1.0,bm25+exact+fuzzy,Abducens nucleus,Abducens nucleus,high_confidence,,1.0,,both
Abducens nucleus,2,HOMBA:12417,efferent nuclei of cranial nerves in pons,PnEN,efferent nuclei of cranial nerves in pons,PnEN,HOMBA:12416,1199,1181,0.97,hierarchy_parent,Abducens nucleus,efferent nuclei of cranial nerves in pons,high_confidence,,1.0,common_parent_of_2_candidates,both
Abducens nucleus,3,HOMBA:12524,paraabducens nucleus,Pa6,paraabducens nucleus,Pa6,HOMBA:AA30439,1259,1253,0.773333,fuzzy,Abducens nucleus,paraabducens nucleus,needs_review,,1.0,,both
Facial nucleus,1,HOMBA:12420,facial nucleus,7N,facial nucleus,7N,HOMBA:12417,1202,1200,1.0,bm25+exact+fuzzy+hierarchy_parent,Facial nucleus,Facial nucleus,high_confidence,,1.0,common_parent_of_9_candidates,both
Facial nucleus,2,HOMBA:12417,efferent nuclei of cranial nerves in pons,PnEN,efferent nuclei of cranial nerves in pons,PnEN,HOMBA:12416,1199,1181,0.97,hierarchy_parent,Facial nucleus,efferent nuclei of cranial nerves in pons,high_confidence,,1.0,common_parent_of_2_candidates,both
Facial nucleus,3,HOMBA:AA30446,dorsal reticular nuclei of pons,RFdo,,,HOMBA:12480,1301,1293,0.814583,hierarchy_parent,Facial nucleus,dorsal reticular nuclei of pons,needs_review,,1.0,common_parent_of_2_candidates,both
Cuneate nucleus,1,HOMBA:12589,cuneate nucleus,Cu,cuneate nucleus,Cu,HOMBA:12587,1358,1357,1.0,bm25+exact+fuzzy+hierarchy_parent,Cuneate nucleus,Cuneate nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Cuneate nucleus,2,HOMBA:12587,sensory relay nuclei in medulla oblongata,MoSR,sensory relay nuclei in medulla oblongata,MoSR,HOMBA:AA30451,1356,1324,0.97,hierarchy_parent,Cuneate nucleus,sensory relay nuclei in medulla oblongata,high_confidence,,1.0,common_parent_of_3_candidates,both
Cuneate nucleus,3,HOMBA:AA30453,other nuclei in dorsal medulla,MoDx,,,HOMBA:AA30451,1364,1324,0.853333,hierarchy_parent,Cuneate nucleus,other nuclei in dorsal medulla,needs_review,,1.0,common_parent_of_3_candidates,both
Gracile nucleus,1,HOMBA:12592,gracile nucleus,Gr,gracile nucleus,Gr,HOMBA:12587,1361,1357,1.0,bm25+exact+fuzzy+hierarchy_parent,Gracile nucleus,Gracile nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Gracile nucleus,2,HOMBA:12587,sensory relay nuclei in medulla oblongata,MoSR,sensory relay nuclei in medulla oblongata,MoSR,HOMBA:AA30451,1356,1324,0.97,hierarchy_parent,Gracile nucleus,sensory relay nuclei in medulla oblongata,high_confidence,,1.0,common_parent_of_2_candidates,both
Gracile nucleus,3,HOMBA:12593,"gracile nucleus, central division",GrC,"gracile nucleus, central part",GrC,HOMBA:12592,1362,1362,0.755952,bm25+fuzzy,Gracile nucleus,"gracile nucleus, central part",needs_review,,1.0,,both
Hypoglossal nucleus,1,HOMBA:12545,hypoglossal nucleus,12N,hypoglossal nucleus,12N,HOMBA:12539,1327,1327,1.0,bm25+exact+fuzzy+hierarchy_parent,Hypoglossal nucleus,Hypoglossal nucleus,high_confidence,,1.0,common_parent_of_4_candidates,both
Hypoglossal nucleus,2,HOMBA:12539,efferent nuclei of cranial nerves in the medulla oblongata,MoEN,efferent nuclei of cranial nerves in the medulla oblongata,MoEN,HOMBA:AA30451,1326,1324,0.97,hierarchy_parent,Hypoglossal nucleus,efferent nuclei of cranial nerves in the medulla oblongata,high_confidence,,1.0,common_parent_of_2_candidates,both
Hypoglossal nucleus,3,HOMBA:AA30453,other nuclei in dorsal medulla,MoDx,,,HOMBA:AA30451,1364,1324,0.909167,hierarchy_parent,Hypoglossal nucleus,other nuclei in dorsal medulla,high_confidence,,1.0,common_parent_of_2_candidates,both
Vestibular nucleus,1,HOMBA:12448,vestibular nuclei in pons,8Vepn,vestibular nuclei in pons,8Ve-p,HOMBA:12436,1234,1224,1.0,bm25+exact+fuzzy+hierarchy_parent,Vestibular nucleus,Vestibular nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Vestibular nucleus,2,HOMBA:12579,vestibular nuclei in medulla,8Ve,vestibular nuclei in medulla,8Ve,HOMBA:AA30457,1385,1381,0.853333,bm25+fuzzy+hierarchy_parent,Vestibular nucleus,vestibular nucleus in medulla,needs_review,,1.0,common_parent_of_4_candidates,both
Vestibular nucleus,3,HOMBA:12586,paravestibular nucleus,PaVe,paravestibular nucleus,PaVe,HOMBA:12579,1392,1386,0.773333,fuzzy,Vestibular nucleus,paravestibular nucleus,needs_review,,1.0,,both
Cochlear nucleus,1,HOMBA:12437,cochlear nuclei,8Co,cochlear nuclei,8Co,HOMBA:12436,1224,1224,1.0,bm25+exact+fuzzy+hierarchy_parent,Cochlear nucleus,Cochlear nucleus,high_confidence,,1.0,common_parent_of_3_candidates,both
Cochlear nucleus,2,HOMBA:12436,afferent nuclei of cranial nerves in pons,PnAN,afferent nuclei of cranial nerves in pons,PnAN,HOMBA:AA30856,1223,1216,0.97,hierarchy_parent,Cochlear nucleus,afferent nuclei of cranial nerves in pons,high_confidence,,1.0,common_parent_of_2_candidates,both
Cochlear nucleus,3,HOMBA:12196,efferent nuclei of the cranial nerves in midbrain,MEN,efferent nuclei of the cranial nerves in the midbrain,MEN,HOMBA:12195,986,986,0.75197,hierarchy_parent,Cochlear nucleus,efferent nuclei of the cranial nerves in midbrain,needs_review,,1.0,common_parent_of_2_candidates,both
Dorsal raphe nucleus,1,HOMBA:12223,dorsal raphe nucleus,DR,dorsal raphe nucleus,DR,HOMBA:12222,1018,1018,1.0,bm25+exact+fuzzy,Dorsal raphe nucleus,Dorsal raphe nucleus,high_confidence,dorsal,1.0,,both
Dorsal raphe nucleus,2,HOMBA:12225,"dorsal raphe nucleus, dorsal division",DRD,"dorsal raphe nucleus, dorsal part",DRD,HOMBA:12223,1020,1019,1.0,bm25+fuzzy,Dorsal raphe nucleus,"dorsal raphe nucleus, dorsal part",high_confidence,dorsal,1.0,,both
Dorsal raphe nucleus,3,HOMBA:12217,cap of dorsal raphe nucleus,DRca,cap of dorsal raphe nucleus,DRc,HOMBA:AA30360,1010,1010,0.9975,bm25+fuzzy,Dorsal raphe nucleus,cap of dorsal raphe nucleus,high_confidence,dorsal,1.0,,both
Locus coeruleus,1,HOMBA:12499,nucleus coeruleus (locus coeruleus),NC,nucleus coeruleus,NC,HOMBA:146034964,1196,1182,1.0,bm25+exact+fuzzy,Locus coeruleus,Locus coeruleus,high_confidence,,1.0,,both
Habenula,1,HOMBA:10452,habenular nuclei,HN,habenular nuclei,HN,HOMBA:10451,841,841,1.0,bm25+exact+fuzzy+hierarchy_parent,Habenula,Habenula,high_confidence,,1.0,common_parent_of_3_candidates,both
Habenula,2,HOMBA:10456,medial habenular nucleus,MHN,medial habenular nucleus,MHN,HOMBA:10452,847,842,0.5934,bm25+fuzzy,habenular nuclei,medial habenular nuclei,low_confidence,,1.0,,both
Habenula,3,HOMBA:10453,lateral habenular nucleus,LHN,lateral habenular nucleus,LHN,HOMBA:10452,842,842,0.59125,bm25+fuzzy,habenular nuclei,lateral habenular nuclei,low_confidence,,1.0,,both
Hippocampus,1,HOMBA:AA30093,hippocampus,Hip,,,HOMBA:10293,310,297,1.0,bm25+exact+fuzzy,Hippocampus,Hippocampus,high_confidence,,1.0,,both
Hippocampus,2,HOMBA:10296,hippocampal proper (Cornu Ammonis),CA,hippocampal proper,Hipp,HOMBA:AA30093,311,311,0.770833,bm25+fuzzy+hierarchy_parent,Hippocampus,hippocampus proper,needs_review,,1.0,common_parent_of_5_candidates,both
Hippocampus,3,HOMBA:12173,body of hippocampus,HiB,body of hippocampus,HiB,HOMBA:AA30550,1971,1969,0.746711,bm25+fuzzy,Hippocampus,body of hippocampus,needs_review,,1.0,,both
