structure_name,expected_homba_id,category,notes,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Vestibular nucleus,HOMBA:12448,level1_issue,hierarchy_parent_promoted_over_correct_match,1,HOMBA:12436,afferent nuclei of cranial nerves in pons,PnAN,afferent nuclei of cranial nerves in pons,PnAN,HOMBA:AA30856,1223,1216,0.97,hierarchy_parent,Vestibular nucleus,afferent nuclei of cranial nerves in pons,high_confidence,,1.0,common_parent_of_2_candidates,both
Vestibular nucleus,HOMBA:12448,level1_issue,hierarchy_parent_promoted_over_correct_match,2,HOMBA:12579,vestibular nuclei in medulla,8Ve,vestibular nuclei in medulla,8Ve,HOMBA:AA30457,1385,1381,0.97,bm25+fuzzy+hierarchy_parent,Vestibular nucleus,vestibular nuclei in medulla,high_confidence,,1.0,common_parent_of_4_candidates,both
Vestibular nucleus,HOMBA:12448,level1_issue,hierarchy_parent_promoted_over_correct_match,3,HOMBA:12448,vestibular nuclei in pons,8Vepn,vestibular nuclei in pons,8Ve-p,HOMBA:12436,1234,1224,0.97,bm25+fuzzy+hierarchy_parent,Vestibular nucleus,vestibular nuclei in pons,high_confidence,,1.0,common_parent_of_2_candidates,both
Habenula,HOMBA:10452,level1_issue,habenular_triangle_wrong_match,1,HOMBA:13234,habenular triangle,HaTr,habenular triangle,HaTr,HOMBA:AA30560,2014,2005,0.520833,fuzzy,Habenula,habenular triangle,low_confidence,,1.0,,both
Habenula,HOMBA:10452,level1_issue,habenular_triangle_wrong_match,2,HOMBA:10566,habenular commissure,hac,habenular commissure,hac,HOMBA:AA30483,1594,1571,0.4875,fuzzy,Habenula,habenular commissure,low_confidence,,1.0,,both
Habenula,HOMBA:10452,level1_issue,habenular_triangle_wrong_match,3,HOMBA:10452,habenular nuclei,HN,habenular nuclei,HN,HOMBA:10451,841,841,0.48375,fuzzy,Habenula,habenular nuclei,low_confidence,,1.0,,both
Insula,HOMBA:12176,level1_issue,limen_insula_wrong_match,1,HOMBA:12179,limen insula,LI,limen insula,LI,HOMBA:AA30560,2005,2005,0.6875,bm25+fuzzy,Insula,limen insula,needs_review,,1.0,,both
Insula,HOMBA:12176,level1_issue,limen_insula_wrong_match,2,HOMBA:13343,precentral sulcus of insula,prin,precentral sulcus of insula,prin,HOMBA:10611,1882,1840,0.427344,bm25+fuzzy,Insula,precentral sulcus of insula,low_confidence,,1.0,,both
Insula,HOMBA:12176,level1_issue,limen_insula_wrong_match,3,HOMBA:13344,postcentral sulcus of insula,poin,postcentral sulcus of insula,poin,HOMBA:10611,1883,1840,0.423931,bm25+fuzzy,Insula,postcentral sulcus of insula,low_confidence,,1.0,,both
Cingulate gyrus,HOMBA:10277,level1_issue,paracingulate_gyrus_wrong_match,1,HOMBA:146034872,paracingulate gyrus,PaCG,paracingulate gyrus,PaCG,HOMBA:12113,1930,1912,0.773333,bm25+fuzzy,Cingulate gyrus,paracingulate gyrus,needs_review,,1.0,,both
Cingulate gyrus,HOMBA:10277,level1_issue,paracingulate_gyrus_wrong_match,2,HOMBA:12158,"cingulate gyrus, caudal (posterior) part",CgGc,"cingulate gyrus, caudal (posterior) part",CgGc,HOMBA:12131,1953,1946,0.662917,bm25+fuzzy,Cingulate gyrus,"cingulate gyrus, caudal   part",needs_review,,1.0,,both
Cingulate gyrus,HOMBA:10277,level1_issue,paracingulate_gyrus_wrong_match,3,HOMBA:12157,"cingulate gyrus, rostral (anterior) part",CgGr,"cingulate gyrus, rostral (anterior) part",CgGr,HOMBA:12113,1931,1912,0.650119,bm25+fuzzy,Cingulate gyrus,"cingulate gyrus, rostral   part",needs_review,,1.0,,both
Inferior olivary nucleus,HOMBA:12600,level1_issue,inferior_olive_naming_mismatch,1,HOMBA:12600,inferior olive,IO,inferior olive,IO,HOMBA:12595,1403,1399,0.798,bm25+fuzzy+hierarchy_parent,Inferior olivary nucleus,inferior olive,needs_review,,1.0,common_parent_of_6_candidates,both
Inferior olivary nucleus,HOMBA:12600,level1_issue,inferior_olive_naming_mismatch,2,HOMBA:12462,superior olivary complex,SOC,superior olivary complex,SOC,HOMBA:AA30441,1265,1261,0.748661,bm25+fuzzy+hierarchy_parent,Inferior olivary nucleus,superior olivary complex,needs_review,,1.0,common_parent_of_2_candidates,both
Inferior olivary nucleus,HOMBA:12600,level1_issue,inferior_olive_naming_mismatch,3,HOMBA:12544,inferior salivatory nucleus,ISN,inferior salivatory nucleus,InSV,HOMBA:12539,1341,1327,0.694825,bm25+fuzzy,Inferior olivary nucleus,inferior salivatory nucleus,needs_review,,1.0,,both
Pituitary gland,HOMBA:10505,level1_issue,pituitary_body_naming_mismatch,1,HOMBA:10505,pituitary body/gland (hypophysis),Pit,pituitary body,Pit,HOMBA:AA30338,944,867,0.770238,bm25+fuzzy+hierarchy_parent,Pituitary gland,pituitary body/gland,needs_review,,1.0,common_parent_of_2_candidates,both
Pituitary gland,HOMBA:10505,level1_issue,pituitary_body_naming_mismatch,2,HOMBA:AA30782,anterior lobe of pituitary body (adenohypophysis),PitA,,,HOMBA:10505,945,945,0.186023,bm25,Pituitary gland,anterior lobe of pituitary body,low_confidence,,1.0,,both
Pituitary gland,HOMBA:10505,level1_issue,pituitary_body_naming_mismatch,3,HOMBA:AA30783,posterior lobe of pituitary body (neurohypophysis),PitP,,,HOMBA:10505,946,945,0.186023,bm25,Pituitary gland,posterior lobe of pituitary body,low_confidence,,1.0,,both
Pulvinar nucleus,HOMBA:10409,level1_issue,low_score_0_74,1,HOMBA:10409,pulvinar of thalamus,Pul,pulvinar of thalamus,Pul,HOMBA:AA30282,728,725,0.743567,bm25+fuzzy+hierarchy_parent,Pulvinar nucleus,pulvinar of thalamus,needs_review,,1.0,common_parent_of_4_candidates,both
Pulvinar nucleus,HOMBA:10409,level1_issue,low_score_0_74,2,HOMBA:12406,pontine nucleus,PN,pontine nucleus,PN,HOMBA:12405,1172,1172,0.664314,bm25+fuzzy+hierarchy_parent,Pulvinar nucleus,pontine nucleus,needs_review,,1.0,common_parent_of_7_candidates,both
Pulvinar nucleus,HOMBA:10409,level1_issue,low_score_0_74,3,HOMBA:12196,efferent nuclei of the cranial nerves in midbrain,MEN,efferent nuclei of the cranial nerves in the midbrain,MEN,HOMBA:12195,986,986,0.626561,hierarchy_parent,Pulvinar nucleus,efferent nuclei of the cranial nerves in midbrain,needs_review,,1.0,common_parent_of_2_candidates,both
Locus coeruleus,HOMBA:12499,level1_issue,correct_but_specificity_penalty_0_86,1,HOMBA:12499,nucleus coeruleus (locus coeruleus),NC,nucleus coeruleus,NC,HOMBA:146034964,1196,1182,0.86,bm25+exact+fuzzy,Locus coeruleus,Locus coeruleus,needs_review,,1.0,,both
Thalamus (excluding pulvinar),,parenthetical_excluding,should_match_thalamus_not_pulvinar,1,HOMBA:10390,thalamus,THM,thalamus,THM,HOMBA:10389,678,678,0.88,bm25+exact+fuzzy,Thalamus,Thalamus,needs_review,excluding;pulvinar;excluding pulvinar,0.0,,both
Thalamus (excluding pulvinar),,parenthetical_excluding,should_match_thalamus_not_pulvinar,2,HOMBA:10409,pulvinar of thalamus,Pul,pulvinar of thalamus,Pul,HOMBA:AA30282,728,725,0.722126,bm25+fuzzy,Thalamus (excluding pulvinar),pulvinar of thalamus,modifier_conflict,excluding;pulvinar;excluding pulvinar,0.333333,,both
Thalamus (excluding pulvinar),,parenthetical_excluding,should_match_thalamus_not_pulvinar,3,HOMBA:10391,dorsal thalamus,DTH,dorsal thalamus,DTH,HOMBA:AA30265,680,680,0.572,bm25+fuzzy,Thalamus,dorsal thalamus,low_confidence,excluding;pulvinar;excluding pulvinar,0.0,,both
Left hippocampus,,laterality,should_match_hippocampus,1,HOMBA:AA30093,hippocampus,Hip,,,HOMBA:10293,310,297,1.0,bm25+exact+fuzzy,hippocampus,hippocampus,high_confidence,,1.0,,both
Left hippocampus,,laterality,should_match_hippocampus,2,HOMBA:12173,body of hippocampus,HiB,body of hippocampus,HiB,HOMBA:AA30550,1971,1969,0.705044,bm25+fuzzy,hippocampus,body of hippocampus,needs_review,,1.0,,both
Left hippocampus,,laterality,should_match_hippocampus,3,HOMBA:12171,head of hippocampus,HiH,head of hippocampus,HiH,HOMBA:AA30550,1969,1969,0.705044,bm25+fuzzy,hippocampus,head of hippocampus,needs_review,,1.0,,both
Right amygdala,,laterality,should_match_amygdala,1,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,1.0,bm25+exact+fuzzy,amygdala,amygdala,high_confidence,,1.0,,both
Right amygdala,,laterality,should_match_amygdala,2,HOMBA:AA30222,regions of amygdaloid complex,AMYR,,,HOMBA:10361,568,568,0.83,bm25+fuzzy+hierarchy_parent,amygdaloid complex,regions of amygdaloid complex,needs_review,,1.0,common_parent_of_6_candidates,both
Right amygdala,,laterality,should_match_amygdala,3,HOMBA:10366,basolateral nuclear group of amygdala,BLN,basolateral nuclear group,BLN,HOMBA:AA30222,599,569,0.816486,bm25+fuzzy+hierarchy_parent,Right amygdala,basolateral nuclear group of amygdala,needs_review,,1.0,common_parent_of_3_candidates,both
Amygdaloid complex,,synonym,should_match_amygdaloid_complex_HOMBA,1,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,1.0,bm25+exact+fuzzy,Amygdaloid complex,Amygdaloid complex,high_confidence,,1.0,,both
Amygdaloid complex,,synonym,should_match_amygdaloid_complex_HOMBA,2,HOMBA:AA30222,regions of amygdaloid complex,AMYR,,,HOMBA:10361,568,568,0.903017,bm25+fuzzy+hierarchy_parent,Amygdaloid complex,regions of amygdaloid complex,high_confidence,,1.0,common_parent_of_6_candidates,both
Amygdaloid complex,,synonym,should_match_amygdaloid_complex_HOMBA,3,HOMBA:10383,extended amygdala,EXA,extended amygdala,EXA,HOMBA:10331,643,451,0.854167,bm25+fuzzy+hierarchy_parent,Amygdaloid complex,extended amygdaloid complex,needs_review,,1.0,common_parent_of_2_candidates,both
amygdala,,synonym,should_match_amygdaloid_complex_via_alias,1,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,1.0,bm25+exact+fuzzy,amygdala,amygdala,high_confidence,,1.0,,both
amygdala,,synonym,should_match_amygdaloid_complex_via_alias,2,HOMBA:AA30222,regions of amygdaloid complex,AMYR,,,HOMBA:10361,568,568,0.903017,bm25+fuzzy+hierarchy_parent,amygdaloid complex,regions of amygdaloid complex,high_confidence,,1.0,common_parent_of_6_candidates,both
amygdala,,synonym,should_match_amygdaloid_complex_via_alias,3,HOMBA:10366,basolateral nuclear group of amygdala,BLN,basolateral nuclear group,BLN,HOMBA:AA30222,599,569,0.816486,bm25+fuzzy+hierarchy_parent,amygdala,basolateral nuclear group of amygdala,needs_review,,1.0,common_parent_of_3_candidates,both
Dentate gyrus,,gyrus_name,,1,HOMBA:10295,dentate gyrus,DG,dentate area (dentate gyrus),DG,HOMBA:AA30093,345,311,1.0,bm25+exact+fuzzy+hierarchy_parent,Dentate gyrus,Dentate gyrus,high_confidence,,1.0,common_parent_of_2_candidates,both
Dentate gyrus,,gyrus_name,,2,HOMBA:AA30115,major division of dentate gyrus,DGmj,,,HOMBA:10295,349,346,0.97,bm25+fuzzy+hierarchy_parent,Dentate gyrus,major division of dentate gyrus,high_confidence,,1.0,common_parent_of_2_candidates,both
Dentate gyrus,,gyrus_name,,3,HOMBA:11265,body part of DG,DGb,rostral dentate gyrus,DGR,HOMBA:AA30115,351,350,0.818452,bm25+fuzzy,Dentate gyrus,rostral dentate gyrus,needs_review,,1.0,,both
Entorhinal cortex,,cortex_name,,1,HOMBA:10317,entorhinal cortex,ERC,entorhinal cortex,EC,HOMBA:10314,276,276,1.0,bm25+exact+fuzzy+hierarchy_parent,Entorhinal cortex,Entorhinal cortex,high_confidence,,1.0,common_parent_of_3_candidates,both
Entorhinal cortex,,cortex_name,,2,HOMBA:AA30126,lamination of entorhinal cortex,ERCl,,,HOMBA:AA30125,374,374,0.765457,bm25+fuzzy,Entorhinal cortex,lamination of entorhinal cortex,needs_review,,1.0,,both
Entorhinal cortex,,cortex_name,,3,HOMBA:11381,rostral division of entorhinal cortex,ER,rostral part of entorhinal cortex,ER,HOMBA:10318,279,278,0.74053,bm25+fuzzy,Entorhinal cortex,rostral part of entorhinal cortex,needs_review,,1.0,,both
Parahippocampal gyrus,,gyrus_name,,1,HOMBA:12162,parahippocampal gyrus,PHG,parahippocampal gyrus,PHG,HOMBA:12139,1980,1960,1.0,bm25+exact+fuzzy+hierarchy_parent,Parahippocampal gyrus,Parahippocampal gyrus,high_confidence,,1.0,common_parent_of_3_candidates,both
Parahippocampal gyrus,,gyrus_name,,2,HOMBA:12165,uncus of (para)hippocampal gyrus,UN,uncus of parahippocampal gyrus,UN,HOMBA:12139,1976,1960,0.856667,bm25+fuzzy+hierarchy_parent,Parahippocampal gyrus,uncus of parahippocampal gyrus,needs_review,,1.0,common_parent_of_2_candidates,both
Parahippocampal gyrus,,gyrus_name,,3,HOMBA:12170,hippocampal formation,HiF,hippocampal gyrus (formation),HiF,HOMBA:AA30085,274,274,0.773333,bm25+fuzzy,Parahippocampal gyrus,hippocampal gyrus,needs_review,,1.0,,both
Fusiform gyrus,,gyrus_name,,1,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,FuG,,,HOMBA:12139,1963,1960,1.0,bm25+exact+fuzzy,Fusiform gyrus,Fusiform gyrus,high_confidence,,1.0,,both
Fusiform gyrus,,gyrus_name,,2,HOMBA:12165,uncus of (para)hippocampal gyrus,UN,uncus of parahippocampal gyrus,UN,HOMBA:12139,1976,1960,0.629799,hierarchy_parent,Fusiform gyrus,uncus of (para)hippocampal gyrus,needs_review,,1.0,common_parent_of_2_candidates,both
