structure_name,category,notes,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Vestibular nuclei,edge_case,plural form - should map to both pons and medulla groups,1,HOMBA:12448,vestibular nuclei in pons,8Vepn,vestibular nuclei in pons,8Ve-p,HOMBA:12436,1234,1224,1.0,bm25+exact+fuzzy+hierarchy_parent,vestibular nucleus,vestibular nucleus,high_confidence,,1.0,common_parent_of_2_candidates,both
Vestibular nuclei,edge_case,plural form - should map to both pons and medulla groups,2,HOMBA:12436,afferent nuclei of cranial nerves in pons,PnAN,afferent nuclei of cranial nerves in pons,PnAN,HOMBA:AA30856,1223,1216,0.97,hierarchy_parent,Vestibular nuclei,afferent nuclei of cranial nerves in pons,high_confidence,,1.0,common_parent_of_2_candidates,both
Vestibular nuclei,edge_case,plural form - should map to both pons and medulla groups,3,HOMBA:12449,lateral vestibular nucleus,VeL,lateral vestibular nucleus,LVe,HOMBA:12448,1235,1235,0.736733,bm25+fuzzy+hierarchy_parent,Vestibular nuclei,lateral vestibular nuclei,needs_review,,1.0,common_parent_of_2_candidates,both
Locus ceruleus,spelling_variant,alternative spelling without 'o',1,HOMBA:12499,nucleus coeruleus (locus coeruleus),NC,nucleus coeruleus,NC,HOMBA:146034964,1196,1182,0.573806,bm25+fuzzy,Locus ceruleus,locus coeruleus,low_confidence,,1.0,,both
Thalamic nuclei,collective,plural of thalamic nucleus,1,HOMBA:AA30276,ventral midline nuclei of thalamus,MiV,,,HOMBA:13045,708,701,0.814583,hierarchy_parent,Thalamic nuclei,ventral midline nuclei of thalamus,needs_review,,1.0,common_parent_of_2_candidates,both
Thalamic nuclei,collective,plural of thalamic nucleus,2,HOMBA:AA30314,ethmoid thalamic nucleus,Eth,,,HOMBA:AA30310,805,800,0.734583,bm25+fuzzy,thalamic nucleus,ethmoid thalamic nucleus,needs_review,,1.0,,both
Thalamic nuclei,collective,plural of thalamic nucleus,3,HOMBA:AA30277,xiphoid thalamic nucleus,Xi,,,HOMBA:AA30276,710,709,0.734583,bm25+fuzzy,thalamic nucleus,xiphoid thalamic nucleus,needs_review,,1.0,,both
Hippocampal formation,synonym,alternative name for hippocampus group,1,HOMBA:12170,hippocampal formation,HiF,hippocampal gyrus (formation),HiF,HOMBA:AA30085,274,274,1.0,bm25+exact+fuzzy,Hippocampal formation,Hippocampal formation,high_confidence,,1.0,,both
Hippocampal formation,synonym,alternative name for hippocampus group,2,HOMBA:10619,hippocampal fissure,hf,hippocampal fissure,hf,HOMBA:AA30791,1827,1827,0.547772,bm25+fuzzy,Hippocampal formation,hippocampal fissure,low_confidence,,1.0,,both
Hippocampal formation,synonym,alternative name for hippocampus group,3,HOMBA:10296,hippocampal proper (Cornu Ammonis),CA,hippocampal proper,Hipp,HOMBA:AA30093,311,311,0.541674,bm25+fuzzy,Hippocampal formation,hippocampal proper,low_confidence,,1.0,,both
Subiculum,subregion,hippocampal subregion,1,HOMBA:10302,subiculum proper (strictly defined subiculum),SB,subiculum,S,HOMBA:10293,297,297,1.0,bm25+exact+fuzzy+hierarchy_parent,Subiculum,Subiculum,high_confidence,,1.0,common_parent_of_3_candidates,both
