structure_name,category,notes,rcs_rank,rcs_candidate_homba_id,rcs_candidate_name,rcs_candidate_acronym,rcs_candidate_dhba_name,rcs_candidate_dhba_acronym,rcs_candidate_parent_id,rcs_candidate_graph_order,rcs_candidate_depth,rcs_score,rcs_methods,rcs_matched_query,rcs_matched_alias,rcs_review_flag,rcs_modifier_terms,rcs_modifier_match_score,rcs_hierarchy_reason,rcs_dhba_filter
Cerebral cortex,basic,basic brain region,1,HOMBA:10159,cerebral cortex,Cx,cerebral cortex,Cx,HOMBA:10158,5,5,1.0,bm25+exact+fuzzy,Cerebral cortex,Cerebral cortex,high_confidence,,1.0,,both
Cerebral cortex,basic,basic brain region,2,HOMBA:10158,telencephalon,Tel,telencephalon,Tel,HOMBA:10156,4,4,0.97,bm25+fuzzy+hierarchy_parent,Cerebral cortex,telencephalon,high_confidence,,1.0,common_parent_of_2_candidates,both
Cerebral cortex,basic,basic brain region,3,HOMBA:10610,cerebral sulci,ces,cerebral sulci,CeS,HOMBA:10609,1825,1825,0.550951,bm25+fuzzy,Cerebral cortex,cerebral sulci,low_confidence,,1.0,,both
Cerebellum,basic,,1,HOMBA:10656,cerebellum,CB,cerebellum,CB,HOMBA:10655,1102,1102,1.0,bm25+exact+fuzzy,Cerebellum,Cerebellum,high_confidence,,1.0,,both
Cerebellum,basic,,2,HOMBA:12384,paravermis of cerebellar hemisphere,CbHpv,paravermis of cerebellum,CBPV,HOMBA:10659,2047,2047,0.625,bm25+fuzzy,Cerebellum,paravermis of cerebellum,needs_review,,1.0,,both
Cerebellum,basic,,3,HOMBA:AA30490,arbor vitae of cerebellum,avc,,,HOMBA:AA30489,1669,1607,0.570833,bm25+fuzzy,Cerebellum,arbor vitae of cerebellum,low_confidence,,1.0,,both
Brainstem,basic,no single HOMBA entry,1,HOMBA:10648,"gray matter of midbrain (mesencephalon, upper brainstem)",M,midbrain (mesencephalon),M,HOMBA:AA30000,950,3,0.7625,bm25+fuzzy,Brainstem,upper brainstem,needs_review,,1.0,,both
Brainstem,basic,no single HOMBA entry,2,HOMBA:AA30472,transient layers of lower brainstem,TLLBS,,,HOMBA:AA30470,1505,1484,0.562321,bm25+fuzzy+hierarchy_parent,Brainstem,transient layers of lower brainstem,low_confidence,,1.0,common_parent_of_3_candidates,both
Brainstem,basic,no single HOMBA entry,3,HOMBA:AA30470,developing transient structures of lower brainstem (pons and medulla),LBSDe,,,HOMBA:AA30462,1483,1454,0.550267,bm25+hierarchy_parent,Brainstem,developing transient structures of lower brainstem (pons and medulla),low_confidence,,1.0,common_parent_of_2_candidates,both
Hippocampus,basic,,1,HOMBA:AA30093,hippocampus,Hip,,,HOMBA:10293,310,297,1.0,bm25+exact+fuzzy,Hippocampus,Hippocampus,high_confidence,,1.0,,both
Hippocampus,basic,,2,HOMBA:10296,hippocampal proper (Cornu Ammonis),CA,hippocampal proper,Hipp,HOMBA:AA30093,311,311,0.770833,bm25+fuzzy+hierarchy_parent,Hippocampus,hippocampus proper,needs_review,,1.0,common_parent_of_5_candidates,both
Hippocampus,basic,,3,HOMBA:12173,body of hippocampus,HiB,body of hippocampus,HiB,HOMBA:AA30550,1971,1969,0.746711,bm25+fuzzy,Hippocampus,body of hippocampus,needs_review,,1.0,,both
Thalamus,basic,,1,HOMBA:10390,thalamus,THM,thalamus,THM,HOMBA:10389,678,678,1.0,bm25+exact+fuzzy,Thalamus,Thalamus,high_confidence,,1.0,,both
Thalamus,basic,,2,HOMBA:AA30265,regions of thalamus,THMR,,,HOMBA:10390,679,679,0.7554,bm25+fuzzy+hierarchy_parent,Thalamus,regions of thalamus,needs_review,,1.0,common_parent_of_3_candidates,both
Thalamus,basic,,3,HOMBA:10391,dorsal thalamus,DTH,dorsal thalamus,DTH,HOMBA:AA30265,680,680,0.61275,bm25+fuzzy+hierarchy_parent,Thalamus,dorsal thalamus,needs_review,,1.0,common_parent_of_3_candidates,both
Hypothalamus,basic,,1,HOMBA:10467,hypothalamus,HTH,hypothalamus,HTH,HOMBA:10389,865,678,1.0,bm25+exact+fuzzy+hierarchy_parent,Hypothalamus,Hypothalamus,high_confidence,,1.0,common_parent_of_2_candidates,both
Hypothalamus,basic,,2,HOMBA:AA30338,regions of hypothalamus,HTHR,,,HOMBA:10467,866,866,0.828804,bm25+fuzzy,Hypothalamus,regions of hypothalamus,needs_review,,1.0,,both
Hypothalamus,basic,,3,HOMBA:10492,arcuate nucleus of hypothalamus,ArH,arcuate nucleus of hypothalamus,Arc,HOMBA:10483,911,900,0.4963,bm25+fuzzy,Hypothalamus,arcuate nuclei of hypothalamus,low_confidence,,1.0,,both
Amygdala,basic,,1,HOMBA:10361,amygdaloid complex,AMY,amygdaloid complex,AMY,HOMBA:10331,567,451,1.0,bm25+exact+fuzzy,Amygdala,Amygdala,high_confidence,,1.0,,both
Amygdala,basic,,2,HOMBA:AA30222,regions of amygdaloid complex,AMYR,,,HOMBA:10361,568,568,0.903017,bm25+fuzzy+hierarchy_parent,amygdaloid complex,regions of amygdaloid complex,high_confidence,,1.0,common_parent_of_6_candidates,both
Amygdala,basic,,3,HOMBA:10383,extended amygdala,EXA,extended amygdala,EXA,HOMBA:10331,643,451,0.8125,bm25+fuzzy+hierarchy_parent,amygdaloid complex,extended amygdaloid complex,needs_review,,1.0,common_parent_of_2_candidates,both
Striatum,basic,,1,HOMBA:10333,striatum (neostriatum),STR,striatum,STR,HOMBA:AA30190,453,453,1.0,bm25+exact+fuzzy+hierarchy_parent,Striatum,Striatum,high_confidence,,1.0,common_parent_of_2_candidates,both
Striatum,basic,,2,HOMBA:AA30191,regions of striatum,STRre,,,HOMBA:10333,454,454,0.7554,bm25+fuzzy+hierarchy_parent,Striatum,regions of striatum,needs_review,,1.0,common_parent_of_2_candidates,both
Striatum,basic,,3,HOMBA:AA30192,"dorsal striatum (caudoputamen complex-CP, STRd)",DS,,,HOMBA:AA30191,455,455,0.61275,bm25+fuzzy,Striatum,dorsal striatum,needs_review,,1.0,,both
Cerebral hemisphere,basic,,1,HOMBA:10158,telencephalon,Tel,telencephalon,Tel,HOMBA:10156,4,4,1.0,bm25+exact+fuzzy+hierarchy_parent,Cerebral hemisphere,Cerebral hemisphere,high_confidence,,1.0,common_parent_of_2_candidates,both
Cerebral hemisphere,basic,,2,HOMBA:10659,cerebellar hemisphere,CbH,cerebellar hemisphere,CBH,HOMBA:AA30563,2046,2045,0.587982,bm25+fuzzy+hierarchy_parent,Cerebral hemisphere,cerebellar hemisphere,low_confidence,,1.0,common_parent_of_2_candidates,both
Cerebral hemisphere,basic,,3,HOMBA:10610,cerebral sulci,ces,cerebral sulci,CeS,HOMBA:10609,1825,1825,0.51761,bm25+fuzzy,Cerebral hemisphere,cerebral sulci,low_confidence,,1.0,,both
Spinal cord,basic,,1,HOMBA:AA30565,spinal cord,Sp,,,HOMBA:10154,2099,1,1.0,bm25+exact+fuzzy+hierarchy_parent,Spinal cord,Spinal cord,high_confidence,,1.0,common_parent_of_5_candidates,both
Spinal cord,basic,,2,HOMBA:146035048,gray matter of spinal cord,SpG,gray matter of spinal cord,SGM,HOMBA:AA30565,2100,2100,0.8925,bm25+fuzzy+hierarchy_parent,Spinal cord,gray matter of spinal cord,needs_review,,1.0,common_parent_of_2_candidates,both
Spinal cord,basic,,3,HOMBA:AA30566,regions (segments) of spinal cord,SpR,,,HOMBA:146035048,2101,2101,0.8925,bm25+fuzzy+hierarchy_parent,Spinal cord,regions (segments) of spinal cord,needs_review,,1.0,common_parent_of_5_candidates,both
Frontal lobe,lobe,,1,HOMBA:12113,frontal lobe,FroL,frontal lobe,FroL,HOMBA:12112,1911,1911,1.0,bm25+exact+fuzzy+hierarchy_parent,Frontal lobe,Frontal lobe,high_confidence,,1.0,common_parent_of_6_candidates,both
Frontal lobe,lobe,,2,HOMBA:146034888,frontal pole,FP,frontal pole,FP,HOMBA:12113,1918,1912,0.54967,bm25+fuzzy,Frontal lobe,frontal pole,low_confidence,,1.0,,both
Frontal lobe,lobe,,3,HOMBA:12127,frontal operculum,FrO,frontal operculum,FrO,HOMBA:12113,1928,1912,0.49538,bm25+fuzzy,Frontal lobe,frontal operculum,low_confidence,,1.0,,both
Parietal lobe,lobe,,1,HOMBA:12131,parietal lobe,ParL,parietal lobe,ParL,HOMBA:12112,1945,1911,1.0,bm25+exact+fuzzy+hierarchy_parent,Parietal lobe,Parietal lobe,high_confidence,,1.0,common_parent_of_3_candidates,both
Parietal lobe,lobe,,2,HOMBA:13230,parietal operculum,PaO,parietal operculum,PaO,HOMBA:12131,1952,1946,0.524901,bm25+fuzzy,Parietal lobe,parietal operculum,low_confidence,,1.0,,both
Parietal lobe,lobe,,3,HOMBA:10208,parietal cortex,PCx,parietal neocortex,PCx,HOMBA:AA30001,72,8,0.477202,bm25+fuzzy,Parietal lobe,parietal cortex,low_confidence,,1.0,,both
Temporal lobe,lobe,,1,HOMBA:12139,temporal lobe,TemL,temporal lobe,TemL,HOMBA:12112,1959,1911,1.0,bm25+exact+fuzzy+hierarchy_parent,Temporal lobe,Temporal lobe,high_confidence,,1.0,common_parent_of_5_candidates,both
Temporal lobe,lobe,,2,HOMBA:146034762,temporal claustrum,CLt,temporal claustrum,CLt,HOMBA:10346,672,670,0.494772,bm25+fuzzy,Temporal lobe,temporal claustrum,low_confidence,,1.0,,both
Temporal lobe,lobe,,3,HOMBA:12146,temporal pole (temporopolar cortex),TP,temporal pole,TP,HOMBA:12139,1966,1960,0.490586,bm25+fuzzy,Temporal lobe,temporal pole,low_confidence,,1.0,,both
Occipital lobe,lobe,,1,HOMBA:12148,occipital lobe,OccL,occipital lobe,OccL,HOMBA:12112,1990,1911,1.0,bm25+exact+fuzzy+hierarchy_parent,Occipital lobe,Occipital lobe,high_confidence,,1.0,common_parent_of_3_candidates,both
Occipital lobe,lobe,,2,HOMBA:12149,occipital pole,OP,occipital pole,OP,HOMBA:12148,1991,1991,0.585899,bm25+fuzzy,Occipital lobe,occipital pole,low_confidence,,1.0,,both
Occipital lobe,lobe,,3,HOMBA:10268,occipital cortex,OCx,occipital neocortex,Ocx,HOMBA:AA30001,172,8,0.4852,bm25+fuzzy,Occipital lobe,occipital cortex,low_confidence,,1.0,,both
