structure_name,fullname,species,paper,n_mentions,n_papers,region_class,suitability,unsuitable_reason,class_corrected,region_class_before,audit_stage,final_certainty,final_confidence
M1,primary motor cortex,Mouse,PM33836602,347,184,neocortex,suitable,,no,neocortex,rule,high,0.98
mPFC,medial prefrontal cortex,Mouse,PM36063145,297,149,neocortex,suitable,,no,neocortex,rule,high,0.98
ACC,anterior cingulate cortex,Mouse,PM39614717,261,78,neocortex,suitable,,yes,non_neocortex,flash,high,0.9567
V1,primary visual cortex,Mouse,PM38802410,250,103,neocortex,suitable,,no,neocortex,rule,high,0.98
S1,primary somatosensory cortex,Mouse,PM36446382,200,105,neocortex,suitable,,no,neocortex,rule,high,0.98
PFC,prefrontal cortex,Mouse,PM37660322,171,79,neocortex,suitable,,no,neocortex,rule,high,0.9967
motor cortex,motor cortex,Mouse,PM39630872,167,111,neocortex,suitable,,no,neocortex,rule,high,0.9967
PL,prelimbic cortex,Mouse,PM35838139,130,59,neocortex,suitable,,no,neocortex,rule,high,0.99
OFC,orbitofrontal cortex,Mouse,PM32424057,99,42,neocortex,suitable,,no,neocortex,rule,high,0.9967
IL,infralimbic cortex,Mouse,PM40046441,98,44,neocortex,suitable,,no,neocortex,rule,high,0.99
M2,secondary motor cortex,Mouse,PM37001992,94,48,neocortex,suitable,,no,neocortex,rule,high,0.9967
MOp,primary motor cortex,Mouse,PM41415035,68,24,neocortex,suitable,,no,neocortex,rule,high,0.9967
PrL,prelimbic cortex,Mouse,PM42156719,68,38,neocortex,suitable,,no,neocortex,rule,high,0.9967
somatosensory cortex,somatosensory cortex,Mouse,PM35551446,63,43,neocortex,suitable,,no,neocortex,rule,high,0.9967
sensorimotor cortex,sensorimotor cortex,Mouse,PM34449938,59,33,neocortex,suitable,,no,neocortex,rule,high,0.9967
prefrontal cortex,prefrontal cortex,Human,PM34617601,58,44,neocortex,suitable,,no,neocortex,rule,high,0.9967
S2,secondary somatosensory cortex,Mouse,PM40346961,58,27,neocortex,suitable,,no,neocortex,rule,high,0.9967
primary motor cortex,primary motor cortex,Human,PM35982397,57,48,neocortex,suitable,,no,neocortex,rule,high,0.9833
vmPFC,ventromedial prefrontal cortex,Mouse,PM33790281,57,23,neocortex,suitable,,no,neocortex,rule,high,0.9833
PPC,posterior parietal cortex,Mouse,PM36117273,55,19,neocortex,suitable,,no,neocortex,rule,high,0.9833
RSC,retrosplenial cortex,Mouse,PM39511453,54,23,neocortex,suitable,,no,neocortex,flash,high,0.8833
AI,anterior insula,Mouse,PM42107475,52,23,neocortex,suitable,,no,neocortex,flash,high,0.8767
ACA,anterior cingulate area,Mouse,PM39149348,50,25,neocortex,suitable,,no,neocortex,flash,high,0.8867
AC,auditory cortex,Mouse,PM35366148,47,22,neocortex,suitable,,no,neocortex,rule,high,0.98
insula,insula,Mouse,PM34117229,45,19,neocortex,suitable,,no,neocortex,flash,high,0.9033
visual cortex,visual cortex,Mouse,PM38890758,45,26,neocortex,suitable,,no,neocortex,rule,high,0.98
A1,primary auditory cortex,Mouse,PM33157020,43,22,neocortex,suitable,,no,neocortex,rule,high,0.98
MO,motor cortex,Mouse,PM39392390,42,19,neocortex,suitable,,no,neocortex,rule,high,0.98
prostriata,area prostriata,Rat,PM34795559,41,2,neocortex,suitable,,yes,ambiguous,flash,high,0.8167
SMA,supplementary motor area,Human,PM34121656,40,29,neocortex,suitable,,no,neocortex,rule,high,0.9833
PCC,posterior cingulate cortex,Human,PM41840687,39,6,neocortex,suitable,,yes,non_neocortex,flash,high,0.9233
auditory cortex,auditory cortex,Mouse,PM34366798,38,25,neocortex,suitable,,no,neocortex,rule,high,0.9833
VISp,primary visual cortex,Mouse,PM39149348,38,13,neocortex,suitable,,no,neocortex,rule,high,0.9833
dmPFC,dorsomedial prefrontal cortex,Mouse,PM33790281,36,19,neocortex,suitable,,no,neocortex,rule,high,0.9833
insular cortex,insular cortex,Mouse,PM36542188,36,22,neocortex,suitable,,no,neocortex,rule,high,0.85
frontal cortex,frontal cortex,Mouse,PM37398221,34,27,neocortex,suitable,,no,neocortex,rule,high,0.9833
precuneus,precuneus,Human,PM39103495,34,13,neocortex,suitable,,no,neocortex,rule,high,0.9833
RSP,retrosplenial cortex,Mouse,PM39814996,34,13,neocortex,suitable,,no,neocortex,flash,high,0.94
PM,premotor cortex,Mouse,PM39937647,33,19,neocortex,suitable,,no,neocortex,rule,high,0.9833
aIC,anterior insular cortex,Mouse,PM32940600,32,16,neocortex,suitable,,yes,non_neocortex,flash,high,0.94
V2,secondary visual cortex,Rat,PM32361987,31,19,neocortex,suitable,,no,neocortex,rule,high,0.9833
retrosplenial cortex,retrosplenial cortex,Mouse,PM32964131,30,24,neocortex,suitable,,yes,ambiguous,flash,high,0.94
AL,anterolateral area,Mouse,PM35082302,29,10,neocortex,suitable,,no,neocortex,flash,high,0.84
SSp,primary somatosensory cortex,Mouse,PM38712231,29,15,neocortex,suitable,,no,neocortex,rule,high,0.95
ALM,anterior lateral motor cortex,Mouse,PM36171427,28,8,neocortex,suitable,,no,neocortex,rule,high,0.95
PMv,ventral premotor cortex,Human,PM34121656,28,20,neocortex,suitable,,no,neocortex,rule,high,0.95
temporal cortex,temporal cortex,Human,PM36661404,28,18,neocortex,suitable,,no,neocortex,flash,high,0.8667
MI,primary motor cortex,Mouse,PM34665323,27,2,neocortex,suitable,,no,neocortex,rule,high,1.0
prelimbic cortex,prelimbic cortex,Rat,PM37823340,27,16,neocortex,suitable,,no,neocortex,rule,high,0.9833
premotor cortex,premotor cortex,Human,PM40667064,27,17,neocortex,suitable,,no,neocortex,rule,high,1.0
anterior cingulate cortex,anterior cingulate cortex,Human,PM32964131,26,19,neocortex,suitable,,yes,non_neocortex,flash,high,0.93
DLPFC,dorsolateral prefrontal cortex,Human,PM35441221,25,17,neocortex,suitable,,no,neocortex,rule,high,1.0
medial prefrontal cortex,medial prefrontal cortex,Mouse,PM42362551,25,24,neocortex,suitable,,no,neocortex,rule,high,1.0
cingulate cortex,cingulate cortex,Rat,PM40800920,23,18,neocortex,suitable,,yes,non_neocortex,flash,high,0.8833
occipital cortex,occipital cortex,Human,PM36661404,23,18,neocortex,suitable,,no,neocortex,rule,high,1.0
orbitofrontal cortex,orbitofrontal cortex,Human,PM36542188,23,16,neocortex,suitable,,no,neocortex,rule,high,1.0
ACx,auditory cortex,Mouse,PM35857536,22,9,neocortex,suitable,,no,neocortex,rule,high,0.9933
MOs,secondary motor cortex,Mouse,PM41256530,22,16,neocortex,suitable,,no,neocortex,rule,high,0.9933
