record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence,final_reason,seed_old_label,flash_a_label,flash_b_label,flash_c_label,flash_agreement,flash_vote_split,pro_a_label,pro_b_label,pro_c_label,pro_agreement,pro_vote_split,flash_a_reason,flash_b_reason,flash_c_reason,pro_a_reason,pro_b_reason,pro_c_reason
0,thalamus,thalamus,Human,PM32919055,582,297,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
1,cortex,cortex,Mouse,PM41413261,353,209,other,flash,medium,0.75,bare 'cortex' is too vague to assign to neocortex or allocortex; umbrella term | Bare 'cortex' too vague to assign a specific region per rule. | 'cortex' alone is too vague; could refer to neocortex or other cortices,cortical,other,other,ambiguous,2/3,2-1,,,,,,bare 'cortex' is too vague to assign to neocortex or allocortex; umbrella term,Bare 'cortex' too vague to assign a specific region per rule.,'cortex' alone is too vague; could refer to neocortex or other cortices,,,
2,M1,primary motor cortex,Mouse,PM33836602,347,184,neocortex,flash,high,0.98,"primary motor cortex is a well-defined neocortical area | Primary motor cortex, clearly part of neocortex (isocortex). | primary motor cortex (M1) is a well-defined neocortical area",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,primary motor cortex is a well-defined neocortical area,"Primary motor cortex, clearly part of neocortex (isocortex).",primary motor cortex (M1) is a well-defined neocortical area,,,
3,BLA,basolateral amygdala,Mouse,PM40840443,345,157,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
4,VTA,ventral tegmental area,Mouse,PM38895464,320,144,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
5,mPFC,medial prefrontal cortex,Mouse,PM36063145,297,149,neocortex,flash,high,0.98,medial prefrontal cortex is neocortex | Medial prefrontal cortex is a neocortical area. | medial prefrontal cortex (mPFC) is part of neocortex,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,medial prefrontal cortex is neocortex,Medial prefrontal cortex is a neocortical area.,medial prefrontal cortex (mPFC) is part of neocortex,,,
6,striatum,striatum,Mouse,PM33113247,290,152,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
7,spinal cord,spinal cord,Mouse,PM40108302,264,151,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
8,ACC,anterior cingulate cortex,Mouse,PM39614717,261,78,non_neocortex,pro,high,0.8,"Anterior cingulate cortex is a mesocortical area, not typical 6-layered isocortex. | ACC is mesocortex (transitional), not 6-layered isocortex. Conventional classification groups cingulate with allocortex/mesocortex, thus non_neocortex. | Anterior cingulate cortex is a mesocortical transitional area, not typical 6-layered isocortex.",cortical,ambiguous,non_neocortex,neocortex,1/3,1-1-1,non_neocortex,non_neocortex,non_neocortex,3/3,3-0,anterior cingulate cortex is a borderline mesocortical area; classification unclear,"Anterior cingulate cortex is a transitional mesocortex, typically considered non-neocortex in circuit usage.",anterior cingulate cortex is transitional but typically classified as neocortex in mouse,"Anterior cingulate cortex is a mesocortical area, not typical 6-layered isocortex.","ACC is mesocortex (transitional), not 6-layered isocortex. Conventional classification groups cingulate with allocortex/mesocortex, thus non_neocortex.","Anterior cingulate cortex is a mesocortical transitional area, not typical 6-layered isocortex."
9,V1,primary visual cortex,Mouse,PM38802410,250,103,neocortex,flash,high,0.98,"primary visual cortex is neocortex | Primary visual cortex, classic neocortex. | primary visual cortex (V1) is a neocortical area",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,primary visual cortex is neocortex,"Primary visual cortex, classic neocortex.",primary visual cortex (V1) is a neocortical area,,,
10,S1,primary somatosensory cortex,Mouse,PM36446382,200,105,neocortex,flash,high,0.98,"primary somatosensory cortex is neocortex | Primary somatosensory cortex, classic neocortex. | primary somatosensory cortex (S1) is a neocortical area",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,primary somatosensory cortex is neocortex,"Primary somatosensory cortex, classic neocortex.",primary somatosensory cortex (S1) is a neocortical area,,,
11,CA1,CA1,Mouse,PM35843448,176,90,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
12,NAc,nucleus accumbens,Mouse,PM37732251,172,94,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
13,PFC,prefrontal cortex,Mouse,PM37660322,171,79,neocortex,flash,high,0.9967,PFC (prefrontal cortex) is a canonical neocortical region. | Prefrontal cortex is a canonical neocortical region. | PFC (prefrontal cortex) is a neocortical region.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,PFC (prefrontal cortex) is a canonical neocortical region.,Prefrontal cortex is a canonical neocortical region.,PFC (prefrontal cortex) is a neocortical region.,,,
14,PVN,paraventricular nucleus,Mouse,PM34823066,170,78,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
15,SC,superior colliculus,Mouse,PM37000205,170,86,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
16,motor cortex,motor cortex,Mouse,PM39630872,167,111,neocortex,flash,high,0.9967,Motor cortex is a primary neocortical area. | Motor cortex is a primary neocortical area. | Motor cortex is primary neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Motor cortex is a primary neocortical area.,Motor cortex is a primary neocortical area.,Motor cortex is primary neocortex.,,,
17,IC,inferior colliculus,Mouse,PM41275018,162,65,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
18,NTS,nucleus tractus solitarius,Mouse,PM36309763,157,91,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
19,LC,locus coeruleus,Mouse,PM33715169,149,72,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
20,amygdala,amygdala,Mouse,PM39103495,145,76,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
21,BNST,bed nucleus of the stria terminalis,Mouse,PM37808816,140,78,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
22,CeA,central amygdala,Mouse,PM33421491,134,72,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
23,LH,lateral hypothalamus,Mouse,PM42303307,134,75,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
24,MD,mediodorsal thalamus,Mouse,PM33103997,133,65,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
25,PL,prelimbic cortex,Mouse,PM35838139,130,59,neocortex,flash,high,0.99,PL (prelimbic cortex) is part of medial prefrontal neocortex. | Prelimbic cortex is part of medial prefrontal neocortex. | PL (prelimbic cortex) is part of medial prefrontal neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,PL (prelimbic cortex) is part of medial prefrontal neocortex.,Prelimbic cortex is part of medial prefrontal neocortex.,PL (prelimbic cortex) is part of medial prefrontal neocortex.,,,
26,PAG,periaqueductal gray,Mouse,PM40610407,126,85,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
27,PVT,paraventricular thalamus,Mouse,PM34032911,124,67,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
28,GPe,globus pallidus externus,Mouse,PM42039543,123,53,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
29,SNr,substantia nigra pars reticulata,Mouse,PM33823137,123,51,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
30,VP,ventral pallidum,Mouse,PM42133082,118,53,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
31,STN,subthalamic nucleus,Mouse,PM35263607,110,52,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
32,CA3,CA3,Mouse,PM37426757,108,62,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
33,hippocampus,hippocampus,Mouse,PM40757734,104,77,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
34,cerebellum,cerebellum,Mouse,PM36455518,102,58,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
35,DMS,dorsomedial striatum,Mouse,PM37156610,102,51,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
36,OFC,orbitofrontal cortex,Mouse,PM32424057,99,42,neocortex,flash,high,0.9967,OFC (orbitofrontal cortex) is neocortical association area. | Orbitofrontal cortex is a neocortical region. | OFC (orbitofrontal cortex) is neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,OFC (orbitofrontal cortex) is neocortical association area.,Orbitofrontal cortex is a neocortical region.,OFC (orbitofrontal cortex) is neocortex.,,,
