record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,flash_a_label,flash_b_label,flash_c_label,flash_agreement,flash_vote_split,pro_a_label,pro_b_label,pro_c_label,pro_agreement,pro_vote_split,final_certainty,final_confidence,final_reason,flash_a_reason,flash_b_reason,flash_c_reason,pro_a_reason,pro_b_reason,pro_c_reason
0,thalamus,thalamus,Human,PM32919055,582,297,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,1.0,"Thalamus is a subcortical gray matter structure. | Thalamus is a classic subcortical structure, part of diencephalon. | Thalamus is a subcortical gray matter structure.",Thalamus is a subcortical gray matter structure.,"Thalamus is a classic subcortical structure, part of diencephalon.",Thalamus is a subcortical gray matter structure.,,,
1,cortex,cortex,Mouse,PM41413261,353,209,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,0.9833,"Cortex is the cerebral cortex. | Cortex generally refers to cerebral cortex, a cortical structure. | Cerebral cortex is cortical.",Cortex is the cerebral cortex.,"Cortex generally refers to cerebral cortex, a cortical structure.",Cerebral cortex is cortical.,,,
2,M1,primary motor cortex,Mouse,PM33836602,347,184,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,1.0,Primary motor cortex is a cortical area. | Primary motor cortex (M1) is a neocortical area. | Primary motor cortex is a cortical area.,Primary motor cortex is a cortical area.,Primary motor cortex (M1) is a neocortical area.,Primary motor cortex is a cortical area.,,,
3,BLA,basolateral amygdala,Mouse,PM40840443,345,157,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,1.0,"Basolateral amygdala is a subcortical nucleus. | Basolateral amygdala is part of amygdala, a subcortical nucleus. | Basolateral amygdala is a subcortical nucleus.",Basolateral amygdala is a subcortical nucleus.,"Basolateral amygdala is part of amygdala, a subcortical nucleus.",Basolateral amygdala is a subcortical nucleus.,,,
4,VTA,ventral tegmental area,Mouse,PM38895464,320,144,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,1.0,"Ventral tegmental area is a subcortical midbrain nucleus. | Ventral tegmental area is a midbrain structure, subcortical. | Ventral tegmental area is a subcortical brainstem nucleus.",Ventral tegmental area is a subcortical midbrain nucleus.,"Ventral tegmental area is a midbrain structure, subcortical.",Ventral tegmental area is a subcortical brainstem nucleus.,,,
5,mPFC,medial prefrontal cortex,Mouse,PM36063145,297,149,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,1.0,"Medial prefrontal cortex is part of cerebral cortex. | Medial prefrontal cortex is part of prefrontal cortex, a cortical region. | Medial prefrontal cortex is a cortical area.",Medial prefrontal cortex is part of cerebral cortex.,"Medial prefrontal cortex is part of prefrontal cortex, a cortical region.",Medial prefrontal cortex is a cortical area.,,,
6,striatum,striatum,Mouse,PM33113247,290,152,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,1.0,"Striatum is part of basal ganglia, a subcortical structure. | Striatum is a subcortical nucleus part of basal ganglia. | Striatum is a subcortical basal ganglia structure.","Striatum is part of basal ganglia, a subcortical structure.",Striatum is a subcortical nucleus part of basal ganglia.,Striatum is a subcortical basal ganglia structure.,,,
7,spinal cord,spinal cord,Mouse,PM40108302,264,151,subcortical,flash,subcortical,subcortical,subcortical,3/3,3-0,,,,,,high,1.0,Spinal cord is a subcortical CNS structure. | Spinal cord is a subcortical structure. | Spinal cord is a subcortical CNS structure.,Spinal cord is a subcortical CNS structure.,Spinal cord is a subcortical structure.,Spinal cord is a subcortical CNS structure.,,,
8,ACC,anterior cingulate cortex,Mouse,PM39614717,261,78,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,1.0,Anterior cingulate cortex is part of cerebral cortex. | Anterior cingulate cortex is part of cerebral cortex. | Anterior cingulate cortex (ACC) is part of cerebral cortex.,Anterior cingulate cortex is part of cerebral cortex.,Anterior cingulate cortex is part of cerebral cortex.,Anterior cingulate cortex (ACC) is part of cerebral cortex.,,,
9,V1,primary visual cortex,Mouse,PM38802410,250,103,cortical,flash,cortical,cortical,cortical,3/3,3-0,,,,,,high,1.0,Primary visual cortex is a cortical area. | Primary visual cortex is a cortical area. | Primary visual cortex (V1) is a cortical area.,Primary visual cortex is a cortical area.,Primary visual cortex is a cortical area.,Primary visual cortex (V1) is a cortical area.,,,
