id,structure_name,fullname,expected_homba_id,expected_homba_name,difficulty,query_kind,source,gt_status,n_mentions,notes
AIC-001,Abducens nucleus,abducens nucleus,HOMBA:12418,abducens nucleus,easy,fullname,rcs_core,verified,3,pons | cranial nerve VI
AIC-002,Amygdala,amygdala,HOMBA:10361,amygdaloid complex,easy,fullname,rcs_core,verified,145,basic
AIC-003,Angular gyrus,,HOMBA:12136,angular gyrus,easy,fullname,rcs_core,verified,,gyrus_name | gyrus
AIC-004,Anterior thalamic nuclei,anterior thalamic nuclei,HOMBA:10392,anterior nuclear complex of thalamus,easy,fullname,rcs_core,verified,5,thalamus
AIC-005,Auditory cortex,,HOMBA:10236,"primary auditory cortex (first auditory cortex, auditory core region)",easy,fullname,rcs_core,verified,,cortex | generic
AIC-006,Bed nucleus of stria terminalis,bed nucleus of stria terminalis,HOMBA:10384,bed nucleus of stria terminalis,easy,fullname,rcs_core,verified,2,full_name | BNST
AIC-007,Caudate nucleus,caudate nucleus,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),easy,fullname,rcs_core,verified,5,basal_ganglia
AIC-008,Cerebellar cortex,cerebellar cortex,HOMBA:10657,cerebellar cortex,easy,fullname,rcs_core,verified,21,cerebellum
AIC-009,Cerebellar deep nuclei,,HOMBA:10660,cerebellar deep nuclei,easy,fullname,rcs_core,verified,,cerebellum
AIC-010,Cerebellar hemisphere,cerebellar hemisphere,HOMBA:10659,cerebellar hemisphere,easy,fullname,rcs_core,verified,2,cerebellum
AIC-011,Cerebellum,cerebellum,HOMBA:10656,cerebellum,easy,fullname,rcs_core,verified,102,basic | cerebellum
AIC-012,Cerebral hemisphere,,HOMBA:10158,telencephalon,easy,fullname,rcs_core,verified,,basic
AIC-013,Claustrum,claustrum,HOMBA:10346,claustrum,easy,fullname,rcs_core,verified,50,subcortical
AIC-014,Cochlear nucleus,cochlear nucleus,HOMBA:12437,cochlear nuclei,easy,fullname,rcs_core,verified,13,cranial_nerve
AIC-015,Cuneate nucleus,cuneate nucleus,HOMBA:12589,cuneate nucleus,easy,fullname,rcs_core,verified,6,
AIC-016,Cuneus,,HOMBA:12150,cuneus (gyrus),easy,abbrev,rcs_core,verified,,lobe_structure | gyrus | occipital
AIC-017,Dentate gyrus,dentate gyrus,HOMBA:10295,dentate gyrus,easy,fullname,rcs_core,verified,23,gyrus_name | gyrus | hippocampal subregion
AIC-018,Dentate nucleus,dentate nucleus,HOMBA:12396,dentate (lateral) nucleus,easy,fullname,rcs_core,verified,12,cerebellar_nucleus | cerebellum
AIC-019,Diencephalon,diencephalon,HOMBA:10389,diencephalon,easy,fullname,rcs_core,verified,8,basic
AIC-020,Dorsal motor nucleus of vagus,dorsal motor nucleus of vagus,HOMBA:12550,dorsal motor nucleus of the vagus (vagal nerve nucleus),easy,fullname,rcs_core,verified,1,medulla | cranial nerve X
AIC-021,Dorsal raphe nucleus,dorsal raphe nucleus,HOMBA:12223,dorsal raphe nucleus,easy,fullname,rcs_core,verified,8,raphe | DRN
AIC-022,Emboliform nucleus,,HOMBA:12401,lateral interpositus (emboliform) nucleus,easy,fullname,rcs_core,verified,,cerebellar_nucleus | cerebellum
AIC-023,Entorhinal cortex,entorhinal cortex,HOMBA:10317,entorhinal cortex,easy,fullname,rcs_core,verified,36,cortex_name | cortex
AIC-024,Facial nucleus,facial nucleus,HOMBA:12420,facial nucleus,easy,fullname,rcs_core,verified,2,medulla | cranial nerve VII
AIC-025,Fastigial nucleus,fastigial nucleus,HOMBA:12402,fastigial (medial) nucleus,easy,fullname,rcs_core,verified,8,cerebellar_nucleus | cerebellum
AIC-026,Flocculus,flocculus,HOMBA:AA30424,lobule Xa (flocculus),easy,fullname,rcs_core,verified,1,cerebellum
AIC-027,Fourth ventricle,,HOMBA:12805,fourth ventricle,easy,fullname,rcs_core,verified,,ventricle
AIC-028,Frontal lobe,,HOMBA:12113,frontal lobe,easy,fullname,rcs_core,verified,,lobe
AIC-029,Fusiform gyrus,,HOMBA:AA30549,fusiform (occipitotemporal) gyrus,easy,fullname,rcs_core,verified,,gyrus_name | gyrus
AIC-030,Globose nucleus,,HOMBA:12400,medial interpositus (globose) nucleus,easy,fullname,rcs_core,verified,,cerebellar_nucleus | cerebellum
AIC-031,Globus pallidus,globus pallidus,HOMBA:10342,globus pallidus (paleostriatum),easy,fullname,rcs_core,verified,4,basal_ganglia
AIC-032,Gracile nucleus,gracile nucleus,HOMBA:12592,gracile nucleus,easy,fullname,rcs_core,verified,5,
AIC-033,ACC,,HOMBA:10278,anterior cingulate  cortex (ventromedial prefrontal cortex),medium,abbrev,rcs_core,verified,,abbreviation | anterior cingulate cortex
AIC-034,ARC,arcuate nucleus,HOMBA:10492,arcuate nucleus of hypothalamus,medium,abbrev,rcs_core,verified,27,abbrev | arcuate nucleus
AIC-035,BNST,bed nucleus of the stria terminalis,HOMBA:10384,bed nucleus of stria terminalis,medium,abbrev,rcs_core,verified,140,abbreviation | abbrev | bed nucleus of stria terminalis
AIC-036,CA1,CA1,HOMBA:10297,CA1 region of hippocampus,medium,abbrev,rcs_core,verified,176,abbreviation | abbrev | hippocampal_subfield | hippocampal subfield
AIC-037,CA2,CA2,HOMBA:10298,CA2 region of hippocampus,medium,abbrev,rcs_core,verified,46,abbrev | hippocampal subfield
AIC-038,CA3,CA3,HOMBA:10299,CA3 region of hippocampus,medium,abbrev,rcs_core,verified,108,abbreviation | abbrev | hippocampal_subfield | hippocampal subfield
AIC-039,Cingulate cortex,,HOMBA:10277,cingulate cortex,medium,synonym,rcs_core,verified,,synonym | cortex | should match HOMBA cingulate cortex
AIC-040,Dorsal raphe,dorsal raphe,HOMBA:12223,dorsal raphe nucleus,medium,abbrev,rcs_core,verified,9,abbreviation | missing nucleus
AIC-041,DRN,dorsal raphe nucleus,HOMBA:12223,dorsal raphe nucleus,medium,abbrev,rcs_core,verified,60,abbrev | dorsal raphe
AIC-042,Entorhinal area,,HOMBA:10317,entorhinal cortex,medium,synonym,rcs_core,verified,,synonym | alternative name for entorhinal cortex | alternative for entorhinal cortex
AIC-043,GPe,globus pallidus externus,HOMBA:10343,external division of globus pallidus,medium,abbrev,rcs_core,verified,123,abbrev | external globus pallidus
AIC-044,GPi,globus pallidus internus,HOMBA:10344,internal division of globus pallidus,medium,abbrev,rcs_core,verified,47,abbrev | internal globus pallidus
AIC-045,Hippocampal formation,hippocampal formation,HOMBA:12170,hippocampal formation,medium,synonym,rcs_core,verified,6,synonym | alternative name for hippocampus group
AIC-046,Lateral geniculate body,,HOMBA:10429,lateral geniculate nucleus (dorsal lateral geniculate nucleus),medium,synonym,rcs_core,verified,,synonym | LGN alternative
AIC-047,BLA,basolateral amygdala,HOMBA:10366,basolateral nuclear group of amygdala,medium,abbrev,curated_non_neocortex,verified_via_fullname,345,corpus abbrev | basolateral amygdala | n_mentions=345
AIC-048,Cd,caudate nucleus,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),medium,abbrev,curated_non_neocortex,verified_via_fullname,28,corpus abbrev | caudate nucleus | n_mentions=28
AIC-049,CeA,central amygdala,HOMBA:10363,central nucleus of amygdala,medium,abbrev,curated_non_neocortex,verified_via_fullname,134,corpus abbrev | central amygdala | n_mentions=134
AIC-050,CLA,claustrum,HOMBA:10346,claustrum,medium,abbrev,curated_non_neocortex,verified_via_fullname,61,corpus abbrev | claustrum | n_mentions=61
