structure_name,species,paper
Mammillary body,Human,Adil2021
Pineal gland,Human,Adil2021
Pulvinar nucleus,Human,Adil2021
Subthalamic nucleus,Human,Adil2021
Thalamus (excluding pulvinar),Human,Adil2021
Inferior colliculus,Human,Adil2021
Red nucleus,Human,Adil2021
Substantia nigra,Human,Adil2021
Superior colliculus,Human,Adil2021
Abducens nucleus,Human,Adil2021
Facial nucleus,Human,Adil2021
Trigeminal nucleus (motor),Human,Adil2021
Trigeminal nucleus (principal sensory),Human,Adil2021
Cuneate nucleus,Human,Adil2021
Gracile nucleus,Human,Adil2021
Hypoglossal nucleus,Human,Adil2021
Inferior olive (principal nucleus),Human,Adil2021
Spinal trigeminal nucleus (caudalis),Human,Adil2021
Spinal trigeminal nucleus (interpolaris),Human,Adil2021
Spinal trigeminal nucleus (oralis),Human,Adil2021
Vestibular nucleus,Human,Adil2021
Optic chiasm,Human,Adil2021
Optic tract,Human,Adil2021
Roots of the abducens nerve,Human,Adil2021
Roots of the facial nerve,Human,Adil2021
Roots of the trigeminal nerve,Human,Adil2021
Corticospinal tract,Human,Adil2021
Medial lemniscus,Human,Adil2021
Medial longitudinal fasciculus,Human,Adil2021
Spinothalamic tract,Human,Adil2021
Cerebral peduncle,Human,Adil2021
Trigeminal tract (mesencephalic),Human,Adil2021
Inferior cerebellar peduncle,Human,Adil2021
Middle cerebellar peduncle,Human,Adil2021
Superior cerebellar peduncle,Human,Adil2021
Superior cerebellar peduncle (decussation),Human,Adil2021
Cuneate fasciculus,Human,Adil2021
Gracile fasciculus,Human,Adil2021
Pyramidal decussation,Human,Adil2021
Spinal trigeminal tract,Human,Adil2021
Anterior commissure,Human,Adil2021
Fornix,Human,Adil2021
Internal capsule,Human,Adil2021
Mammillothalamic tract,Human,Adil2021
Posterior commissure,Human,Adil2021
Cerebral aqueduct,Human,Adil2021
Fourth ventricle,Human,Adil2021
Obex,Human,Adil2021
Oculomotor nucleus,Human,Agostinelli2023
Edinger-Westphal nucleus (preganglionic),Human,Agostinelli2023
Trochlear nucleus,Human,Agostinelli2023
Motor trigeminal nucleus,Human,Agostinelli2023
Principal sensory trigeminal nucleus,Human,Agostinelli2023
Spinal trigeminal nucleus,Human,Agostinelli2023
Abducens nucleus,Human,Agostinelli2023
Facial nucleus,Human,Agostinelli2023
Accessory trigeminal nucleus,Human,Agostinelli2023
Accessory facial nucleus,Human,Agostinelli2023
Superior salivatory nucleus,Human,Agostinelli2023
Inferior salivatory nucleus,Human,Agostinelli2023
Ventral cochlear nucleus,Human,Agostinelli2023
Dorsal cochlear nucleus,Human,Agostinelli2023
Pontobulbar nucleus,Human,Agostinelli2023
Dorsal motor nucleus of vagus,Human,Agostinelli2023
Nucleus ambiguus,Human,Agostinelli2023
Vagus (spinal accessory) neurons,Human,Agostinelli2023
Hypoglossal nucleus,Human,Agostinelli2023
Nucleus of the solitary tract,Human,Agostinelli2023
Area postrema,Human,Agostinelli2023
Prepositus nucleus,Human,Agostinelli2023
Intermediate reticular zone,Human,Agostinelli2023
Lateral reticular nucleus (magnocellular),Human,Agostinelli2023
Lateral reticular nucleus (parvicellular),Human,Agostinelli2023
Ventrolateral medulla,Human,Agostinelli2023
Pedunculopontine tegmentum,Human,Agostinelli2023
