structure_name,category,species,paper
Mammillary body,gray_matter,Human,Adil2021
Pineal gland,gray_matter,Human,Adil2021
Pulvinar nucleus,gray_matter,Human,Adil2021
Subthalamic nucleus,gray_matter,Human,Adil2021
Thalamus (excluding pulvinar),gray_matter,Human,Adil2021
Inferior colliculus,gray_matter,Human,Adil2021
Red nucleus,gray_matter,Human,Adil2021
Substantia nigra,gray_matter,Human,Adil2021
Superior colliculus,gray_matter,Human,Adil2021
Abducens nucleus,gray_matter,Human,Adil2021
Facial nucleus,gray_matter,Human,Adil2021
Trigeminal nucleus (motor),gray_matter,Human,Adil2021
Trigeminal nucleus (principal sensory),gray_matter,Human,Adil2021
Cuneate nucleus,gray_matter,Human,Adil2021
Cuneate nucleus (external),gray_matter,Human,Adil2021
Gracile nucleus,gray_matter,Human,Adil2021
Hypoglossal nucleus,gray_matter,Human,Adil2021
Inferior olive (principal nucleus),gray_matter,Human,Adil2021
Spinal trigeminal nucleus (caudalis),gray_matter,Human,Adil2021
Spinal trigeminal nucleus (interpolaris),gray_matter,Human,Adil2021
Spinal trigeminal nucleus (oralis),gray_matter,Human,Adil2021
Vestibular nucleus,gray_matter,Human,Adil2021
Optic chiasm,cranial_nerve,Human,Adil2021
Optic tract,cranial_nerve,Human,Adil2021
Roots of the abducens nerve,cranial_nerve,Human,Adil2021
Roots of the facial nerve,cranial_nerve,Human,Adil2021
Roots of the trigeminal nerve,cranial_nerve,Human,Adil2021
Corticospinal tract,white_matter,Human,Adil2021
Medial lemniscus,white_matter,Human,Adil2021
Medial longitudinal fasciculus,white_matter,Human,Adil2021
Spinothalamic tract,white_matter,Human,Adil2021
Cerebral peduncle,white_matter,Human,Adil2021
Trigeminal tract (mesencephalic),white_matter,Human,Adil2021
Inferior cerebellar peduncle,white_matter,Human,Adil2021
Middle cerebellar peduncle,white_matter,Human,Adil2021
Superior cerebellar peduncle,white_matter,Human,Adil2021
Superior cerebellar peduncle (decussation),white_matter,Human,Adil2021
Cuneate fasciculus,white_matter,Human,Adil2021
Gracile fasciculus,white_matter,Human,Adil2021
Pyramidal decussation,white_matter,Human,Adil2021
Spinal trigeminal tract,white_matter,Human,Adil2021
Anterior commissure,white_matter,Human,Adil2021
Fornix (anterior columns),white_matter,Human,Adil2021
Internal capsule (posterior limb),white_matter,Human,Adil2021
Mammillothalamic tract,white_matter,Human,Adil2021
Posterior commissure,white_matter,Human,Adil2021
Cerebral aqueduct,ventricle,Human,Adil2021
Fourth ventricle,ventricle,Human,Adil2021
Obex,ventricle,Human,Adil2021
Oculomotor nucleus,gray_matter,Human,Agostinelli2023
Edinger-Westphal nucleus (preganglionic),gray_matter,Human,Agostinelli2023
Trochlear nucleus,gray_matter,Human,Agostinelli2023
Motor trigeminal nucleus,gray_matter,Human,Agostinelli2023
Principal sensory trigeminal nucleus,gray_matter,Human,Agostinelli2023
Spinal trigeminal nucleus,gray_matter,Human,Agostinelli2023
Abducens nucleus,gray_matter,Human,Agostinelli2023
Facial nucleus,gray_matter,Human,Agostinelli2023
Accessory trigeminal nucleus,gray_matter,Human,Agostinelli2023
Accessory facial nucleus,gray_matter,Human,Agostinelli2023
Superior salivatory nucleus,gray_matter,Human,Agostinelli2023
Inferior salivatory nucleus,gray_matter,Human,Agostinelli2023
Ventral cochlear nucleus,gray_matter,Human,Agostinelli2023
Dorsal cochlear nucleus,gray_matter,Human,Agostinelli2023
Pontobulbar nucleus,gray_matter,Human,Agostinelli2023
Dorsal motor nucleus of vagus,gray_matter,Human,Agostinelli2023
Nucleus ambiguus,gray_matter,Human,Agostinelli2023
Vagus (spinal accessory) neurons,gray_matter,Human,Agostinelli2023
Hypoglossal nucleus,gray_matter,Human,Agostinelli2023
Nucleus of the solitary tract,gray_matter,Human,Agostinelli2023
Area postrema,gray_matter,Human,Agostinelli2023
Prepositus nucleus,gray_matter,Human,Agostinelli2023
Intermediate reticular zone,gray_matter,Human,Agostinelli2023
Lateral reticular nucleus (magnocellular),gray_matter,Human,Agostinelli2023
Lateral reticular nucleus (parvicellular),gray_matter,Human,Agostinelli2023
Ventrolateral medulla,gray_matter,Human,Agostinelli2023
Pedunculopontine tegmentum,gray_matter,Human,Agostinelli2023
Laterodorsal tegmentum,gray_matter,Human,Agostinelli2023
Lateral parabrachial nucleus,gray_matter,Human,Agostinelli2023
Medial parabrachial nucleus,gray_matter,Human,Agostinelli2023
External lateral parabrachial nucleus,gray_matter,Human,Agostinelli2023
Periaqueductal gray,gray_matter,Human,Agostinelli2023
Superior colliculus,gray_matter,Human,Agostinelli2023
