structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence
thalamus,thalamus,Human,PM32919055,582,297,non_neocortex,seed_remap,high,1.0
cortex,cortex,Mouse,PM41413261,353,209,other,flash,medium,0.75
M1,primary motor cortex,Mouse,PM33836602,347,184,neocortex,flash,high,0.98
BLA,basolateral amygdala,Mouse,PM40840443,345,157,non_neocortex,seed_remap,high,1.0
VTA,ventral tegmental area,Mouse,PM38895464,320,144,non_neocortex,seed_remap,high,1.0
mPFC,medial prefrontal cortex,Mouse,PM36063145,297,149,neocortex,flash,high,0.98
striatum,striatum,Mouse,PM33113247,290,152,non_neocortex,seed_remap,high,1.0
spinal cord,spinal cord,Mouse,PM40108302,264,151,non_neocortex,seed_remap,high,1.0
ACC,anterior cingulate cortex,Mouse,PM39614717,261,78,non_neocortex,pro,high,0.8
V1,primary visual cortex,Mouse,PM38802410,250,103,neocortex,flash,high,0.98
S1,primary somatosensory cortex,Mouse,PM36446382,200,105,neocortex,flash,high,0.98
CA1,CA1,Mouse,PM35843448,176,90,non_neocortex,seed_remap,high,1.0
NAc,nucleus accumbens,Mouse,PM37732251,172,94,non_neocortex,seed_remap,high,1.0
PFC,prefrontal cortex,Mouse,PM37660322,171,79,neocortex,flash,high,0.9967
PVN,paraventricular nucleus,Mouse,PM34823066,170,78,non_neocortex,seed_remap,high,1.0
SC,superior colliculus,Mouse,PM37000205,170,86,non_neocortex,seed_remap,high,1.0
motor cortex,motor cortex,Mouse,PM39630872,167,111,neocortex,flash,high,0.9967
IC,inferior colliculus,Mouse,PM41275018,162,65,non_neocortex,seed_remap,high,1.0
NTS,nucleus tractus solitarius,Mouse,PM36309763,157,91,non_neocortex,seed_remap,high,1.0
LC,locus coeruleus,Mouse,PM33715169,149,72,non_neocortex,seed_remap,high,1.0
amygdala,amygdala,Mouse,PM39103495,145,76,non_neocortex,seed_remap,high,1.0
BNST,bed nucleus of the stria terminalis,Mouse,PM37808816,140,78,non_neocortex,seed_remap,high,1.0
CeA,central amygdala,Mouse,PM33421491,134,72,non_neocortex,seed_remap,high,1.0
LH,lateral hypothalamus,Mouse,PM42303307,134,75,non_neocortex,seed_remap,high,1.0
MD,mediodorsal thalamus,Mouse,PM33103997,133,65,non_neocortex,seed_remap,high,1.0
PL,prelimbic cortex,Mouse,PM35838139,130,59,neocortex,flash,high,0.99
PAG,periaqueductal gray,Mouse,PM40610407,126,85,non_neocortex,seed_remap,high,1.0
PVT,paraventricular thalamus,Mouse,PM34032911,124,67,non_neocortex,seed_remap,high,1.0
GPe,globus pallidus externus,Mouse,PM42039543,123,53,non_neocortex,seed_remap,high,1.0
SNr,substantia nigra pars reticulata,Mouse,PM33823137,123,51,non_neocortex,seed_remap,high,1.0
VP,ventral pallidum,Mouse,PM42133082,118,53,non_neocortex,seed_remap,high,1.0
STN,subthalamic nucleus,Mouse,PM35263607,110,52,non_neocortex,seed_remap,high,1.0
CA3,CA3,Mouse,PM37426757,108,62,non_neocortex,seed_remap,high,1.0
hippocampus,hippocampus,Mouse,PM40757734,104,77,non_neocortex,seed_remap,high,1.0
cerebellum,cerebellum,Mouse,PM36455518,102,58,non_neocortex,seed_remap,high,1.0
DMS,dorsomedial striatum,Mouse,PM37156610,102,51,non_neocortex,seed_remap,high,1.0
OFC,orbitofrontal cortex,Mouse,PM32424057,99,42,neocortex,flash,high,0.9967
IL,infralimbic cortex,Mouse,PM40046441,98,44,neocortex,flash,high,0.99
dLGN,dorsal lateral geniculate nucleus,Mouse,PM38890758,96,50,non_neocortex,seed_remap,high,1.0
M2,secondary motor cortex,Mouse,PM37001992,94,48,neocortex,flash,high,0.9967
RE,reuniens nucleus,Mouse,PM34301721,94,34,non_neocortex,seed_remap,high,1.0
TRN,thalamic reticular nucleus,Mouse,PM40894799,94,36,non_neocortex,seed_remap,high,1.0
VPM,ventral posteromedial thalamus,Mouse,PM36693103,91,49,non_neocortex,seed_remap,high,1.0
DG,dentate gyrus,Mouse,PM36040301,90,47,non_neocortex,seed_remap,high,1.0
LHb,lateral habenula,Mouse,PM39067532,90,42,non_neocortex,seed_remap,high,1.0
DCN,dorsal cochlear nucleus,Mouse,PM35645738,84,29,non_neocortex,seed_remap,high,1.0
LS,lateral septum,Mouse,PM39150998,84,37,non_neocortex,seed_remap,high,1.0
hypothalamus,hypothalamus,Mouse,PM35413481,80,56,non_neocortex,seed_remap,high,1.0
DLS,dorsolateral striatum,Mouse,PM37156610,77,43,non_neocortex,seed_remap,high,1.0
PB,parabrachial nucleus,Mouse,PM39801453,75,18,non_neocortex,seed_remap,high,1.0
ZI,zona incerta,Mouse,PM39099402,71,37,non_neocortex,seed_remap,high,1.0
LHA,lateral hypothalamic area,Mouse,PM41722046,70,34,non_neocortex,seed_remap,high,1.0
MOp,primary motor cortex,Mouse,PM41415035,68,24,neocortex,flash,high,0.9967
PrL,prelimbic cortex,Mouse,PM42156719,68,38,neocortex,flash,high,0.9967
VLPAG,ventrolateral periaqueductal gray,Mouse,PM35813503,68,29,non_neocortex,seed_remap,high,1.0
LGN,lateral geniculate nucleus,Mouse,PM41702717,67,47,non_neocortex,seed_remap,high,1.0
SNc,substantia nigra pars compacta,Mouse,PM38272967,66,38,non_neocortex,seed_remap,high,1.0
PPN,pedunculopontine nucleus,Mouse,PM33907215,65,16,non_neocortex,seed_remap,high,1.0
brainstem,brainstem,Mouse,PM41467584,63,44,other,seed_remap,high,1.0
dorsal striatum,dorsal striatum,Mouse,PM36395541,63,37,non_neocortex,seed_remap,high,1.0
putamen,putamen,Human,PM38601798,63,25,non_neocortex,seed_remap,high,1.0
somatosensory cortex,somatosensory cortex,Mouse,PM35551446,63,43,neocortex,flash,high,0.9967
POm,posterior medial thalamus,Mouse,PM36735778,62,32,non_neocortex,seed_remap,high,1.0
vHPC,ventral hippocampus,Mouse,PM40204437,62,25,non_neocortex,seed_remap,high,1.0
CLA,claustrum,Mouse,PM36774552,61,15,non_neocortex,seed_remap,high,1.0
PF,parafascicular nucleus,Mouse,PM38260117,61,33,non_neocortex,seed_remap,high,1.0
DRN,dorsal raphe nucleus,Mouse,PM39593192,60,31,non_neocortex,seed_remap,high,1.0
retina,retina,Mouse,PM40911558,60,28,other,seed_remap,high,1.0
sensorimotor cortex,sensorimotor cortex,Mouse,PM34449938,59,33,neocortex,flash,high,0.9967
VL,ventrolateral thalamus,Mouse,PM40657851,59,27,non_neocortex,seed_remap,high,1.0
prefrontal cortex,prefrontal cortex,Human,PM34617601,58,44,neocortex,flash,high,0.9967
S2,secondary somatosensory cortex,Mouse,PM40346961,58,27,neocortex,flash,high,0.9967
TC,thalamocortical,Mouse,PM40894799,58,25,other,seed_remap,high,1.0
PO,posterior nucleus,Mouse,PM36096667,57,25,non_neocortex,seed_remap,high,1.0
primary motor cortex,primary motor cortex,Human,PM35982397,57,48,neocortex,flash,high,0.9833
vmPFC,ventromedial prefrontal cortex,Mouse,PM33790281,57,23,neocortex,flash,high,0.9833
CST,corticospinal tract,Mouse,PM39416130,56,28,other,seed_remap,high,1.0
PVH,paraventricular hypothalamus,Mouse,PM39179131,56,33,non_neocortex,seed_remap,high,1.0
Sub,subiculum,Mouse,PM32433957,56,19,non_neocortex,seed_remap,high,1.0
superior colliculus,superior colliculus,Mouse,PM36438664,56,38,non_neocortex,seed_remap,high,1.0
VPL,ventral posterolateral nucleus,Mouse,PM38993679,56,38,non_neocortex,seed_remap,high,1.0
LPB,lateral parabrachial nucleus,Mouse,PM35838792,55,26,non_neocortex,seed_remap,high,1.0
PPC,posterior parietal cortex,Mouse,PM36117273,55,19,neocortex,flash,high,0.9833
RSC,retrosplenial cortex,Mouse,PM39511453,54,23,neocortex,flash,medium,0.75
VM,ventromedial thalamus,Mouse,PM37645018,54,33,non_neocortex,seed_remap,high,1.0
cervical spinal cord,cervical spinal cord,Mouse,PM35122444,53,29,non_neocortex,seed_remap,high,1.0
EC,entorhinal cortex,Mouse,PM37827206,53,32,non_neocortex,seed_keyword,high,1.0
MGB,medial geniculate body,Mouse,PM33103997,53,23,non_neocortex,seed_remap,high,1.0
AI,anterior insula,Mouse,PM42107475,52,23,neocortex,flash,medium,0.65
RGC,retinal ganglion cell,Mouse,PM40063795,52,29,other,seed_remap,high,1.0
ACA,anterior cingulate area,Mouse,PM39149348,50,25,neocortex,flash,medium,0.65
claustrum,claustrum,Mouse,PM32975316,50,24,non_neocortex,seed_remap,high,1.0
CSF-contacting nucleus,CSF-contacting nucleus,Rat,PM32973466,49,2,non_neocortex,seed_remap,high,1.0
PBN,parabrachial nucleus,Mouse,PM37023756,49,32,non_neocortex,seed_remap,high,1.0
pons,pons,Mouse,PM38514616,49,33,non_neocortex,seed_remap,high,1.0
AC,auditory cortex,Mouse,PM35366148,47,22,neocortex,flash,high,0.98
GPi,globus pallidus internus,Mouse,PM41959286,47,23,non_neocortex,seed_remap,high,1.0
HDB,horizontal diagonal band,Mouse,PM39049824,47,15,non_neocortex,seed_remap,high,1.0
LP,lateral posterior nucleus,Mouse,PM35383929,47,23,non_neocortex,seed_remap,high,1.0
CA2,CA2,Mouse,PM36309963,46,21,non_neocortex,seed_remap,high,1.0
cerebral cortex,cerebral cortex,Human,PM35973564,46,31,other,flash,high,0.8667
LA,lateral amygdala,Mouse,PM39103495,46,22,non_neocortex,seed_remap,high,1.0
VMH,ventromedial hypothalamus,Mouse,PM33263778,46,21,non_neocortex,seed_remap,high,1.0
insula,insula,Mouse,PM34117229,45,19,neocortex,flash,medium,0.7
LEC,lateral entorhinal cortex,Mouse,PM42124717,45,25,non_neocortex,seed_keyword,high,1.0
visual cortex,visual cortex,Mouse,PM38890758,45,26,neocortex,flash,high,0.98
CN,cerebellar nuclei,Mouse,PM37164181,44,16,non_neocortex,seed_remap,high,1.0
