structure_name,fullname,species,paper,n_mentions,n_papers,region_class,suitability,unsuitable_reason,class_corrected,region_class_before,audit_stage,final_certainty,final_confidence
thalamus,thalamus,Human,PM32919055,582,297,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9867
BLA,basolateral amygdala,Mouse,PM40840443,345,157,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
VTA,ventral tegmental area,Mouse,PM38895464,320,144,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
striatum,striatum,Mouse,PM33113247,290,152,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9833
spinal cord,spinal cord,Mouse,PM40108302,264,151,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9733
CA1,CA1,Mouse,PM35843448,176,90,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9733
NAc,nucleus accumbens,Mouse,PM37732251,172,94,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
PVN,paraventricular nucleus,Mouse,PM34823066,170,78,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9033
SC,superior colliculus,Mouse,PM37000205,170,86,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
IC,inferior colliculus,Mouse,PM41275018,162,65,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
NTS,nucleus tractus solitarius,Mouse,PM36309763,157,91,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
LC,locus coeruleus,Mouse,PM33715169,149,72,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
amygdala,amygdala,Mouse,PM39103495,145,76,non_neocortex,suitable,,no,non_neocortex,flash,high,0.96
BNST,bed nucleus of the stria terminalis,Mouse,PM37808816,140,78,non_neocortex,suitable,,no,non_neocortex,flash,high,0.96
CeA,central amygdala,Mouse,PM33421491,134,72,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9833
LH,lateral hypothalamus,Mouse,PM42303307,134,75,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
MD,mediodorsal thalamus,Mouse,PM33103997,133,65,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9867
PAG,periaqueductal gray,Mouse,PM40610407,126,85,non_neocortex,suitable,,no,non_neocortex,flash,high,0.98
PVT,paraventricular thalamus,Mouse,PM34032911,124,67,non_neocortex,suitable,,no,non_neocortex,rule,high,1.0
GPe,globus pallidus externus,Mouse,PM42039543,123,53,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
SNr,substantia nigra pars reticulata,Mouse,PM33823137,123,51,non_neocortex,suitable,,no,non_neocortex,flash,high,0.9767
