structure_name,species,source_atlas,category,expected_homba_id,expected_homba_name,coverage_status,notes
Abducens Motor Nucleus,Macaque,SARM,gray_matter,HOMBA:12417,efferent nuclei of cranial nerves in pons,approximate,auto: RCS top-1 score=0.819
Accumbens,Macaque,SARM,gray_matter,HOMBA:10339,nucleus accumbens,approximate,auto: RCS top-1 score=0.632
Accumbens nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10339,nucleus accumbens,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.849
Amygdalohippocampal area,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10377,amygdalohippocampal area,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Amygdalopiriform transition area,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10382,amygdalocortical transition area (amygdalopiriform transition area),mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Amygdalostriatal Transition,Macaque,SARM,white_matter,HOMBA:10381,amygdalostriatal transition area,mapped,auto: RCS top-1 score=0.951
Amygdalostriatal transition area,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10381,amygdalostriatal transition area,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Ansa Lenticularis,Macaque,SARM,gray_matter,HOMBA:10571,ansa lenticularis,mapped,auto: RCS top-1 score=1.000
Ansiform Lobule Crus1,Macaque,SARM,gray_matter,HOMBA:AA30411,lobule VII (semilunar-gracile lobule),mapped,auto: RCS top-1 score=0.937
Ansiform Lobule Crus2,Macaque,SARM,gray_matter,HOMBA:AA30411,lobule VII (semilunar-gracile lobule),mapped,auto: RCS top-1 score=0.937
Anterior amygdaloid area,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10362,anterior amygdaloid area,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Anterior commissure,Macaque,Hartig2020_SARM | SARM,white_matter,HOMBA:10559,anterior commissure,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Anterior Hypothalamic Area,Macaque,SARM,gray_matter,HOMBA:266441551,anterior hypothalamic area,mapped,auto: RCS top-1 score=1.000
Anterior hypothalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10475,anterior hypothalamic nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Anterior Interposed Cerebellar Nucleus,Macaque,SARM,gray_matter,HOMBA:12471,pontine raphe region,approximate,auto: RCS top-1 score=0.649
Anterior pituitary,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10559,anterior commissure,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.726
Anterior Pulvinar,Macaque,SARM,gray_matter,HOMBA:AA30282,lateroposterior-pulvinar complex,approximate,auto: RCS top-1 score=0.781
Anterior Tegmental Nucleus,Macaque,SARM,gray_matter,HOMBA:AA30442,anterior tegmental nucleus,mapped,auto: RCS top-1 score=1.000
Anterior thalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10392,anterior nuclear complex of thalamus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Anterior Thalamus,Macaque,SARM,gray_matter,HOMBA:AA30484,rostral (anterior) branch of anterior commissure,approximate,auto: RCS top-1 score=0.665
Arcuate nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:12536,arcuate nucleus of medulla oblongata,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.787
Basal Nucleus,Macaque,SARM,gray_matter,HOMBA:10332,basal ganglia (basal nuclei),mapped,auto: RCS top-1 score=1.000
Basal nucleus (of Meynert),Macaque,Hartig2020_SARM,gray_matter,HOMBA:10353,basal nucleus of Meynert,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Basolateral amygdaloid nucleus (dorsal),Macaque,Hartig2020_SARM,gray_matter,HOMBA:11516,magnocellular (dorsal) division of BL,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.786
Basolateral amygdaloid nucleus (intermediate),Macaque,Hartig2020_SARM,gray_matter,HOMBA:11518,intermediate division of BL,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.795
Basolateral amygdaloid nucleus (ventral),Macaque,Hartig2020_SARM,gray_matter,HOMBA:11519,parvicellular (ventral) division of BL,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.785
Basolateral Dorsal Amygdaloid Nucleus,Macaque,SARM,gray_matter,HOMBA:11516,magnocellular (dorsal) division of BL,approximate,auto: RCS top-1 score=0.793
Basolateral Intermediate Amygdaloid Nucleus,Macaque,SARM,gray_matter,HOMBA:10368,basolateral nucleus (basal nucleus) of amygdala,approximate,auto: RCS top-1 score=0.770
Basolateral Ventral Amygdaloid Nucleus,Macaque,SARM,gray_matter,HOMBA:11519,parvicellular (ventral) division of BL,approximate,auto: RCS top-1 score=0.785
Basomedial amygdaloid nucleus,Macaque,Hartig2020_SARM | SARM,gray_matter,HOMBA:10372,corticomedial nuclear group of amygdala,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.781
Bed nucleus of the stria terminalis,Macaque,Hartig2020_SARM | SARM,gray_matter | white_matter,HOMBA:10384,bed nucleus of stria terminalis,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.947
Brachium Superior Colliculus,Macaque,SARM,gray_matter,HOMBA:12328,brachium of superior colliculus,mapped,auto: RCS top-1 score=0.954
Capsule of the Antherior Thalamus,Macaque,SARM,white_matter,HOMBA:10581,internal capsule,unmapped,auto: RCS top-1 score=0.302
Caudate Head,Macaque,SARM,gray_matter,HOMBA:10335,head of caudate nucleus,approximate,auto: RCS top-1 score=0.687
Caudate nucleus,Macaque,Hartig2020_SARM,gray_matter,HOMBA:10334,caudate nucleus (mediodorsal division of the CP),mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
