structure_name,species,source_atlas,category,notes
Claustrum,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Piriform cortex,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Dorsal endopiriform claustrum,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Ventral endopiriform claustrum,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Endopiriform nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Hippocampus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Subicular complex,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Fimbria,Macaque,Hartig2020_SARM,white_matter,migrated from rcs_corpus_source.csv
Fornix,Macaque,Hartig2020_SARM,white_matter,migrated from rcs_corpus_source.csv
Anterior amygdaloid area,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Amygdalohippocampal area,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Amygdalopiriform transition area,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Amygdalostriatal transition area,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Basolateral amygdaloid nucleus (dorsal),Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Basolateral amygdaloid nucleus (intermediate),Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Basolateral amygdaloid nucleus (ventral),Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Basomedial amygdaloid nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Basal nucleus (of Meynert),Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Peri-basal region,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Central amygdaloid nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Extended amygdala,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Posterior interstitial nucleus of the anterior commissure,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Lateral amygdaloid nucleus (dorsal),Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Lateral amygdaloid nucleus (ventral),Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Medial amygdaloid nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Paralaminar amygdaloid nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Intra-amygdaloid division of the bed nucleus of the stria terminalis,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Ventral cortical amygdaloid nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Head of caudate nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Tail of caudate nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Caudate nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Putamen,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Accumbens nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Olfactory tubercle,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
External globus pallidus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Internal globus pallidus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Ventral pallidum,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Bed nucleus of the stria terminalis,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Septum and diagonal band,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Septimbrial nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Preoptic area,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Lamina terminalis and vascular organ,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
Anterior hypothalamic nucleus,Macaque,Hartig2020_SARM,gray_matter,migrated from rcs_corpus_source.csv
