name_core,alias_core,n_papers,n_rows
inferior frontal gyrus,pars triangularis,15,21
inferior frontal gyrus,pars opercularis,14,24
inferior frontal gyrus,ifg,11,21
supplementary motor area,sma,10,14
inferior frontal gyrus,p opercularis,10,18
thalamus,medial dorsal nucleus,9,11
caudate,head,7,8
inferior frontal gyrus,pars orbitalis,7,11
inferior frontal gyrus,p triangularis,7,13
middle frontal gyrus,dlpfc,6,18
middle frontal gyrus,mfg,6,19
anterior cingulate cortex,acc,6,9
caudate,body,5,5
inferior temporal gyrus,itg,5,6
thalamus,pulvinar,5,7
superior temporal gyrus,stg,5,6
superior frontal gyrus,sfg,5,5
ventral premotor cortex,pmv,4,10
inferior frontal gyrus,p orbitalis,4,5
inferior frontal gyrus,orbital part,4,5
putamen,lentiform nucleus,4,13
postcentral gyrus,s1,4,10
medial frontal gyrus,pre sma,4,8
posterior cingulate cortex,pcc,4,4
insula,ins,3,4
insula,anterior,3,5
superior frontal gyrus,medial,3,4
thalamus,ventral lateral nucleus,3,4
fusiform gyrus,ffa,3,3
superior temporal gyrus,anterior,3,6
dorsal premotor cortex,pmd,3,4
superior temporal gyrus,posterior,3,9
cingulate gyrus,posterior,3,3
caudate nucleus,head,3,3
cerebellum,declive,3,8
lateral occipital cortex,superior division,3,5
inferior frontal gyrus,vlpfc,3,11
ifg,pars orbitalis,3,5
inferior frontal gyrus,orb,3,7
middle occipital gyrus,mog,3,7
middle temporal gyrus,mtg,3,3
inferior frontal junction,ifj,3,4
lateral occipital cortex,inferior division,2,2
dorsolateral prefrontal cortex,dlpfc,2,3
secondary somatosensory cortex,sii,2,3
inferior frontal gyrus,orbital,2,3
inferior occipital gyrus,iog,2,2
rolandic operculum,op1,2,2
primary motor cortex,m1,2,5
inferior frontal gyrus,tri,2,2
declive,cerebellum,2,2
putamen,put,2,2
supramarginal gyrus,anterior,2,2
cerebellum,vi,2,2
medial frontal gyrus,medfg,2,2
primary somatosensory cortex,si,2,3
cerebellum,culmen,2,2
superior temporal gyrus,temporal pole,2,2
ifg,p orbitalis,2,2
ifg,p tri,2,4
ifg,p triangularis,2,3
ifg,p opercularis,2,4
ifg,orbitalis,2,2
precentral gyrus,pmd,2,6
precentral gyrus,pmc,2,5
ifg,pars triangularis,2,7
precentral gyrus,pmv,2,5
dorsomedial prefrontal cortex,dmpfc,2,2
inferior parietal lobule,ipl,2,3
insula,posterior,2,3
hippocampus,ca,2,4
stg,posterior,2,2
inferior parietal lobule,hip3,2,3
sma,area 6,2,3
precentral gyrus,area 6,2,3
inferior frontal gyrus,area 44,2,5
pre supplementary motor area,pre sma,2,5
inferior parietal lobe,ipl,2,4
precentral gyrus,m1,2,4
primary visual cortex,v1,2,2
thalamus,md,2,2
orbitofrontal cortex,ofc,2,4
middle cingulate cortex,mcc,2,2
anterior insula,ains,2,3
anterior cingulate gyrus,acg,2,3
parahippocampal gyrus,hippocampus,2,2
,posterior,2,3
middle frontal gyrus,wb,2,2
thalamus,anterior nucleus,2,2
middle temporal gyrus,posterior,2,4
occipital pole,extrastriate cortex,1,5
precentral gyrus,pmd area 44,1,1
middle temporal gyrus,see fig 2a,1,1
occipital lobe,wb,1,1
occipital lobe,roi,1,2
occipital lobe,middle,1,1
occipital lobe,cl,1,1
precentral gyrus,pmd ba 6,1,1
middle temporal gyrus,temporal mid,1,3
precentral gyrus,pmd sma,1,1
occipital cortex,v1,1,2
occipital cortex,primary visual,1,1
precentral gyrus,pmv ba 6,1,1
precentral gyrus,premotor cortex,1,1
precentral gyrus,primary motor cortex,1,1
precentral gyrus,sma,1,2
precentral gyrus,wb,1,1
precentral gyrus,pmd m1,1,1
precentral gyrus,fef,1,1
precentral gyrus,frontal,1,1
middle temporal gyrus,posterior division,1,2
precentral gyrus,frontal lobe,1,1
orbitofrontal gyrus,inferior,1,1
precentral gyrus,il,1,2
primary sensory cortex,s1,1,1
orbitofrontal cortex,il,1,1
occipito temporal junction inferior occipital gyrusr inferior temporal gyrusr middle temporal gyrus,mt v5,1,1
middle temporal gyrus,see,1,1
precentral gyrus,m1 hand area,1,1
precentral gyrus,mi,1,1
ompfc,medial frontal gyrus,1,1
precentral gyrus,mi ba 4,1,1
precentral gyrus,pcg,1,1
occipito temporal junction middle temporal gyrusr inferior temporal gyrus,mt v5,1,1
occipito temporal junction middle occipital gyrusl middle temporal gyrusl inferior occipital gyrusl superior temporal gyrusl inferior parietal lobe,mt v5,1,1
precentral gyrus,pmc m1,1,1
orbitofrontal cortex,fontral inf orb,1,1
o inferior frontal gyrus,orb,1,4
presupplementary motor area,pre sma,1,1
prg,insula,1,1
primary auditory cortex,a1,1,1
msfg,pre sma,1,1
mpfc,see table 2,1,1
middle temporal gyrus,temporal pole,1,5
primary auditory cortex,stg,1,8
precg,area 6,1,1
primary motor cortex,lm1,1,1
primary motor cortex leg area,ba 4a,1,2
mpfc,see,1,1
mpfc,medial frontal gyrus,1,1
mpfc,frontopolar cortex,1,3
mpfc,frontal,1,1
middle temporal gyrus,temporoccipital part,1,2
middle temporal gyrus,wm,1,1
middle temporal gyrus,wb,1,2
primary motor cortex,leg area,1,1
precuneus,il,1,2
occipital cortex,mid,1,1
occipital cortex,lateral superior,1,6
precuneus,inferior,1,1
precuneus,parietal,1,1
occipital cortex,lateral inferior,1,4
precuneus,pcm,1,1
precuneus,pcu,1,1
precuneus,pcu1,1,1
pregenual acc,vmpfc,1,2
occipital cortex,cuneus,1,1
occipital cortex,area 19,1,1
precuneus,prc,1,1
primary sensory cortex,ba 3a,1,1
precuneus,spl 7p,1,1
precuneus,superior,1,1
occipital cortex,area 18,1,1
occipital,precuneus,1,1
precuneus,wb,1,1
precuneus,pcu2,1,1
pmc,ba 44 rolandic operculum,1,1
pmd,caudal ba 6,1,1
pmd,mfg ba 6,1,1
pmd,rostral ba 6,1,1
parahippocampal gyrus,limbic lobe,1,1
pmd ba 6,mfg,1,1
pocg,op 1,1,1
pocg,op 4,1,2
pog,cingulate gyrus,1,1
precentral gyrus,dpm,1,2
post central gyrus,poscg,1,1
post central gyrus,wm,1,1
post cingulate,limbic,1,1
parahippocampal gyrus,amygdala,1,2
post itg,lo,1,1
postcentral,s1,1,1
parahippocampal ctx,phc,1,1
postcentral gyrus,area 2,1,3
postcentral gyrus,area 3b,1,1
parahippocampal,ph,1,1
pog,insula,1,1
parietal operculum,sii,1,2
parietal operculum,sii ba 43,1,3
parieto occipital fissure,cuneus,1,1
parietal operculum,s2,1,2
parietal occipital sulcus,precuneus,1,2
parieto occipital sulcus,v6,1,1
parietal lobule,superior,1,2
pars opercularis,inferior frontal,1,2
pcc,pcc roi,1,1
planum temporale,medial,1,1
pcc,retrosplenial cortex,1,1
parietal,precuneus,1,1
pcc,roi 10,1,1
perigenual anterior cingulate cortex,pgacc,1,1
pfc,ifs,1,2
pins,ext to mins,1,2
pipl,ag,1,1
parahippocampus,decrease,1,1
planum polare,medial,1,1
parahippocampal gyrus,posterior,1,1
parietal cortex,precuneus,1,1
postcgyrs,area 4p,1,1
posterior cingulate,limbic system,1,1
posterior cingulate cortex,area 31,1,2
orbitofrontal gyrus,superior,1,1
posterior fusiform gyrus,pfusg,1,1
posterior insula,pi,1,1
posterior insula,wm,1,1
posterior insular cortex,pic,1,1
posterior middle temporal gyrus,pmtg,1,1
postcentral gyrus,cl,1,2
posterior superior temporal sulcus,psts,1,2
posterior temporal cortex,toj,1,2
pre supplementary motor area,psma,1,1
precentral and postcentral gyrus,entire,1,1
orbitofrontal gyrus,middle,1,1
precentral cortex,mi,1,1
precentral cortex,pmd,1,1
precentral g,m1,1,1
precentral gyrus,cl,1,2
orbitofrontal gyrus,medial,1,1
posterior sts,22,1,4
postcentral gyrus,dorsal,1,1
postcentral gyrus,il,1,2
postcentral gyrus,l40,1,1
postcentral gyrus,m1 s1,1,1
postcentral gyrus,pocg,1,1
postcentral gyrus,precuneus,1,1
paracingulate gyrus,anterior division,1,2
paracingulate gyrus,amcc,1,1
paracentral lobule,sma m1,1,1
postcgyrs,area 3b,1,1
paracentral lobule,sma,1,1
postcentral gyrus,si,1,1
postcentral gyrus,somatosensory cortex ba 2r,1,1
paracentral lobule,sm1,1,4
paracentral lobule,m1,1,1
postcentral gyrus,svc,1,1
postcentral gyrus precentral gyrus,pocg,1,1
postcentral gyrus precentral gyrus,prcg,1,1
postcgyrs,area 2,1,1
pallidus,pal,1,1
postcentral gyrus,primary somatosensory cortex,1,3
supramarginal gyrus anterior division,tpj,1,1
supramarginal gyrus posterior division,tpj,1,1
temporal,cerebellum,1,1
temporal,temporal,1,1
temporal cortex,mid,1,2
temporal cortex,superior,1,2
temporal cortex,superior temporal gyrus,1,1
temporal fusiform cortex,posterior,1,1
temporal fusiform gyrus,posterior division,1,1
temporal gyrus,middle posterior,1,1
temporal gyrus,superior,1,2
secondary visual cortex,v2,1,2
temporal network,language comprehension,1,1
temporal pole,middle,1,2
temporal pole,no label,1,2
temporal pole,superior,1,2
temporo parietal junction,tpj,1,4
temporoparietal junction,ltpj,1,1
temporoparietal junction,tpj,1,2
temporoparietal junction,tpj ipl,1,1
amygdala,applying anatomical mask,1,1
thalamus,anterior thalamic radiation,1,2
thalamus,dm vl p,1,3
temporal lobe,cl,1,1
superior temporal gyrus,temporal lobe,1,1
superior temporal gyrus planum temporale,pt,1,1
superior temporal sulcus,anterior,1,1
superior temporal sulcus,posterior,1,1
superior temporalsulcus,sts,1,1
supperior frontal,medial,1,2
supplemental motor area,pre,1,1
supplementary motor area,il,1,2
supplementary motor area,pre,1,1
supplementary motor area,superior frontal gyrus,1,1
supplementary motor cortex,ba 6l,1,1
supramarginal gyrus,wb,1,1
supra marginal white matter,superior longitudinal fasciculus,1,1
supramarg g,area pft,1,1
supramarginal,decrease,1,1
supramarginal gyrus,op1 ipl,1,1
supramarginal gyrus,pf,1,2
supramarginal gyrus,posterior,1,1
supramarginal gyrus,posterior division,1,2
supramarginal gyrus,s2,1,2
supramarginal gyrus,si ba 2,1,2
supramarginal gyrus,smg,1,1
supramarginal gyrus,somatosensory cortex,1,1
supplementary motor cortex,ba 6r,1,1
amygdala,sf,1,2
v3,associative visual cortex,1,2
v4,anterior,1,1
v4,posterior,1,1
vent apfc,frontal,1,1
ventral acc,wb,1,1
ventral anterior cingulate cortex,vacc,1,2
ventral lateral nucleus,thalamus,1,1
ventral occipito temporal cortex,combined,1,1
ventral posterior medial nucleus,thalamus,1,2
ventral premotor cortex,pmd,1,1
thalamus,dorsomedial nc,1,1
ventral premotor cortex ba 6,pm,1,2
ventral striatum,caudate head,1,1
ventral striatum,n accumbens,1,1
ventral tegmental area,vta,1,1
ventral visual area 4,v4v,1,1
ventro lateral prefrontal cortex,vlpfc,1,1
ventro medial pfc,vmpfc,1,1
ventrotemporal cortex andcerebellum,vt cereb,1,2
vlpfc,frontal,1,1
vlpfc,ifg,1,1
vlpfc,orbitofrontal cortex,1,1
ventral premotor cortex,vpmc,1,1
thalamus,lateral posterior nucleus,1,1
thalamus,lgn,1,2
thalamus,mammilary body,1,2
thalamus,mdnc,1,1
