lit_name,k_papers,n_candidates,n_support,eff_n,n80,lit_surface_top,lit_hemi_seen,r1_label_L,r1_label_R,r1_area_abbr,r1_L3,r1_p,r1_n_papers,r2_label_L,r2_label_R,r2_area_abbr,r2_L3,r2_p,r2_n_papers,r3_label_L,r3_label_R,r3_area_abbr,r3_L3,r3_p,r3_n_papers,r4_label_L,r4_label_R,r4_area_abbr,r4_L3,r4_p,r4_n_papers,r5_label_L,r5_label_R,r5_area_abbr,r5_L3,r5_p,r5_n_papers,p_covered_top5
middle frontal gyrus,1156,51,90,18.44,12,Middle frontal gyrus,BLRU,21,22,A9/46v,MFG_L(R)_7_4,0.1395,167,23,24,A8vl,MFG_L(R)_7_5,0.1311,157,25,26,A6vl,MFG_L(R)_7_6,0.1112,133,15,16,A9/46d,MFG_L(R)_7_1,0.0978,117,17,18,IFJ,MFG_L(R)_7_2,0.0745,89,0.5541
inferior frontal gyrus,1105,47,84,18.04,12,Inferior frontal gyrus,BLRU,63,64,A6cvl,PrG_L(R)_6_6,0.1155,132,37,38,A44op,IFG_L(R)_6_5,0.1033,118,33,34,A45c,IFG_L(R)_6_3,0.0929,106,51,52,A12/47l,OrG_L(R)_6_6,0.0841,96,35,36,A45r,IFG_L(R)_6_4,0.0815,93,0.4773
middle temporal gyrus,910,43,88,15.94,11,Middle temporal gyrus,LRU,87,88,aSTS,MTG_L(R)_4_4,0.1714,163,85,86,A37dl,MTG_L(R)_4_3,0.119,113,121,122,rpSTS,pSTS_L(R)_2_1,0.0886,84,143,144,A39rv,IPL_L(R)_6_5,0.0802,76,81,82,A21c,MTG_L(R)_4_1,0.0697,66,0.5289
insular lobe,855,39,80,14.04,10,Insula,LRU,167,168,dIa,INS_L(R)_6_3,0.1737,155,173,174,dId,INS_L(R)_6_6,0.1436,128,37,38,A44op,IFG_L(R)_6_5,0.1335,119,171,172,dIg,INS_L(R)_6_5,0.0978,87,163,164,G,INS_L(R)_6_1,0.0665,59,0.6151
precuneus,849,39,80,14.74,10,Precuneus,BLRU,153,154,A31,PCun_L(R)_4_4,0.1783,158,151,152,dmPOS,PCun_L(R)_4_3,0.1434,127,147,148,A7m,PCun_L(R)_4_1,0.1153,102,149,150,A5m,PCun_L(R)_4_2,0.0962,85,127,128,A7c,SPL_L(R)_5_2,0.0748,66,0.608
thalamus,792,22,48,8.94,7,Thalamus,BLRU,245,246,lPFtha,Tha_L(R)_8_8,0.2506,204,231,232,mPFtha,Tha_L(R)_8_1,0.1771,144,239,240,PPtha,Tha_L(R)_8_5,0.1085,88,237,238,rTtha,Tha_L(R)_8_4,0.1023,83,233,234,mPMtha,Tha_L(R)_8_2,0.0754,61,0.7139
superior frontal gyrus,753,50,87,19.1,13,Superior frontal gyrus,BLRU,3,4,A8dl,SFG_L(R)_7_2,0.1438,114,5,6,A9l,SFG_L(R)_7_3,0.1174,93,7,8,A6dl,SFG_L(R)_7_4,0.1023,81,1,2,A8m,SFG_L(R)_7_1,0.0835,66,19,20,A46,MFG_L(R)_7_3,0.0822,65,0.5292
superior temporal gyrus,746,45,91,17.65,12,Superior temporal gyrus,BLRU,73,74,TE1.0 and TE1.2,STG_L(R)_6_3,0.156,123,71,72,A41/42,STG_L(R)_6_2,0.1093,86,75,76,A22c,STG_L(R)_6_4,0.0903,71,143,144,A39rv,IPL_L(R)_6_5,0.0701,55,79,80,A22r,STG_L(R)_6_6,0.0689,54,0.4946
precentral gyrus,739,51,103,16.03,12,Precentral gyrus,BLRU,63,64,A6cvl,PrG_L(R)_6_6,0.1651,130,55,56,A6cdl,PrG_L(R)_6_2,0.1448,114,53,54,A4hf,PrG_L(R)_6_1,0.1233,97,57,58,A4ul,PrG_L(R)_6_3,0.1006,79,155,156,A1/2/3ulhf,PoG_L(R)_4_1,0.0791,62,0.6129
inferior parietal lobule,540,26,71,10.0,7,Inferior parietal lobule,LRU,139,140,A40rd,IPL_L(R)_6_3,0.2129,122,141,142,A40c,IPL_L(R)_6_4,0.1746,100,137,138,A39rd,IPL_L(R)_6_2,0.1416,81,129,130,A5l,SPL_L(R)_5_3,0.0877,50,145,146,A40rv,IPL_L(R)_6_6,0.0843,48,0.7011
putamen,490,24,60,7.16,5,Putamen,LRU,229,230,dlPu,BG_L(R)_6_6,0.274,142,225,226,vmPu,BG_L(R)_6_4,0.2279,118,221,222,GP,BG_L(R)_6_2,0.1837,95,219,220,vCa,BG_L(R)_6_1,0.0894,46,223,224,NAC,BG_L(R)_6_3,0.0798,41,0.8548
postcentral gyrus,455,45,94,16.62,13,Postcentral gyrus,LRU,159,160,A2,PoG_L(R)_4_3,0.1723,86,155,156,A1/2/3ulhf,PoG_L(R)_4_1,0.1265,63,139,140,A40rd,IPL_L(R)_6_3,0.0986,49,145,146,A40rv,IPL_L(R)_6_6,0.0667,33,161,162,A1/2/3tru,PoG_L(R)_4_4,0.0627,31,0.5268
fusiform gyrus,443,36,66,11.17,9,Fusiform gyrus,LRU,107,108,A37lv,FuG_L(R)_3_3,0.2889,137,105,106,A37mv,FuG_L(R)_3_2,0.209,99,103,104,A20rv,FuG_L(R)_3_1,0.0977,46,205,206,iOccG,LOcC_L(R)_4_4,0.0515,24,195,196,rLinG,MVOcC_L(R)_5_4,0.0452,21,0.6923
middle occipital gyrus,428,27,67,9.87,7,Middle occipital gyrus,LRU,199,200,mOccG,LOcC_L(R)_4_1,0.2329,107,201,202,V5/MT+,LOcC_L(R)_4_2,0.1766,81,135,136,A39c,IPL_L(R)_6_1,0.1419,65,203,204,OPC,LOcC_L(R)_4_3,0.1073,49,205,206,iOccG,LOcC_L(R)_4_4,0.0661,30,0.7248
lingual gyrus,406,25,72,9.83,8,Lingual gyrus,BLRU,195,196,rLinG,MVOcC_L(R)_5_4,0.1867,82,189,190,cLinG,MVOcC_L(R)_5_1,0.1799,79,191,192,rCunG,MVOcC_L(R)_5_2,0.1256,55,197,198,vmPOS,MVOcC_L(R)_5_5,0.1188,52,205,206,iOccG,LOcC_L(R)_4_4,0.0984,43,0.7094
