lit_name,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_L2_abbr,bna_label_id_L,bna_label_id_R,n_papers,n_coords,p,p_raw,p_unobserved,k_total,n_support
a cerebellum anterior lobe,1,FuG_L(R)_3_3,A37lv,lateroventral area 37,FuG,107,108,1,1,0.6,1.0,0.2,1,3
a47,1,STG_L(R)_6_5,A38l,lateral area 38,STG,77,78,1,1,0.375,1.0,0.125,1,6
acc 24,1,CG_L(R)_7_2,A24rv,rostroventral area 24,CG,177,178,1,1,0.2308,0.3333,0.07692,3,7
acc 24,2,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,1,0.2308,0.3333,0.07692,3,7
acc 24,3,CG_L(R)_7_5,A24cd,caudodorsal area 24,CG,183,184,1,1,0.2308,0.3333,0.07692,3,7
acc 32,1,BG_L(R)_6_1,vCa,ventral caudate,BG,219,220,1,1,0.1765,0.5,0.05882,2,13
acc 32,2,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.1765,0.5,0.05882,2,13
acc and medial frontal gyrus,1,SFG_L(R)_7_7,A10m,medial area 10,SFG,13,14,1,1,0.3333,1.0,0.11111,1,7
acc ba 32,1,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,2,2,0.25,0.6667,0.05,3,14
acc ba 32,2,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,2,0.15,0.3333,0.05,3,14
acc d,1,SFG_L(R)_7_1,A8m,medial area 8,SFG,1,2,1,1,0.3333,1.0,0.11111,1,7
acc roi,1,CG_L(R)_7_2,A24rv,rostroventral area 24,CG,177,178,1,1,0.3333,1.0,0.11111,1,7
accb,1,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,1,0.3333,1.0,0.11111,1,7
acce,1,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.3333,1.0,0.11111,1,7
accg,1,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.3333,1.0,0.11111,1,7
acch,1,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,2,0.1667,0.5,0.05556,2,14
acch,2,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.1667,0.5,0.05556,2,14
accl,1,CG_L(R)_7_3,A32p,pregenual area 32,CG,179,180,1,1,0.3333,1.0,0.11111,1,7
accm,1,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.3333,1.0,0.11111,1,7
acco,1,SFG_L(R)_7_6,A9m,medial area 9,SFG,11,12,1,1,0.3333,1.0,0.11111,1,7
accs,1,CG_L(R)_7_5,A24cd,caudodorsal area 24,CG,183,184,1,1,0.3333,1.0,0.11111,1,7
accumb ncl,1,BG_L(R)_6_3,NAC,nucleus accumbens,BG,223,224,1,1,0.375,1.0,0.125,1,6
acg,1,CG_L(R)_7_5,A24cd,caudodorsal area 24,CG,183,184,1,1,0.0882,0.25,0.02941,4,26
acg,2,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,1,1,0.0882,0.25,0.02941,4,26
acg,3,OrG_L(R)_6_1,A14m,medial area 14,OrG,41,42,1,1,0.0882,0.25,0.02941,4,26
acg,4,SFG_L(R)_7_1,A8m,medial area 8,SFG,1,2,1,1,0.0882,0.25,0.02941,4,26
acs,1,CG_L(R)_7_2,A24rv,rostroventral area 24,CG,177,178,1,1,0.3333,1.0,0.11111,1,7
adacc,1,CG_L(R)_7_7,A32sg,subgenual area 32,CG,187,188,1,1,0.3333,1.0,0.11111,1,7
ag ba 39,1,IPL_L(R)_6_5,A39rv,rostroventral area 39(PGa),IPL,143,144,2,3,0.5,1.0,0.1,2,6
ahc,1,PhG_L(R)_6_1,A35/36r,rostral area 35/36,PhG,109,110,1,1,0.375,1.0,0.125,1,6
aib,1,INS_L(R)_6_6,dId,dorsal dysgranular insula,INS,173,174,1,1,0.375,1.0,0.125,1,6
aic,1,INS_L(R)_6_3,dIa,dorsal agranular insula,INS,167,168,2,2,0.1667,0.3333,0.03333,6,18
aic,2,IFG_L(R)_6_2,IFS,inferior frontal sulcus,IFG,31,32,1,1,0.1,0.1667,0.03333,6,18
