lit_name,lit_surface_top,lit_hemi_seen,k_papers,eff_n,n80,n_candidates,p_covered_top5,l2_top_abbr,l2_top_name,l2_top_lobe,l2_top_p_raw,r1_area_abbr,r1_L3,r1_label_L,r1_label_R,r1_p,hemi_U_p_coord_L,hemi_U_k_papers,hemi_U_k_coords,hemi_U_agreement
middle frontal gyrus,Middle frontal gyrus,BLRU,1156,18.44,12,51,0.5541,MFG,Middle Frontal Gyrus,Frontal Lobe,0.5641,A9/46v,MFG_L(R)_7_4,21,22,0.1395,0.482,346,832,
inferior frontal gyrus,Inferior frontal gyrus,BLRU,1105,18.04,12,47,0.4773,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.4462,A6cvl,PrG_L(R)_6_6,63,64,0.1155,0.5534,342,768,
middle temporal gyrus,Middle temporal gyrus,LRU,910,15.94,11,43,0.5289,MTG,Middle Temporal Gyrus,Temporal Lobe,0.3939,aSTS,MTG_L(R)_4_4,87,88,0.1714,0.5962,288,624,
insular lobe,Insula,LRU,855,14.04,10,39,0.6151,INS,Insular Gyrus,Insular Lobe,0.5366,dIa,INS_L(R)_6_3,167,168,0.1737,0.5133,300,600,
precuneus,Precuneus,BLRU,849,14.74,10,39,0.608,Pcun,Precuneus,Parietal Lobe,0.5237,A31,PCun_L(R)_4_4,153,154,0.1783,0.546,342,652,
thalamus,Thalamus,BLRU,792,8.94,7,22,0.7139,Tha,Thalamus,Subcortical Nuclei,0.9116,lPFtha,Tha_L(R)_8_8,245,246,0.2506,0.5213,318,564,
superior frontal gyrus,Superior frontal gyrus,BLRU,753,19.1,13,50,0.5292,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5591,A8dl,SFG_L(R)_7_2,3,4,0.1438,0.531,276,516,
superior temporal gyrus,Superior temporal gyrus,BLRU,746,17.65,12,45,0.4946,STG,Superior Temporal Gyrus,Temporal Lobe,0.4434,TE1.0 and TE1.2,STG_L(R)_6_3,73,74,0.156,0.5144,249,554,
precentral gyrus,Precentral gyrus,BLRU,739,16.03,12,51,0.6129,PrG,Precentral Gyrus,Frontal Lobe,0.5826,A6cvl,PrG_L(R)_6_6,63,64,0.1651,0.5677,282,569,
inferior parietal lobule,Inferior parietal lobule,LRU,540,10.0,7,26,0.7011,IPL,Inferior Parietal Lobule,Parietal Lobe,0.6667,A40rd,IPL_L(R)_6_3,139,140,0.2129,0.5848,203,448,
putamen,Putamen,LRU,490,7.16,5,24,0.8548,BG,Basal Ganglia,Subcortical Nuclei,0.885,dlPu,BG_L(R)_6_6,229,230,0.274,0.5329,192,334,
postcentral gyrus,Postcentral gyrus,LRU,455,16.62,13,45,0.5268,PoG,Postcentral Gyrus,Parietal Lobe,0.4228,A2,PoG_L(R)_4_3,159,160,0.1723,0.5881,175,352,
fusiform gyrus,Fusiform gyrus,LRU,443,11.17,9,36,0.6923,FuG,Fusiform Gyrus,Temporal Lobe,0.5871,A37lv,FuG_L(R)_3_3,107,108,0.2889,0.5014,171,349,
middle occipital gyrus,Middle occipital gyrus,LRU,428,9.87,7,27,0.7248,LOcC,lateral Occipital Cortex,Occipital Lobe,0.6414,mOccG,LOcC_L(R)_4_1,199,200,0.2329,0.6141,156,311,
lingual gyrus,Lingual gyrus,BLRU,406,9.83,8,25,0.7094,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.6756,rLinG,MVOcC_L(R)_5_4,195,196,0.1867,0.5216,158,278,
supplementary motor area,SMA,BLRU,390,8.97,7,33,0.7622,SFG,Superior Frontal Gyrus,Frontal Lobe,0.7039,A8m,SFG_L(R)_7_1,1,2,0.3037,0.5231,189,325,
cuneus,Cuneus,BLRU,377,8.47,6,19,0.7736,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.5449,rCunG,MVOcC_L(R)_5_2,191,192,0.2338,0.5035,164,284,
superior parietal lobule,Superior parietal lobule,LRU,371,13.85,12,41,0.5852,SPL,Superior Parietal Lobule,Parietal Lobe,0.5767,A7ip,SPL_L(R)_5_5,133,134,0.199,0.5802,139,243,
inferior temporal gyrus,Inferior temporal gyrus,BLRU,369,16.2,13,34,0.5185,ITG,Inferior Temporal Gyrus,Temporal Lobe,0.4835,A37vl,ITG_L(R)_7_5,97,98,0.1441,0.5491,137,224,
medial frontal gyrus,Medial frontal gyrus,BLRU,356,14.83,11,42,0.6593,SFG,Superior Frontal Gyrus,Frontal Lobe,0.6164,A10m,SFG_L(R)_7_7,13,14,0.2069,0.5374,139,281,
hippocampus,Hippocampus,LRU,330,8.53,9,29,0.7073,Hipp,Hippocampus,Subcortical Nuclei,0.6246,rHipp,Hipp_L(R)_2_1,215,216,0.2996,0.5671,142,231,
supramarginal gyrus,Supramarginal gyrus,LRU,324,8.34,6,31,0.7798,IPL,Inferior Parietal Lobule,Parietal Lobe,0.7993,A40rv,IPL_L(R)_6_6,145,146,0.2507,0.5294,140,255,
angular gyrus,Angular gyrus,LRU,306,7.41,7,23,0.7665,IPL,Inferior Parietal Lobule,Parietal Lobe,0.7668,A39rv,IPL_L(R)_6_5,143,144,0.3401,0.4911,136,224,
caudate,Caudate,BLRU,301,4.57,3,19,0.8581,BG,Basal Ganglia,Subcortical Nuclei,0.88,dCa,BG_L(R)_6_5,227,228,0.5249,0.473,139,241,
anterior cingulate cortex,ACC,BLRU,286,9.34,8,23,0.6861,CG,Cingulate Gyrus,Limbic Lobe,0.6111,A32p,CG_L(R)_7_3,179,180,0.2287,0.498,156,247,
amygdala,Amygdala,LRU,284,8.93,8,27,0.7055,Amyg,Amygdala,Subcortical Nuclei,0.4829,mAmyg,Amyg_L(R)_2_1,211,212,0.2434,0.5545,127,202,
parahippocampal gyrus,Parahippocampal gyrus,LRU,276,17.43,18,37,0.5,Hipp,Hippocampus,Subcortical Nuclei,0.3176,rHipp,Hipp_L(R)_2_1,215,216,0.1603,0.517,125,176,
dorsolateral prefrontal cortex,DLPFC,LRU,245,14.7,13,31,0.548,MFG,Middle Frontal Gyrus,Frontal Lobe,0.5722,A8vl,MFG_L(R)_7_5,23,24,0.1465,0.4568,87,162,
cingulate gyrus,Cingulate gyrus,BLRU,232,13.6,11,26,0.5355,CG,Cingulate Gyrus,Limbic Lobe,0.5596,A24cd,CG_L(R)_7_5,183,184,0.144,0.5119,98,168,
inferior occipital gyrus,Inferior occipital gyrus,LRU,222,6.51,5,14,0.8161,LOcC,lateral Occipital Cortex,Occipital Lobe,0.7371,iOccG,LOcC_L(R)_4_4,205,206,0.3285,0.5562,91,169,
cerebellum,Cerebellum,BLRU,199,17.37,19,32,0.3996,MVOcC,MedioVentral Occipital Cortex,Occipital Lobe,0.3102,A37mv,FuG_L(R)_3_2,105,106,0.1067,0.5357,90,140,
posterior cingulate cortex,PCC,BLRU,194,9.5,8,24,0.715,CG,Cingulate Gyrus,Limbic Lobe,0.5363,A23d,CG_L(R)_7_1,175,176,0.2644,0.6846,114,149,
anterior cingulate,Anterior cingulate,BLRU,175,9.14,9,19,0.6742,CG,Cingulate Gyrus,Limbic Lobe,0.6774,A32sg,CG_L(R)_7_7,187,188,0.2399,0.5547,88,137,
temporal pole,Temporal pole,LRU,174,12.57,16,28,0.5614,STG,Superior Temporal Gyrus,Temporal Lobe,0.4423,A38l,STG_L(R)_6_5,77,78,0.2,0.5455,70,110,
anterior insula,Anterior insula,BLRU,168,8.58,10,20,0.6927,INS,Insular Gyrus,Insular Lobe,0.474,dIa,INS_L(R)_6_3,167,168,0.2393,0.5379,72,132,
intraparietal sulcus,Intraparietal sulcus,BLRU,138,10.41,10,19,0.6075,IPL,Inferior Parietal Lobule,Parietal Lobe,0.431,A39rd,IPL_L(R)_6_2,137,138,0.215,0.5577,54,104,
medial prefrontal cortex,mPFC,BLRU,127,7.75,8,18,0.7209,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5446,A10m,SFG_L(R)_7_7,13,14,0.2957,0.4692,72,130,
posterior cingulate,Posterior cingulate,BLRU,123,8.32,11,18,0.6699,CG,Cingulate Gyrus,Limbic Lobe,0.4522,A23d,CG_L(R)_7_1,175,176,0.1815,0.51,73,100,
frontal pole,Frontal pole,LRU,120,9.65,12,19,0.6047,MFG,Middle Frontal Gyrus,Frontal Lobe,0.5253,A46,MFG_L(R)_7_3,19,20,0.1926,0.41,53,100,
