lit_name,rank,bna_l2_abbr,bna_l2_name,bna_lobe,p_raw,p,n_papers,n_coords,k_papers,eff_n,n80,n_observed,top1_p
a cerebellum anterior lobe,1,FuG,Fusiform Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
a47,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acc 24,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1786,2.0,3,2.0,21.0,19,1,0.1787
acc 32,1,BG,Basal Ganglia,Subcortical Nuclei,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
acc 32,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
acc and medial frontal gyrus,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acc ba 32,1,SFG,Superior Frontal Gyrus,Frontal Lobe,0.6667,0.1667,2.0,2,3.0,20.55,18,2,0.1668
acc ba 32,2,CG,Cingulate Gyrus,Limbic Lobe,0.3333,0.1,1.0,2,3.0,20.55,18,2,0.1668
acc d,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acc roi,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
accb,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acce,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
accg,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acch,1,CG,Cingulate Gyrus,Limbic Lobe,0.5,0.1071,1.0,2,2.0,22.13,19,2,0.1071
acch,2,SFG,Superior Frontal Gyrus,Frontal Lobe,0.5,0.1071,1.0,1,2.0,22.13,19,2,0.1071
accl,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
accm,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acco,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
accs,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
accumb ncl,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
acg,1,CG,Cingulate Gyrus,Limbic Lobe,0.25,0.0938,1.0,1,4.0,21.18,18,4,0.0939
acg,2,IPL,Inferior Parietal Lobule,Parietal Lobe,0.25,0.0938,1.0,1,4.0,21.18,18,4,0.0939
acg,3,OrG,Orbital Gyrus,Frontal Lobe,0.25,0.0938,1.0,1,4.0,21.18,18,4,0.0939
acg,4,SFG,Superior Frontal Gyrus,Frontal Lobe,0.25,0.0938,1.0,1,4.0,21.18,18,4,0.0939
acs,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
adacc,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ag ba 39,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1786,2.0,3,2.0,21.0,19,1,0.1787
ahc,1,PhG,Parahippocampal Gyrus,Temporal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
aib,1,INS,Insular Gyrus,Insular Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
aic,1,INS,Insular Gyrus,Insular Lobe,0.5,0.1944,3.0,3,6.0,18.0,17,3,0.1943
aic,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.3333,0.1389,2.0,2,6.0,18.0,17,3,0.1943
aic,3,OrG,Orbital Gyrus,Frontal Lobe,0.1667,0.0833,1.0,1,6.0,18.0,17,3,0.1943
aifg,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
aifs,1,IFG,Inferior Frontal Gyrus,Frontal Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ains,1,INS,Insular Gyrus,Insular Lobe,0.625,0.275,5.0,8,8.0,14.72,16,2,0.275
ains,2,IFG,Inferior Frontal Gyrus,Frontal Lobe,0.375,0.175,3.0,6,8.0,14.72,16,2,0.275
ains d,1,INS,Insular Gyrus,Insular Lobe,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
ains v,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,0.1154,1.0,1,1.0,22.91,19,1,0.1153
aip,1,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,0.1154,1.0,2,1.0,22.91,19,1,0.1153
