lit_name,lit_hemisphere,k_papers,k_coords,p_coord_L,hemi_agreement
middle frontal gyrus,U,346,832,0.482,
precuneus,U,342,652,0.546,
inferior frontal gyrus,U,342,768,0.5534,
thalamus,U,318,564,0.5213,
insular lobe,U,300,600,0.5133,
middle temporal gyrus,U,288,624,0.5962,
precentral gyrus,U,282,569,0.5677,
superior frontal gyrus,U,276,516,0.531,
superior temporal gyrus,U,249,554,0.5144,
inferior parietal lobule,U,203,448,0.5848,
middle frontal gyrus,R,197,326,0.0153,0.9847
putamen,U,192,334,0.5329,
middle frontal gyrus,L,190,338,0.9734,0.9734
supplementary motor area,U,189,325,0.5231,
inferior frontal gyrus,L,177,311,0.9614,0.9614
insular lobe,R,177,261,0.0383,0.9617
postcentral gyrus,U,175,352,0.5881,
inferior frontal gyrus,R,174,281,0.0249,0.9751
fusiform gyrus,U,171,349,0.5014,
cuneus,U,164,284,0.5035,
lingual gyrus,U,158,278,0.5216,
middle occipital gyrus,U,156,311,0.6141,
anterior cingulate cortex,U,156,247,0.498,
insular lobe,L,154,233,0.9614,0.9614
middle temporal gyrus,R,153,277,0.0289,0.9711
precuneus,R,152,215,0.0047,0.9953
middle temporal gyrus,L,152,279,0.9749,0.9749
thalamus,L,149,218,0.9862,0.9862
thalamus,R,142,202,0.005,0.995
hippocampus,U,142,231,0.5671,
supramarginal gyrus,U,140,255,0.5294,
caudate,U,139,241,0.473,
superior parietal lobule,U,139,243,0.5802,
medial frontal gyrus,U,139,281,0.5374,
precentral gyrus,L,137,216,0.9722,0.9722
inferior temporal gyrus,U,137,224,0.5491,
angular gyrus,U,136,224,0.4911,
superior frontal gyrus,L,132,216,0.9676,0.9676
precuneus,L,132,208,0.9712,0.9712
superior temporal gyrus,R,127,202,0.0396,0.9604
amygdala,U,127,202,0.5545,
superior frontal gyrus,R,127,186,0.0323,0.9677
parahippocampal gyrus,U,125,176,0.517,
superior temporal gyrus,L,124,190,0.9684,0.9684
putamen,L,115,153,0.9804,0.9804
posterior cingulate cortex,U,114,149,0.6846,
precentral gyrus,R,111,158,0.038,0.962
putamen,R,100,132,0.0152,0.9848
inferior parietal lobule,L,99,168,0.9821,0.9821
cingulate gyrus,U,98,168,0.5119,
fusiform gyrus,L,93,160,0.9938,0.9938
lingual gyrus,L,93,130,0.9846,0.9846
middle occipital gyrus,L,92,133,0.985,0.985
inferior occipital gyrus,U,91,169,0.5562,
cerebellum,U,90,140,0.5357,
inferior parietal lobule,R,89,146,0.0,1.0
anterior cingulate,U,88,137,0.5547,
dorsolateral prefrontal cortex,U,87,162,0.4568,
fusiform gyrus,R,87,123,0.0163,0.9837
superior parietal lobule,L,80,136,0.8897,0.8897
middle occipital gyrus,R,79,116,0.0,1.0
inferior temporal gyrus,L,77,91,0.978,0.978
inferior temporal gyrus,R,75,99,0.0101,0.9899
cuneus,R,74,99,0.0101,0.9899
postcentral gyrus,R,74,100,0.01,0.99
supramarginal gyrus,L,73,91,0.978,0.978
lingual gyrus,R,73,99,0.0101,0.9899
hippocampus,R,73,95,0.0105,0.9895
posterior cingulate,U,73,100,0.51,
medial prefrontal cortex,U,72,130,0.4692,
supplementary motor area,L,72,110,0.9545,0.9545
postcentral gyrus,L,72,115,0.9217,0.9217
anterior insula,U,72,132,0.5379,
caudate,R,70,84,0.0357,0.9643
