lit_name,lit_surface_top,lit_n_surface,k_papers,n_observed,eff_n,n80,top1_p,rank,bna_L2_abbr,bna_L2_name,bna_lobe,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved,lit_surface_forms
a cerebellum anterior lobe,A R Cerebellum Anterior Lobe,1,1.0,1,22.91,19,0.1153,1,FuG,Fusiform Gyrus,Temporal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,A R Cerebellum Anterior Lobe
a47,B A47,1,1.0,1,22.91,19,0.1153,1,STG,Superior Temporal Gyrus,Temporal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,B A47
acc 24,ACC (24),2,2.0,1,21.0,19,0.1787,1,CG,Cingulate Gyrus,Limbic Lobe,2.0,2.0,3,0.1786,1.0,0.03571,ACC (24) | ACC(24)
acc 32,ACC (32),2,2.0,2,22.13,19,0.1071,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,1.0,1,0.1071,0.5,0.03571,ACC (32) | Left ACC (32)
acc 32,ACC (32),2,2.0,2,22.13,19,0.1071,2,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,ACC (32) | Left ACC (32)
acc and medial frontal gyrus,ACC and medial frontal gyrus,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACC and medial frontal gyrus
acc ba 32,L. ACC BA32,3,3.0,2,20.55,18,0.1668,1,SFG,Superior Frontal Gyrus,Frontal Lobe,2.0,2.0,2,0.1667,0.6667,0.03333,L. ACC BA32 | R. ACC (BA 32) | R. ACC BA32
acc ba 32,L. ACC BA32,3,3.0,2,20.55,18,0.1668,2,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,2,0.1,0.3333,0.03333,L. ACC BA32 | R. ACC (BA 32) | R. ACC BA32
acc d,ACC D,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACC D
acc roi,ACC ROI,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACC ROI
accb,ACCb,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCb
acce,ACCE,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCE
accg,ACCG,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCG
acch,ACCH,1,2.0,2,22.13,19,0.1071,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,2,0.1071,0.5,0.03571,ACCH
acch,ACCH,1,2.0,2,22.13,19,0.1071,2,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1071,0.5,0.03571,ACCH
accl,ACCL,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCL
accm,ACCM,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCM
acco,ACCO,1,1.0,1,22.91,19,0.1153,1,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCO
accs,ACCs,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACCs
accumb ncl,accumb.ncl.,1,1.0,1,22.91,19,0.1153,1,BG,Basal Ganglia,Subcortical Nuclei,1.0,1.0,1,0.1154,1.0,0.03846,accumb.ncl.
acg,ACG,3,4.0,4,21.18,18,0.0939,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.0938,0.25,0.03125,ACG | R.ACG | adjacent to right ACG
acg,ACG,3,4.0,4,21.18,18,0.0939,2,IPL,Inferior Parietal Lobule,Parietal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,ACG | R.ACG | adjacent to right ACG
acg,ACG,3,4.0,4,21.18,18,0.0939,3,OrG,Orbital Gyrus,Frontal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,ACG | R.ACG | adjacent to right ACG
acg,ACG,3,4.0,4,21.18,18,0.0939,4,SFG,Superior Frontal Gyrus,Frontal Lobe,1.0,1.0,1,0.0938,0.25,0.03125,ACG | R.ACG | adjacent to right ACG
acs,ACS,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,ACS
adacc,adACC,1,1.0,1,22.91,19,0.1153,1,CG,Cingulate Gyrus,Limbic Lobe,1.0,1.0,1,0.1154,1.0,0.03846,adACC
ag ba 39,AG (BA 39),2,2.0,1,21.0,19,0.1787,1,IPL,Inferior Parietal Lobule,Parietal Lobe,2.0,2.0,3,0.1786,1.0,0.03571,AG (BA 39) | R AG (BA 39)
