lit_name,lit_surface_top,lit_n_surface,bna_L2_abbr,bna_L2_name,k_papers,n_observed,n_support,eff_n,n80,top1_p,rank,bna_L3_code,bna_area_abbr,bna_area_name,bna_label_id_L,bna_label_id_R,n_papers,n_papers_raw,n_coords,p,p_raw,p_unobserved
a cerebellum anterior lobe,A R Cerebellum Anterior Lobe,1,FuG,Fusiform Gyrus,1.0,1,3,2.59,2,0.6,1,FuG_L(R)_3_3,A37lv,lateroventral area 37,107,108,1.0,1.0,1,0.6,1.0,0.2
a47,B A47,1,STG,Superior Temporal Gyrus,1.0,1,6,5.3,5,0.375,1,STG_L(R)_6_5,A38l,lateral area 38,77,78,1.0,1.0,1,0.375,1.0,0.125
acc 24,ACC (24),2,CG,Cingulate Gyrus,3.0,3,7,6.08,5,0.2308,1,CG_L(R)_7_2,A24rv,rostroventral area 24,177,178,1.0,1.0,1,0.2308,0.3333,0.07692
acc 24,ACC (24),2,CG,Cingulate Gyrus,3.0,3,7,6.08,5,0.2308,2,CG_L(R)_7_3,A32p,pregenual area 32,179,180,1.0,1.0,1,0.2308,0.3333,0.07692
acc 24,ACC (24),2,CG,Cingulate Gyrus,3.0,3,7,6.08,5,0.2308,3,CG_L(R)_7_5,A24cd,caudodorsal area 24,183,184,1.0,1.0,1,0.2308,0.3333,0.07692
acc 32,ACC (32),2,BG,Basal Ganglia,1.0,1,6,5.3,5,0.375,1,BG_L(R)_6_1,vCa,ventral caudate,219,220,1.0,1.0,1,0.375,1.0,0.125
acc 32,ACC (32),2,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,1.0,1.0,1,0.3333,1.0,0.11111
acc and medial frontal gyrus,ACC and medial frontal gyrus,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_7,A10m,medial area 10,13,14,1.0,1.0,1,0.3333,1.0,0.11111
acc ba 32,L. ACC BA32,3,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_3,A32p,pregenual area 32,179,180,1.0,1.0,2,0.3333,1.0,0.11111
acc ba 32,L. ACC BA32,3,SFG,Superior Frontal Gyrus,2.0,1,7,5.29,5,0.4545,1,SFG_L(R)_7_6,A9m,medial area 9,11,12,2.0,2.0,2,0.4545,1.0,0.09091
acc d,ACC D,1,SFG,Superior Frontal Gyrus,1.0,1,7,6.24,6,0.3333,1,SFG_L(R)_7_1,A8m,medial area 8,1,2,1.0,1.0,1,0.3333,1.0,0.11111
acc roi,ACC ROI,1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_2,A24rv,rostroventral area 24,177,178,1.0,1.0,1,0.3333,1.0,0.11111
accb,ACCb,1,CG,Cingulate Gyrus,1.0,1,7,6.24,6,0.3333,1,CG_L(R)_7_3,A32p,pregenual area 32,179,180,1.0,1.0,1,0.3333,1.0,0.11111
