abbrev,expansion,notes,priority,mentions
dLGN,dorsal lateral geniculate nucleus,corpus: no_match; fullname aligned,1,96
TRN,thalamic reticular nucleus,corpus: no_match; fullname aligned,1,94
LHb,lateral habenula,corpus: no_match; fullname aligned,1,90
DCN,dorsal cochlear nucleus,corpus: no_match; fullname aligned,1,84
LS,lateral septum,corpus: no_match; fullname aligned,1,84
VLPAG,ventrolateral periaqueductal gray,corpus: no_match; fullname aligned,1,68
LGN,lateral geniculate nucleus,corpus: no_match; fullname aligned,1,67
POm,posterior medial thalamus,corpus: no_match; fullname broader_parent,1,62
vHPC,ventral hippocampus,corpus: no_match; fullname broader_parent,1,62
Sub,subiculum,corpus: no_match; fullname aligned,1,56
MGB,medial geniculate body,corpus: no_match; fullname aligned,1,53
HDB,horizontal diagonal band,corpus: no_match; fullname aligned,1,47
vCA1,ventral CA1,corpus: no_match; fullname aligned,1,42
MVN,medial vestibular nucleus,corpus: no_match; fullname aligned,1,41
RVLM,rostral ventrolateral medulla,corpus: no_match; fullname broader_parent,1,36
dCA3,dorsal CA3,corpus: no_match; fullname broader_parent,1,35
aPVT,anterior paraventricular thalamus,corpus: no_match; fullname broader_parent,1,34
VLM,ventrolateral medulla,corpus: no_match; fullname broader_parent,1,32
vSUB,ventral subiculum,corpus: no_match; fullname broader_parent,1,31
DMV,dorsal motor nucleus of the vagus,corpus: no_match; fullname aligned,1,29
ATN,anterior thalamic nucleus,corpus: no_match; fullname aligned,1,28
DN,dentate nucleus,corpus: no_match; fullname aligned,1,27
RVM,rostral ventromedial medulla,corpus: no_match; fullname broader_parent,1,26
dCA1,dorsal CA1,corpus: no_match; fullname broader_parent,1,25
MeA,medial amygdala,corpus: no_match; fullname aligned,1,24
NBM,nucleus basalis of Meynert,corpus: no_match; fullname aligned,1,24
AVPV,anteroventral periventricular nucleus,corpus: no_match; fullname aligned,1,22
LPAG,lateral periaqueductal gray,corpus: no_match; fullname aligned,1,22
MGv,ventral medial geniculate nucleus,corpus: no_match; fullname aligned,1,22
DCIC,dorsal central inferior colliculus,corpus: no_match; fullname aligned,1,21
BA,basal amygdala,corpus: no_match; fullname aligned,1,20
GPePV,globus pallidus external segment parvicellular,corpus: no_match; fullname broader_parent,1,19
MGN,medial geniculate nucleus,corpus: no_match; fullname aligned,1,19
VB,ventrobasal thalamus,corpus: no_match; fullname broader_parent,1,19
dPAG,dorsal periaqueductal gray matter,corpus: no_match; fullname broader_parent,1,18
LPO,lateral preoptic area,corpus: no_match; fullname aligned,1,18
MNTB,medial nucleus of the trapezoid body,corpus: no_match; fullname aligned,1,18
SDH,spinal dorsal horn,corpus: no_match; fullname aligned,1,18
VCN,ventral cochlear nucleus,corpus: no_match; fullname aligned,1,18
MDN,mediodorsal nucleus,corpus: no_match; fullname aligned,1,17
MPOA,medial preoptic area,corpus: no_match; fullname aligned,1,17
BMA,basomedial amygdala,corpus: no_match; fullname aligned,1,16
cNTS,caudal nucleus of the solitary tract,corpus: no_match; fullname broader_parent,1,16
FN,fastigial nucleus,corpus: no_match; fullname aligned,1,16
ALS,anterior lobe segment,corpus: no_match; fullname broader_parent,1,14
dHPC,dorsal hippocampus,corpus: no_match; fullname broader_parent,1,14
Gi,gigantocellular reticular nucleus,corpus: no_match; fullname aligned,1,14
IPN,interpeduncular nucleus,corpus: no_match; fullname aligned,1,14
LDT,laterodorsal tegmental nucleus,corpus: no_match; fullname aligned,1,14
MGd,dorsal medial geniculate nucleus,corpus: no_match; fullname aligned,1,14
AVCN,anterior ventral cochlear nucleus,corpus: no_match; fullname broader_parent,1,13
BPN,basilar pontine nuclei,corpus: no_match; fullname aligned,1,13
LCN,lateral cerebellar nucleus,corpus: no_match; fullname aligned,1,13
PrSd,postrhinal dorsal,corpus: no_match; fullname broader_parent,1,13
RTN,retrotrapezoid nucleus,corpus: no_match; fullname aligned,1,13
ECT,ectorhinal cortex,corpus: no_match; fullname aligned,1,12
POA,preoptic area,corpus: no_match; fullname aligned,1,12
PPTg,pedunculopontine tegmentum,corpus: no_match; fullname broader_parent,1,12
pPVT,posterior paraventricular thalamus,corpus: no_match; fullname broader_parent,1,12
TS,tail of the striatum,corpus: no_match; fullname broader_parent,1,12
Med,medulla,corpus: no_match; fullname aligned,1,11
nAmb,nucleus ambiguus,corpus: no_match; fullname aligned,1,11
POR,postrhinal area,corpus: no_match; fullname aligned,1,11
TMN,tuberomammillary nucleus,corpus: no_match; fullname aligned,1,11
vDG,ventral dentate gyrus,corpus: no_match; fullname aligned,1,11
cBNST,caudal bed nucleus of the stria terminalis,corpus: no_match; fullname broader_parent,1,10
eCb,early cerebellum,corpus: no_match; fullname broader_parent,1,10
MGBv,ventral division of the medial geniculate body,corpus: no_match; fullname aligned,1,10
NRe,nucleus reuniens,corpus: no_match; fullname aligned,1,10
NRTP,nucleus retrorubral tegmenti pedunculopontini,corpus: no_match; fullname aligned,1,10
PVCN,posterior ventral cochlear nucleus,corpus: no_match; fullname broader_parent,1,10
TLCv,ventral nucleus of the lateral lemniscus,corpus: no_match; fullname aligned,1,10
VNTB,ventral nucleus of the trapezoid body,corpus: no_match; fullname aligned,1,10
APC,anterior piriform cortex,corpus: no_match; fullname broader_parent,1,9
CVLM,caudal ventrolateral medulla,corpus: no_match; fullname broader_parent,1,9
DMN,dorsal motor nucleus,corpus: no_match; fullname aligned,1,9
iCb,intermediate cerebellum,corpus: no_match; fullname broader_parent,1,9
MRN,midbrain reticular nucleus,corpus: no_match; fullname broader_parent,1,9
Vme,trigeminal mesencephalic nucleus,corpus: no_match; fullname aligned,1,9
Ce,central nucleus,corpus: no_match; fullname aligned,1,8
LPMR,mediorostral part of the lateral posterior thalamic nucleus,corpus: no_match; fullname broader_parent,1,8
MHb,medial habenula,corpus: no_match; fullname aligned,1,8
