abbrev,expansion,notes
lc,locus coeruleus,Locus coeruleus (HOMBA uses nucleus coeruleus — LC is universal neuro abbreviation)
nts,solitary nucleus,Nucleus tractus solitarii / nucleus of the solitary tract
pag,periaqueductal gray,Periaqueductal gray region
sn,substantia nigra,Substantia nigra (2-char: full-query match only in practice)
snc,substantia nigra compact division,SNc = substantia nigra pars compacta
snr,substantia nigra reticular division,SNr = substantia nigra pars reticulata
gp,globus pallidus,Globus pallidus (2-char: full-query match)
gpe,lateral segment of globus pallidus,GPe = external/lateral segment
gpi,medial segment of globus pallidus,GPi = internal/medial segment
nac,nucleus accumbens,NAc / NAcc
nacc,nucleus accumbens,NAcc alternate spelling
ofc,orbital frontal cortex,Orbitofrontal cortex
pfc,prefrontal cortex,Prefrontal cortex
dlpfc,dorsolateral prefrontal cortex,dlPFC
mpfc,medial prefrontal cortex,mPFC
vmfc,ventromedial frontal cortex,vmFC
vlpfc,ventrolateral prefrontal cortex,vlPFC / Brocas area region
hpc,hippocampus,HPC
amy,amygdala,AMY
bla,basolateral nuclear group of amygdala,BLA = basolateral amygdala
cea,central nucleus of amygdala,CeA = central amygdala
pvn,paraventricular nucleus of hypothalamus,PVN = hypothalamic paraventricular nucleus (more common usage than thalamic PVN)
pvnh,paraventricular nucleus of hypothalamus,PVNh alternate form
scn,suprachiasmatic nucleus,SCN = suprachiasmatic nucleus
arc,arcuate nucleus of hypothalamus,ARC = arcuate nucleus of hypothalamus (prefer ArH over medullary arcuate)
drn,dorsal raphe nucleus,DRN = dorsal raphe nucleus
mnr,median raphe nucleus,MnR = median raphe nucleus
dg,dentate gyrus,DG = dentate gyrus (2-char: full-query)
ca1,cornu ammonis 1,CA1 hippocampal subfield
ca2,cornu ammonis 2,CA2 hippocampal subfield
ca3,cornu ammonis 3,CA3 hippocampal subfield
sc,superior colliculus,SC = superior colliculus
ic,inferior colliculus,IC = inferior colliculus
mfb,medial forebrain bundle,MFB = medial forebrain bundle
nst,solitary nucleus,NST alternate abbreviation for nucleus tractus solitarii
vta,ventral tegmental area,VTA (also recognized via HOMBA acronym — belt-and-suspenders)
sth,subthalamic nucleus,STH = HOMBA internal acronym for subthalamic nucleus
ppn,pedunculo pontine tegmental nucleus,PPN = pedunculopontine / pedunculotegmental nucleus
vim,ventral lateral nucleus of thalamus,VIM = ventralis intermedius (nearest HOMBA: VL)
cm,centromedian nucleus of thalamus,CM = centromedian nucleus
cmpf,centromedian nucleus of thalamus,CM-Pf complex abbreviation
fst,temporoparietal area containing area FST,FST = fundal superior temporal / temporoparietal FST
stgg,superior temporal gyrus,STGg macaque superior temporal gyrus parcel
dLGN,dorsal lateral geniculate nucleus,corpus: no_match; fullname aligned
TRN,thalamic reticular nucleus,corpus: no_match; fullname aligned
LHb,lateral habenula,corpus: no_match; fullname aligned
DCN,dorsal cochlear nucleus,corpus: no_match; fullname aligned
LS,lateral septum,corpus: no_match; fullname aligned
VLPAG,ventrolateral periaqueductal gray,corpus: no_match; fullname aligned
LGN,lateral geniculate nucleus,corpus: no_match; fullname aligned
POm,posterior medial thalamus,corpus: no_match; fullname broader_parent
vHPC,ventral hippocampus,corpus: no_match; fullname broader_parent
Sub,subiculum,corpus: no_match; fullname aligned
MGB,medial geniculate body,corpus: no_match; fullname aligned
HDB,horizontal diagonal band,corpus: no_match; fullname aligned
vCA1,ventral CA1,corpus: no_match; fullname aligned
MVN,medial vestibular nucleus,corpus: no_match; fullname aligned
RVLM,rostral ventrolateral medulla,corpus: no_match; fullname broader_parent
dCA3,dorsal CA3,corpus: no_match; fullname broader_parent
aPVT,anterior paraventricular thalamus,corpus: no_match; fullname broader_parent
VLM,ventrolateral medulla,corpus: no_match; fullname broader_parent
vSUB,ventral subiculum,corpus: no_match; fullname broader_parent
DMV,dorsal motor nucleus of the vagus,corpus: no_match; fullname aligned
ATN,anterior thalamic nucleus,corpus: no_match; fullname aligned
DN,dentate nucleus,corpus: no_match; fullname aligned
RVM,rostral ventromedial medulla,corpus: no_match; fullname broader_parent
dCA1,dorsal CA1,corpus: no_match; fullname broader_parent
MeA,medial amygdala,corpus: no_match; fullname aligned
NBM,nucleus basalis of Meynert,corpus: no_match; fullname aligned
AVPV,anteroventral periventricular nucleus,corpus: no_match; fullname aligned
LPAG,lateral periaqueductal gray,corpus: no_match; fullname aligned
MGv,ventral medial geniculate nucleus,corpus: no_match; fullname aligned
DCIC,dorsal central inferior colliculus,corpus: no_match; fullname aligned
BA,basal amygdala,corpus: no_match; fullname aligned
GPePV,globus pallidus external segment parvicellular,corpus: no_match; fullname broader_parent
MGN,medial geniculate nucleus,corpus: no_match; fullname aligned
VB,ventrobasal thalamus,corpus: no_match; fullname broader_parent
dPAG,dorsal periaqueductal gray matter,corpus: no_match; fullname broader_parent
LPO,lateral preoptic area,corpus: no_match; fullname aligned
MNTB,medial nucleus of the trapezoid body,corpus: no_match; fullname aligned
SDH,spinal dorsal horn,corpus: no_match; fullname aligned
VCN,ventral cochlear nucleus,corpus: no_match; fullname aligned
MDN,mediodorsal nucleus,corpus: no_match; fullname aligned
MPOA,medial preoptic area,corpus: no_match; fullname aligned
BMA,basomedial amygdala,corpus: no_match; fullname aligned
cNTS,caudal nucleus of the solitary tract,corpus: no_match; fullname broader_parent
FN,fastigial nucleus,corpus: no_match; fullname aligned
ALS,anterior lobe segment,corpus: no_match; fullname broader_parent
dHPC,dorsal hippocampus,corpus: no_match; fullname broader_parent
Gi,gigantocellular reticular nucleus,corpus: no_match; fullname aligned
IPN,interpeduncular nucleus,corpus: no_match; fullname aligned
LDT,laterodorsal tegmental nucleus,corpus: no_match; fullname aligned
MGd,dorsal medial geniculate nucleus,corpus: no_match; fullname aligned
AVCN,anterior ventral cochlear nucleus,corpus: no_match; fullname broader_parent
BPN,basilar pontine nuclei,corpus: no_match; fullname aligned
LCN,lateral cerebellar nucleus,corpus: no_match; fullname aligned
PrSd,postrhinal dorsal,corpus: no_match; fullname broader_parent
RTN,retrotrapezoid nucleus,corpus: no_match; fullname aligned
ECT,ectorhinal cortex,corpus: no_match; fullname aligned
POA,preoptic area,corpus: no_match; fullname aligned
PPTg,pedunculopontine tegmentum,corpus: no_match; fullname broader_parent
pPVT,posterior paraventricular thalamus,corpus: no_match; fullname broader_parent
TS,tail of the striatum,corpus: no_match; fullname broader_parent
Med,medulla,corpus: no_match; fullname aligned
nAmb,nucleus ambiguus,corpus: no_match; fullname aligned
POR,postrhinal area,corpus: no_match; fullname aligned
TMN,tuberomammillary nucleus,corpus: no_match; fullname aligned
vDG,ventral dentate gyrus,corpus: no_match; fullname aligned
cBNST,caudal bed nucleus of the stria terminalis,corpus: no_match; fullname broader_parent
eCb,early cerebellum,corpus: no_match; fullname broader_parent
MGBv,ventral division of the medial geniculate body,corpus: no_match; fullname aligned
NRe,nucleus reuniens,corpus: no_match; fullname aligned
NRTP,nucleus retrorubral tegmenti pedunculopontini,corpus: no_match; fullname aligned
PVCN,posterior ventral cochlear nucleus,corpus: no_match; fullname broader_parent
TLCv,ventral nucleus of the lateral lemniscus,corpus: no_match; fullname aligned
VNTB,ventral nucleus of the trapezoid body,corpus: no_match; fullname aligned
APC,anterior piriform cortex,corpus: no_match; fullname broader_parent
CVLM,caudal ventrolateral medulla,corpus: no_match; fullname broader_parent
DMN,dorsal motor nucleus,corpus: no_match; fullname aligned
iCb,intermediate cerebellum,corpus: no_match; fullname broader_parent
MRN,midbrain reticular nucleus,corpus: no_match; fullname broader_parent
Vme,trigeminal mesencephalic nucleus,corpus: no_match; fullname aligned
Ce,central nucleus,corpus: no_match; fullname aligned
LPMR,mediorostral part of the lateral posterior thalamic nucleus,corpus: no_match; fullname broader_parent
MHb,medial habenula,corpus: no_match; fullname aligned
PrSv,postrhinal ventral,corpus: no_match; fullname broader_parent
SNpl,substantia nigra pars lateralis,corpus: no_match; fullname broader_parent
cMRF,caudal mesencephalic reticular formation,corpus: no_match; fullname broader_parent
KFn,Kölliker-Fuse nucleus,corpus: no_match; fullname aligned
LRN,lateral reticular nucleus,corpus: no_match; fullname aligned
PSTN,parasubthalamic nucleus,corpus: no_match; fullname aligned
SVNsp,subnucleus pars spinalis of the solitary nucleus,corpus: no_match; fullname broader_parent
ADS,anterior dorsal striatum,corpus: no_match; fullname broader_parent
aTRN,auditory thalamic reticular nucleus,corpus: no_match; fullname broader_parent
BLC,basolateral amygdala complex,corpus: no_match; fullname aligned
cCA1,caudal CA1,corpus: no_match; fullname aligned
dSUB,dorsal subiculum,corpus: no_match; fullname broader_parent
ECin,superficial entorhinal cortex,corpus: no_match; fullname broader_parent
F1R,rostral fastigial nucleus,corpus: no_match; fullname broader_parent
LMVN,left medial vestibular nucleus,corpus: no_match; fullname broader_parent
LOC,lateral olivocochlear,corpus: no_match; fullname broader_parent
nRT,nucleus reticularis thalami,corpus: no_match; fullname aligned
OPC,oval paracentral nucleus,corpus: no_match; fullname broader_parent
PMT,pedunculopontine tegmental nucleus,corpus: no_match; fullname aligned
VENT,ventral group of the dorsal thalamus,corpus: no_match; fullname broader_parent
VLG,ventral lateral geniculate,corpus: no_match; fullname aligned
VLS,ventrolateral striatum,corpus: no_match; fullname broader_parent
aNB,anterior nucleus basalis,corpus: no_match; fullname broader_parent
cSpC,cervical spinal cord,corpus: no_match; fullname aligned
cStr,central caudate striatum,corpus: no_match; fullname broader_parent
dBNST,dorsal bed nucleus of the stria terminalis,corpus: no_match; fullname broader_parent
dmPAG,dorsomedial periaqueductal gray,corpus: no_match; fullname aligned
ECIC,external inferior colliculus,corpus: no_match; fullname aligned
LGv,ventral lateral geniculate nucleus,corpus: no_match; fullname aligned
MGm,medial medial geniculate body,corpus: no_match; fullname broader_parent
mNTS,medial nucleus of the solitary tract,corpus: no_match; fullname aligned
MPTA,medial pontine tegmentum area,corpus: no_match; fullname broader_parent
MSC,medial septal complex,corpus: no_match; fullname broader_parent
PoRh,postrhinal cortex,corpus: no_match; fullname aligned
PVA,paraventricular thalamic nucleus,corpus: no_match; fullname aligned
SOv,superior olivary complex ventral,corpus: no_match; fullname broader_parent
AcbC,core of nucleus accumbens,corpus: no_match; fullname aligned
APul,anterior pulvinar,corpus: no_match; fullname aligned
BAa,basolateral amygdala anterior,corpus: no_match; fullname broader_parent
BAp,basolateral amygdala posterior,corpus: no_match; fullname broader_parent
BSTDL,dorsolateral bed nucleus of the stria terminalis,corpus: no_match; fullname broader_parent
C7,anterior horn of C7 (cervical spinal cord),corpus: no_match; fullname broader_parent
cPAG,caudal part of the PAG,corpus: no_match; fullname broader_parent
DCP,dorsal caudal putamen,corpus: no_match; fullname broader_parent
dlPAG,dorsolateral periaqueductal gray,corpus: no_match; fullname aligned
DMX,dorsal motor nucleus of the vagus nerve,corpus: no_match; fullname aligned
HY,hypothalamus,corpus: no_match; fullname aligned
iHC,intermediate hippocampus,corpus: no_match; fullname broader_parent
iIPN,intermediate subnucleus of the interpeduncular nucleus,corpus: no_match; fullname aligned
MePD,posterodorsal medial amygdala,corpus: no_match; fullname broader_parent
mNAc,medial nucleus accumbens,corpus: no_match; fullname broader_parent
PBcl,centrolateral nucleus,corpus: no_match; fullname aligned
pDLS,Posterior dorsolateral striatum,corpus: no_match; fullname broader_parent
PeFLH,perifornical area of the hypothalamus,corpus: no_match; fullname broader_parent
rBLA,rostral basolateral amygdala,corpus: no_match; fullname broader_parent
rCA2,right CA2,corpus: no_match; fullname broader_parent
RM,retromammillary nucleus,corpus: no_match; fullname broader_parent
rNST,rostral nucleus of the solitary tract,corpus: no_match; fullname broader_parent
SubM,submedius thalamic nucleus,corpus: no_match; fullname aligned
SVNc,subnucleus pars centralis of the solitary nucleus,corpus: no_match; fullname broader_parent
vBNST,ventral bed nucleus of the stria terminalis,corpus: no_match; fullname broader_parent
ACo,amygdaloid cortex,corpus: no_match; fullname broader_parent
AH,anterior hypothalamus,corpus: no_match; fullname broader_parent
ArcN,arcuate nucleus of the hypothalamus,corpus: no_match; fullname aligned
cBLA,caudal basolateral amygdala,corpus: no_match; fullname broader_parent
dDH,deep dorsal horn,corpus: no_match; fullname broader_parent
DRP,dorsal rostral putamen,corpus: no_match; fullname broader_parent
EA,extended amygdala,corpus: no_match; fullname aligned
ECout,deep entorhinal cortex,corpus: no_match; fullname broader_parent
ENTl,lateral entorhinal area,corpus: no_match; fullname aligned
ENTm,medial entorhinal area,corpus: no_match; fullname aligned
